position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000-49112e08-cbcc-45e3-81fe-266eb6207794,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240103-010059-001-000-1,O-20240103-010059-001-000-2,BUY,FLAT,0.000,27.179,1704243719999000000,2024-01-03 01:01:59.999000+00:00,1704245519999000000,2024-01-03 01:31:59.999000+00:00,1800000000000.0,45182.40918724015,45145.083071489025,['1841.25818408 USDT'],-0.00083,-2855.74468408 USDT,True
ETHUSDT-PERP.BINANCE-SharedAccountV44ETHStrategy-001-e15c521a-a639-46f1-8cff-c27fc8ed1ef6,BACKTESTER-001,SharedAccountV44ETHStrategy-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240103-041859-001-001-1,O-20240103-041859-001-001-2,BUY,FLAT,0.000,434.053,1704255599999000000,2024-01-03 04:19:59.999000+00:00,1704256319999000000,2024-01-03 04:31:59.999000+00:00,720000000000.0,2373.164850098951,2371.1655719002056,['1544.46813950 USDT'],-0.00084,-2412.26083950 USDT,True
BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000-437ab51f-0cdb-47cc-b955-a5559114d9f3,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240107-045559-001-000-4,O-20240107-045659-001-000-7,SELL,FLAT,0.000,27.550,1704603419999000000,2024-01-07 04:56:59.999000+00:00,1704603479999000000,2024-01-07 04:57:59.999000+00:00,60000000000.0,43999.77316878403,43992.242493647915,['1818.13502363 USDT'],0.00017,-1610.66492364 USDT,True
BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000-e952530a-fe7c-4673-a622-1bd532798015,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240114-050659-001-000-10,O-20240114-050659-001-000-12,BUY,FLAT,0.000,27.307,1705208879999000000,2024-01-14 05:07:59.999000+00:00,1705211579999000000,2024-01-14 05:52:59.999000+00:00,2700000000000.0,42673.80478631853,42812.4,['1750.77884558 USDT'],0.00325,2033.84065442 USDT,True
BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000-b9e56acb-af80-4822-ad60-b5c0f48d179b,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240116-052159-001-000-13,O-20240116-052159-001-000-14,BUY,FLAT,0.000,27.949,1705382579999000000,2024-01-16 05:22:59.999000+00:00,1705384379999000000,2024-01-16 05:52:59.999000+00:00,1800000000000.0,42864.949593903184,42839.25538659701,['1796.51011875 USDT'],-0.0006,-2514.63751875 USDT,True
BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000-95221377-6af9-443e-a8ca-5b0133226163,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240120-124059-001-000-16,O-20240120-124059-001-000-17,SELL,FLAT,0.000,29.192,1705754519999000000,2024-01-20 12:41:59.999000+00:00,1705754639999000000,2024-01-20 12:43:59.999000+00:00,120000000000.0,41564.93007673334,41572.46908057002,['1820.21021715 USDT'],-0.00018,-2040.28881715 USDT,True
BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000-0a520d5b-303f-4991-85b0-91a3976908b0,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240121-085259-001-000-19,O-20240121-085259-001-000-20,SELL,FLAT,0.000,30.616,1705827239999000000,2024-01-21 08:53:59.999000+00:00,1705827659999000000,2024-01-21 09:00:59.999000+00:00,420000000000.0,41660.8144793572,41667.46440096681,['1913.38393966 USDT'],-0.00016,-2116.97793966 USDT,True
ETHUSDT-PERP.BINANCE-SharedAccountV44ETHStrategy-001-c44a5441-56fe-40fa-ba8f-55dbd05af2ea,BACKTESTER-001,SharedAccountV44ETHStrategy-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240121-144959-001-001-4,O-20240121-144959-001-001-5,BUY,FLAT,0.000,453.180,1705848659999000000,2024-01-21 14:50:59.999000+00:00,1705848719999000000,2024-01-21 14:51:59.999000+00:00,60000000000.0,2479.838883732733,2478.9047096517943,['1685.40256624 USDT'],-0.00038,-2108.75157624 USDT,True
ETHUSDT-PERP.BINANCE-SharedAccountV44ETHStrategy-001-dfad2864-dd68-4986-bff5-1632abc770e3,BACKTESTER-001,SharedAccountV44ETHStrategy-001,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240125-085259-001-001-7,O-20240125-085259-001-001-8,BUY,FLAT,0.000,510.881,1706172839999000000,2024-01-25 08:53:59.999000+00:00,1706174219999000000,2024-01-25 09:16:59.999000+00:00,1380000000000.0,2224.1490682761737,2223.493772307054,['1704.16216653 USDT'],-0.00029,-2038.94042653 USDT,True
BTCUSDT-PERP.BINANCE-SharedAccountV44BTCStrategy-000-c3510a81-2e35-4126-bbc9-57afeba17dba,BACKTESTER-001,SharedAccountV44BTCStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20240126-040959-001-000-22,O-20240126-040959-001-000-23,BUY,FLAT,0.000,27.267,1706242259999000000,2024-01-26 04:10:59.999000+00:00,1706246279999000000,2024-01-26 05:17:59.999000+00:00,4020000000000.0,40126.97862984559,40105.299999999996,['1640.77015606 USDT'],-0.00054,-2231.88135606 USDT,True
