total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
99889.16704480,173.17649250,99715.99055230,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '173.17649250', 'currency': 'USDT', 'instrument_id': 'SOLUSDT-PERP.BINANCE'}]",False,{}
99889.16704480,173.17649250,99715.99055230,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '173.17649250', 'currency': 'USDT', 'instrument_id': 'SOLUSDT-PERP.BINANCE'}]",False,{}
99889.16704480,173.17649250,99715.99055230,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '173.17649250', 'currency': 'USDT', 'instrument_id': 'SOLUSDT-PERP.BINANCE'}]",False,{}
107855.74248096,0.00000000,107855.74248096,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
107855.74248096,0.00000000,107855.74248096,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
107766.39043536,139.61257125,107626.77786411,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '139.61257125', 'currency': 'USDT', 'instrument_id': 'XRPUSDT-PERP.BINANCE'}]",False,{}
107766.39043536,139.61257125,107626.77786411,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '139.61257125', 'currency': 'USDT', 'instrument_id': 'XRPUSDT-PERP.BINANCE'}]",False,{}
107766.39043536,139.61257125,107626.77786411,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '139.61257125', 'currency': 'USDT', 'instrument_id': 'XRPUSDT-PERP.BINANCE'}]",False,{}
110101.18081856,0.00000000,110101.18081856,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
110101.18081856,0.00000000,110101.18081856,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
110101.18081856,2045.79846900,108055.38234956,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '2045.79846900', 'maintenance': '0.00000000', 'currency': 'USDT', 'instrument_id': 'XRPUSDT-PERP.BINANCE'}]",False,{}
110101.18081856,2045.79846900,108055.38234956,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '2045.79846900', 'maintenance': '0.00000000', 'currency': 'USDT', 'instrument_id': 'XRPUSDT-PERP.BINANCE'}]",False,{}
110101.18081856,2045.79846900,108055.38234956,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '2045.79846900', 'maintenance': '0.00000000', 'currency': 'USDT', 'instrument_id': 'XRPUSDT-PERP.BINANCE'}]",False,{}
110101.18081856,0.00000000,110101.18081856,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
