trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,price,time_in_force,expire_time_ns,filled_qty,liquidity_side,avg_px,slippage,commissions,status,is_post_only,is_reduce_only,is_quote_quantity,display_qty,emulation_trigger,trigger_instrument_id,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-001,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-d486c14d788086b9-19378,LIMIT,BUY,5062.4,152.661,GTD,1.721058960000001e+18,5062.4,MAKER,152.662,0.0010000000000047748,['309.13444352 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240715-145600-001-000-4,"['O-20240715-145600-001-000-11', 'O-20240715-145600-001-000-12']",,,,,['ENTRY'],3a0d19a3-b9ea-4f5e-bede-f718bcb4807e,2024-07-15 14:56:00+00:00,2024-07-15 15:08:00+00:00,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-002,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-5df707e2f5d7ce77-19403,STOP_MARKET,SELL,5062.4,,GTC,,5062.4,TAKER,152.251,0.0010000000000047748,['616.60436992 USDT'],FILLED,,True,False,,NO_TRIGGER,,OUO,OL-20240715-145600-001-000-4,['O-20240715-145600-001-000-12'],O-20240715-145600-001-000-10,,,,['STOP_LOSS'],daa59917-b5b1-4630-80b4-670ba81eb8a9,2024-07-15 14:56:00+00:00,2024-07-15 15:14:00+00:00,152.252,DEFAULT
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-004,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-b4ca52b026b6aa38-19821,LIMIT,SELL,2235.8,153.793,GTD,1.721066460000001e+18,2235.8,MAKER,153.792,0.0010000000000047748,['137.53926144 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240715-170100-001-000-5,"['O-20240715-170100-001-000-14', 'O-20240715-170100-001-000-15']",,,,,['ENTRY'],7e561f41-0914-4000-b7e1-5fed0e1586a2,2024-07-15 17:01:00+00:00,2024-07-15 17:03:00+00:00,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-005,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-049de53674fbb718-20138,STOP_MARKET,BUY,2235.8,,GTC,,2235.8,TAKER,154.91,0.0010000000000047748,['277.07822240 USDT'],FILLED,,True,False,,NO_TRIGGER,,OUO,OL-20240715-170100-001-000-5,['O-20240715-170100-001-000-15'],O-20240715-170100-001-000-13,,,,['STOP_LOSS'],f82aca8e-8bde-413d-bed8-2ac8fcbb79a6,2024-07-15 17:01:00+00:00,2024-07-15 18:28:00+00:00,154.909,DEFAULT
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-010,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-167100433059ea6a-20365,LIMIT,BUY,19.915,63491.4,GTD,1.721079360000001e+18,19.915,MAKER,63491.5,0.10000000000582077,['505.77328900 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240715-203600-001-000-6,"['O-20240715-203600-001-000-17', 'O-20240715-203600-001-000-18']",,,,,['ENTRY'],4eb0ebdc-90a8-4b0a-b6f3-0fd6dcc00ade,2024-07-15 20:36:00+00:00,2024-07-15 21:24:00+00:00,,
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-83aca4f7e910e156-20534,LIMIT,SELL,19.915,63777.0,GTC,,19.915,MAKER,63776.899999999994,0.09999999999854481,['508.04678540 USDT'],FILLED,True,True,False,,NO_TRIGGER,,OUO,OL-20240715-203600-001-000-6,['O-20240715-203600-001-000-17'],O-20240715-203600-001-000-16,,,,['TAKE_PROFIT'],f1a706f9-e7f5-4c4a-bc55-86ef11b1ac12,2024-07-15 20:36:00+00:00,2024-07-15 22:12:00+00:00,,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-001,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-3190f4ae4ac52351-20338,LIMIT,BUY,1056164,0.5354,GTD,1.721090460000001e+18,1056164,MAKER,0.5355,9.999999999998899e-05,['226.23032880 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240715-234100-001-000-7,"['O-20240715-234100-001-000-20', 'O-20240715-234100-001-000-21']",,,,,['ENTRY'],d1ac3f32-f357-4c34-802e-c2aa13947f32,2024-07-15 23:41:00+00:00,2024-07-16 00:18:00+00:00,,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-003,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-841a63ca594b8081-20376,LIMIT,SELL,1056164,0.5396,GTC,,1056164,MAKER,0.5395551922807442,4.4807719255746115e-05,['227.94350804 USDT'],FILLED,True,True,False,,NO_TRIGGER,,OUO,OL-20240715-234100-001-000-7,['O-20240715-234100-001-000-20'],O-20240715-234100-001-000-19,,,,['TAKE_PROFIT'],73286966-ec5a-4095-85c4-3ab919a6fdc7,2024-07-15 23:41:00+00:00,2024-07-16 00:28:00+00:00,,
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-001,ETHUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-ab023a6bb6437b58-22199,LIMIT,SELL,390.723,3462.07,GTD,1.721108160000001e+18,390.723,MAKER,3462.0652209365717,0.004779063428486552,['541.08340373 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240716-043600-001-000-8,"['O-20240716-043600-001-000-23', 'O-20240716-043600-001-000-24']",,,,,['ENTRY'],9d2457ae-5c26-484c-8b0d-3f518fc451ca,2024-07-16 04:36:00+00:00,2024-07-16 04:47:00+00:00,,
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-003,ETHUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-1572b011b2bbed7b-23003,LIMIT,BUY,390.723,3356.29,GTC,,390.723,MAKER,3356.3,0.010000000000218279,['524.55344196 USDT'],FILLED,True,True,False,,NO_TRIGGER,,OUO,OL-20240716-043600-001-000-8,['O-20240716-043600-001-000-23'],O-20240716-043600-001-000-22,,,,['TAKE_PROFIT'],5f52e29a-5ff9-4ca0-a398-8225fc367be9,2024-07-16 04:36:00+00:00,2024-07-16 08:21:00+00:00,,
