trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,price,time_in_force,expire_time_ns,filled_qty,liquidity_side,avg_px,slippage,commissions,status,is_post_only,is_reduce_only,is_quote_quantity,display_qty,emulation_trigger,trigger_instrument_id,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-001,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-ef2a29d629f02fda-17329,LIMIT,SELL,8241.1,151.873,GTD,1.721026500000001e+18,8241.1,MAKER,151.8729225588817,7.744111829310896e-05,['500.63997684 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240715-055500-001-000-1,"['O-20240715-055500-001-000-2', 'O-20240715-055500-001-000-3']",,,,,['ENTRY'],222b0ab3-0de9-443b-bce6-880ec0a2cdef,2024-07-15 05:55:00+00:00,2024-07-15 05:57:00+00:00,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-002,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-ec48141ed5e1c600-17353,STOP_MARKET,BUY,8241.1,,GTC,,8241.1,TAKER,152.0568307022121,0.0018307022120893635,['1002.49243800 USDT'],FILLED,,True,False,,NO_TRIGGER,,OUO,OL-20240715-055500-001-000-1,['O-20240715-055500-001-000-3'],O-20240715-055500-001-000-1,,,,['STOP_LOSS'],091e9469-1cfc-4734-8a6d-11c99ea49759,2024-07-15 05:55:00+00:00,2024-07-15 06:03:00+00:00,152.055,DEFAULT
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-001,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-85631936fdabf8a7-16798,LIMIT,BUY,1708915,0.5288,GTD,1.721031000000001e+18,1708915,MAKER,0.5288148385964194,1.483859641937535e-05,['361.47984396 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240715-071000-001-000-2,"['O-20240715-071000-001-000-5', 'O-20240715-071000-001-000-6']",,,,,['ENTRY'],f5a0ce4a-5833-4ca6-83dc-6093c084e185,2024-07-15 07:10:00+00:00,2024-07-15 07:32:00+00:00,,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-002,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-c2a01d44d6c1afdf-17081,STOP_MARKET,SELL,1708915,,GTC,,1708915,TAKER,0.5275595773926731,0.00014042260732682887,['721.24358016 USDT'],FILLED,,True,False,,NO_TRIGGER,,OUO,OL-20240715-071000-001-000-2,['O-20240715-071000-001-000-6'],O-20240715-071000-001-000-4,,,,['STOP_LOSS'],227cccc4-8aee-4b22-aac9-ad0f908842b5,2024-07-15 07:10:00+00:00,2024-07-15 08:53:00+00:00,0.5277,DEFAULT
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-004,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-b4ca52b026b6aa38-19823,LIMIT,SELL,2161.1,153.793,GTD,1.721066460000001e+18,2161.1,MAKER,153.792,0.0010000000000047748,['132.94395648 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240715-170100-001-000-3,"['O-20240715-170100-001-000-8', 'O-20240715-170100-001-000-9']",,,,,['ENTRY'],1a7ad64e-e5fd-4ddf-bc08-57dabdbc7a9c,2024-07-15 17:01:00+00:00,2024-07-15 17:03:00+00:00,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-005,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-049de53674fbb718-20140,STOP_MARKET,BUY,2161.1,,GTC,,2161.1,TAKER,154.91,0.0010000000000047748,['267.82080080 USDT'],FILLED,,True,False,,NO_TRIGGER,,OUO,OL-20240715-170100-001-000-3,['O-20240715-170100-001-000-9'],O-20240715-170100-001-000-7,,,,['STOP_LOSS'],d41c25f4-6966-462a-bdc6-99c04cd294a1,2024-07-15 17:01:00+00:00,2024-07-15 18:28:00+00:00,154.909,DEFAULT
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-007,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-e89ebbf5b894a953-21426,MARKET,SELL,1958.9,,GTC,,1958.9,TAKER,159.041,0.0,['249.23633192 USDT'],FILLED,,False,False,,NO_TRIGGER,,OTO,OL-20240716-001300-001-000-4,"['O-20240716-001300-001-000-11', 'O-20240716-001300-001-000-12']",,,,,['ENTRY'],50d1628c-51bf-4f75-a297-afea4fb96e31,2024-07-16 00:13:00+00:00,2024-07-16 00:13:00+00:00,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-009,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-92aded85f8c573bd-22694,LIMIT,BUY,1958.9,155.146,GTC,,1958.9,MAKER,155.147,0.0010000000000047748,['121.56698332 USDT'],FILLED,True,True,False,,NO_TRIGGER,,OUO,OL-20240716-001300-001-000-4,['O-20240716-001300-001-000-11'],O-20240716-001300-001-000-10,,,,['TAKE_PROFIT'],dd3b0e7d-d42c-42cd-bc3d-f9824c8db300,2024-07-16 00:13:00+00:00,2024-07-16 05:53:00+00:00,,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-004,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-201fcfd7a17bcf37-23094,MARKET,SELL,884211,,GTC,,884211,TAKER,0.5439,0.0,['384.73789032 USDT'],FILLED,,False,False,,NO_TRIGGER,,OTO,OL-20240716-125400-001-000-5,"['O-20240716-125400-001-000-14', 'O-20240716-125400-001-000-15']",,,,,['ENTRY'],c6483b2d-a280-4245-9f23-a1d7069fd56e,2024-07-16 12:54:00+00:00,2024-07-16 12:54:00+00:00,,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-005,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-723f7e54fbee86b9-23196,STOP_MARKET,BUY,884211,,GTC,,884211,TAKER,0.5466429555841309,0.00014295558413091047,['386.67817152 USDT'],FILLED,,True,False,,NO_TRIGGER,,OUO,OL-20240716-125400-001-000-5,['O-20240716-125400-001-000-15'],O-20240716-125400-001-000-13,,,,['STOP_LOSS'],def94c77-aa85-4df3-912d-da0a75ecf973,2024-07-16 12:54:00+00:00,2024-07-16 13:22:00+00:00,0.5465,DEFAULT
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-010,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-0c73569cdecfa584-25250,LIMIT,SELL,2529.7,160.917,GTD,1.721149800000001e+18,2529.7,MAKER,160.916,0.0010000000000047748,['162.82768208 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240716-161000-001-000-6,"['O-20240716-161000-001-000-17', 'O-20240716-161000-001-000-18']",,,,,['ENTRY'],8aad794e-e4e0-4297-9e27-a46e77cb52d1,2024-07-16 16:10:00+00:00,2024-07-16 16:52:00+00:00,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-011,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-31cf0ef53a7355cc-25447,STOP_MARKET,BUY,2529.7,,GTC,,2529.7,TAKER,161.851,0.0010000000000047748,['327.54757976 USDT'],FILLED,,True,False,,NO_TRIGGER,,OUO,OL-20240716-161000-001-000-6,['O-20240716-161000-001-000-18'],O-20240716-161000-001-000-16,,,,['STOP_LOSS'],578024a4-67c3-4c58-9352-70cc9f98b717,2024-07-16 16:10:00+00:00,2024-07-16 17:43:00+00:00,161.850,DEFAULT
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-013,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-ecd60cb49c42433a-31138,LIMIT,SELL,4487.4,156.759,GTD,1.721245800000001e+18,4487.4,MAKER,156.7587744350849,0.00022556491509817533,['281.37572976 USDT'],FILLED,True,False,False,,NO_TRIGGER,,OTO,OL-20240717-185000-001-000-7,"['O-20240717-185000-001-000-20', 'O-20240717-185000-001-000-21']",,,,,['ENTRY'],abc8bb25-7c3c-4e57-8735-c0da7629d3b4,2024-07-17 18:50:00+00:00,2024-07-17 18:51:00+00:00,,
