trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-b6e04f34e006e564-14370,MARKET,SELL,5.061,GTC,False,False,5.061,TAKER,119093.0,0.0,['482.18373840 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250811-010000-001-000-1,"['O-20250811-010000-001-000-2', 'O-20250811-010000-001-000-3']",,,,,['ENTRY'],6512a338-26ea-4ca5-a945-6f18e887864d,2025-08-11 01:00:00+00:00,2025-08-11 01:00:00+00:00,,,,,,,
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-ea8073e087e48f38-14483,STOP_MARKET,BUY,5.061,GTC,True,False,5.061,TAKER,119495.0,0.10000000000582077,['483.81135600 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250811-010000-001-000-1,['O-20250811-010000-001-000-3'],O-20250811-010000-001-000-1,,,,['STOP_LOSS'],8c11e219-1588-43f1-8489-b56ccd4edf68,2025-08-11 01:00:00+00:00,2025-08-11 01:33:00+00:00,119494.9,DEFAULT,,,,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-001,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-6a7045f19535daf5-17501,LIMIT,BUY,3181.8,GTD,False,False,3181.8,MAKER,182.921,0.0010000000000047748,['232.80721512 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250811-081500-001-000-2,"['O-20250811-081500-001-000-5', 'O-20250811-081500-001-000-6']",,,,,['ENTRY'],4ba812ae-fc1b-4b72-bdb0-fa579d93b38e,2025-08-11 08:15:00+00:00,2025-08-11 08:16:00+00:00,,,1.754903700000001e+18,,182.920,True,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-002,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-76a0a41ee21991ce-17941,STOP_MARKET,SELL,3181.8,GTC,True,False,3181.8,TAKER,182.223,0.0009999999999763531,['463.83771312 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250811-081500-001-000-2,['O-20250811-081500-001-000-6'],O-20250811-081500-001-000-4,,,,['STOP_LOSS'],c5a76adc-0bed-4fc9-81b2-692b39f7ef77,2025-08-11 08:15:00+00:00,2025-08-11 10:19:00+00:00,182.224,DEFAULT,,,,,
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-cd8f0d4befaa8b3c-18177,LIMIT,BUY,6.861,GTD,False,False,6.861,MAKER,119469.79999999999,0.09999999997671694,['327.87291912 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250811-182500-001-000-3,"['O-20250811-182500-001-000-8', 'O-20250811-182500-001-000-9']",,,,,['ENTRY'],ba19cd1d-e427-4a0b-9ed2-bc658caaf735,2025-08-11 18:25:00+00:00,2025-08-11 18:46:00+00:00,,,1.754940300000001e+18,,119469.7,True,
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-1555d9788fd3f302-18358,STOP_MARKET,SELL,6.861,GTC,True,False,6.861,TAKER,119201.40000000001,0.09999999997671694,['654.27264432 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250811-182500-001-000-3,['O-20250811-182500-001-000-9'],O-20250811-182500-001-000-7,,,,['STOP_LOSS'],15884b98-ae11-4fa6-8119-37e623b6c98e,2025-08-11 18:25:00+00:00,2025-08-11 19:38:00+00:00,119201.5,DEFAULT,,,,,
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-001,ETHUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-5efd3b895abb18b8-21011,LIMIT,BUY,119.971,GTD,False,False,119.971,MAKER,4212.25,0.010000000000218279,['202.13913790 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250811-220000-001-000-4,"['O-20250811-220000-001-000-11', 'O-20250811-220000-001-000-12']",,,,,['ENTRY'],fe2d5e2d-3f41-4778-86e5-d8909970cff3,2025-08-11 22:00:00+00:00,2025-08-11 22:02:00+00:00,,,1.754953200000001e+18,,4212.24,True,
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-002,ETHUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-77a279ef7caaf93b-21079,STOP_MARKET,SELL,119.971,GTC,True,False,119.971,TAKER,4194.45,0.010000000000218279,['402.56988876 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250811-220000-001-000-4,['O-20250811-220000-001-000-12'],O-20250811-220000-001-000-10,,,,['STOP_LOSS'],13d24f2e-9c44-4630-aa09-32524a88fe0d,2025-08-11 22:00:00+00:00,2025-08-11 22:21:00+00:00,4194.46,DEFAULT,,,,,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-001,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-5c06fbb34d525a70-22113,LIMIT,BUY,225677,GTD,False,False,225677,MAKER,3.14983980644904,3.980644904011399e-05,['284.33855920 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250812-033500-001-000-5,"['O-20250812-033500-001-000-14', 'O-20250812-033500-001-000-15']",,,,,['ENTRY'],195b5fcf-d841-44f5-8c13-6fad9672ad6c,2025-08-12 03:35:00+00:00,2025-08-12 03:44:00+00:00,,,1.754973300000001e+18,,3.1498,True,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-002,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-27cb1ca61822a678-22457,STOP_MARKET,SELL,225677,GTC,True,False,225677,TAKER,3.1416561732032946,0.0001438267967053264,['567.19963216 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250812-033500-001-000-5,['O-20250812-033500-001-000-15'],O-20250812-033500-001-000-13,,,,['STOP_LOSS'],01acb20e-dccc-49d5-91ce-9ae3d6f25adf,2025-08-12 03:35:00+00:00,2025-08-12 05:20:00+00:00,3.1418,DEFAULT,,,,,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-004,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-e929b76f49341a18-23767,LIMIT,SELL,260798,GTD,False,False,260798,MAKER,3.126959018474068,4.098152593190463e-05,['326.20186324 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250812-111500-001-000-6,"['O-20250812-111500-001-000-17', 'O-20250812-111500-001-000-18']",,,,,['ENTRY'],05eee506-02b0-4221-80be-02d696aed5f9,2025-08-12 11:15:00+00:00,2025-08-12 11:16:00+00:00,,,1.755000900000001e+18,,3.1270,True,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-005,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-8493d706180ff6c9-23773,STOP_MARKET,BUY,260798,GTC,True,False,260798,TAKER,3.1332568923074566,0.00015689230745641325,['653.71770480 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250812-111500-001-000-6,['O-20250812-111500-001-000-18'],O-20250812-111500-001-000-16,,,,['STOP_LOSS'],7a44ad6d-d037-4b0c-85c5-5593b93d4194,2025-08-12 11:15:00+00:00,2025-08-12 11:17:00+00:00,3.1331,DEFAULT,,,,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-004,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-87da854670b4f23c-25022,LIMIT,SELL,1422.1,GTD,False,False,1422.1,MAKER,187.649,0.0010000000000047748,['106.74225716 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250812-183500-001-000-7,"['O-20250812-183500-001-000-20', 'O-20250812-183500-001-000-21']",,,,,['ENTRY'],afe9c1c2-29c4-4dba-854e-e5d817a16f6c,2025-08-12 18:35:00+00:00,2025-08-12 18:36:00+00:00,,,1.755027300000001e+18,,187.650,True,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-005,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-c6866e9a681ac462-25186,STOP_MARKET,BUY,1422.1,GTC,True,False,1422.1,TAKER,189.18,0.0010000000000047748,['215.22630240 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250812-183500-001-000-7,['O-20250812-183500-001-000-21'],O-20250812-183500-001-000-19,,,,['STOP_LOSS'],d27f41ff-61c1-4325-8074-129eba7f5ebb,2025-08-12 18:35:00+00:00,2025-08-12 19:19:00+00:00,189.179,DEFAULT,,,,,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-007,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-740c1c9686dc0f0f-25694,LIMIT,SELL,4137.2,GTD,False,False,4137.2,MAKER,191.999,0.0010000000000047748,['317.73530512 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250812-213500-001-000-8,"['O-20250812-213500-001-000-23', 'O-20250812-213500-001-000-24']",,,,,['ENTRY'],f554c3d7-cf63-4944-9231-34adedc47ff4,2025-08-12 21:35:00+00:00,2025-08-12 21:36:00+00:00,,,1.755038100000001e+18,,192.000,True,
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-008,SOLUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-ce027b5901313784-25699,STOP_MARKET,BUY,4137.2,GTC,True,False,4137.2,TAKER,192.355,0.0009999999999763531,['636.64888480 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250812-213500-001-000-8,['O-20250812-213500-001-000-24'],O-20250812-213500-001-000-22,,,,['STOP_LOSS'],16fff57c-6df9-483e-a7d8-a9d0152b22a9,2025-08-12 21:35:00+00:00,2025-08-12 21:37:00+00:00,192.354,DEFAULT,,,,,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-007,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-68f411a7cb7e5737-26284,LIMIT,BUY,248665,GTD,False,False,248665,MAKER,3.2670384641988215,3.846419882158614e-05,['324.95924788 USDT'],NO_TRIGGER,FILLED,OTO,OL-20250812-222500-001-000-9,"['O-20250812-222500-001-000-26', 'O-20250812-222500-001-000-27']",,,,,['ENTRY'],80828b22-9006-47ab-865b-0cc5aee409e0,2025-08-12 22:25:00+00:00,2025-08-12 22:36:00+00:00,,,1.755041100000001e+18,,3.2670,True,
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-008,XRPUSDT-PERP.BINANCE-PortfolioStrategy-000,BINANCE-001,T-3dbfc05e6688b5c4-26599,STOP_MARKET,SELL,248665,GTC,True,False,248665,TAKER,3.2614,9.999999999976694e-05,['648.79682480 USDT'],NO_TRIGGER,FILLED,OUO,OL-20250812-222500-001-000-9,['O-20250812-222500-001-000-27'],O-20250812-222500-001-000-25,,,,['STOP_LOSS'],2780aa0f-79da-4f4d-a65d-2c422c50e911,2025-08-12 22:25:00+00:00,2025-08-13 00:02:00+00:00,3.2615,DEFAULT,,,,,
