total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
99841.74519208,247.27313738,99594.47205470,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '247.27313738', 'currency': 'USDT', 'instrument_id': 'SOLUSDT-PERP.BINANCE'}]",False,{}
99841.74519208,247.27313738,99594.47205470,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '247.27313738', 'currency': 'USDT', 'instrument_id': 'SOLUSDT-PERP.BINANCE'}]",False,{}
99841.74519208,247.27313738,99594.47205470,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '247.27313738', 'currency': 'USDT', 'instrument_id': 'SOLUSDT-PERP.BINANCE'}]",False,{}
103836.49948924,0.00000000,103836.49948924,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
103836.49948924,0.00000000,103836.49948924,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
103729.02184572,167.93381800,103561.08802772,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '167.93381800', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
103729.02184572,167.93381800,103561.08802772,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '167.93381800', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
103729.02184572,167.93381800,103561.08802772,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '167.93381800', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
110495.44626700,0.00000000,110495.44626700,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
110495.44626700,0.00000000,110495.44626700,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
110382.09711764,177.10804588,110204.98907176,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '177.10804588', 'currency': 'USDT', 'instrument_id': 'SOLUSDT-PERP.BINANCE'}]",False,{}
110382.09711764,177.10804588,110204.98907176,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '177.10804588', 'currency': 'USDT', 'instrument_id': 'SOLUSDT-PERP.BINANCE'}]",False,{}
110382.09711764,177.10804588,110204.98907176,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '177.10804588', 'currency': 'USDT', 'instrument_id': 'SOLUSDT-PERP.BINANCE'}]",False,{}
116709.21560392,0.00000000,116709.21560392,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
116709.21560392,0.00000000,116709.21560392,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
116709.21560392,568.39033982,116140.82526410,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '568.39033982', 'maintenance': '0.00000000', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
116618.27355950,284.19388883,116334.07967067,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '284.19388883', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
116618.27355950,284.19388883,116334.07967067,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '284.19388883', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
116618.27355950,284.19388883,116334.07967067,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '284.19388883', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
126613.01036355,0.00000000,126613.01036355,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
126613.01036355,0.00000000,126613.01036355,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
126523.71275307,139.52751638,126384.18523669,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '139.52751638', 'currency': 'USDT', 'instrument_id': 'SOLUSDT-PERP.BINANCE'}]",False,{}
126523.71275307,139.52751638,126384.18523669,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '139.52751638', 'currency': 'USDT', 'instrument_id': 'SOLUSDT-PERP.BINANCE'}]",False,{}
126523.71275307,139.52751638,126384.18523669,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '139.52751638', 'currency': 'USDT', 'instrument_id': 'SOLUSDT-PERP.BINANCE'}]",False,{}
133730.17243151,0.00000000,133730.17243151,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
133730.17243151,0.00000000,133730.17243151,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
