total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
98760.05042320,1937.42121375,96822.62920945,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1937.42121375', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
98760.05042320,1937.42121375,96822.62920945,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1937.42121375', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
98760.05042320,1937.42121375,96822.62920945,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '1937.42121375', 'currency': 'USDT', 'instrument_id': 'BTCUSDT-PERP.BINANCE'}]",False,{}
96994.62456400,0.00000000,96994.62456400,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
96994.62456400,0.00000000,96994.62456400,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
96783.63765709,329.66704205,96453.97061504,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '329.66704205', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
96783.63765709,329.66704205,96453.97061504,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '329.66704205', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
96783.63765709,329.66704205,96453.97061504,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '329.66704205', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
101790.94498623,0.00000000,101790.94498623,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
101790.94498623,0.00000000,101790.94498623,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
