trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20250811-072100-001-000-1,O-20250811-072100-001-000-2,SELL,FLAT,0,178398,1754900400000000000,2025-08-11 08:20:00+00:00,1754900580000000000,2025-08-11 08:23:00+00:00,180000000000.0,3.2754,3.2885,['703.05938208 USDT'],-0.004,-3040.07318208 USDT,True
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250811-093100-001-000-4,O-20250811-093100-001-000-5,SELL,FLAT,0.000,7.188,1754904780000000000,2025-08-11 09:33:00+00:00,1755093120000000000,2025-08-13 13:52:00+00:00,188340000000000.0,121374.29999999999,121633.3,['1048.41551568 USDT'],-0.00213,-2910.10751568 USDT,True
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-001,O-20250813-150100-001-000-10,O-20250813-150100-001-000-11,SELL,FLAT,0.0,1618.8,1755099480000000000,2025-08-13 15:38:00+00:00,1755102360000000000,2025-08-13 16:26:00+00:00,2880000000000.0,197.719,199.225,['386.03135088 USDT'],-0.00762,-2823.94415088 USDT,True
BACKTESTER-001,PortfolioStrategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20250813-195600-001-000-13,O-20250813-195600-001-000-14,BUY,FLAT,0,280162,1755115080000000000,2025-08-13 19:58:00+00:00,1755115500000000000,2025-08-13 20:05:00+00:00,420000000000.0,3.275039537124949,3.2690377267438127,['1099.70476880 USDT'],-0.00183,-2781.18396880 USDT,True
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250814-020100-001-000-19,O-20250814-020100-001-000-20,SELL,FLAT,0.000,10.794,1755137040000000000,2025-08-14 02:04:00+00:00,1755137160000000000,2025-08-14 02:06:00+00:00,120000000000.0,123489.3,123587.09999999999,['1600.37672760 USDT'],-0.00079,-2656.02992760 USDT,True
BACKTESTER-001,PortfolioStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250814-094100-001-000-25,O-20250814-094100-001-000-27,SELL,FLAT,0.000,13.343,1755166860000000000,2025-08-14 10:21:00+00:00,1755168180000000000,2025-08-14 10:43:00+00:00,1320000000000.0,121781.79999999999,121318.59999999999,['1297.47545488 USDT'],0.0038,4883.00214512 USDT,True
BACKTESTER-001,PortfolioStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250814-130600-001-000-28,O-20250814-130600-001-000-29,SELL,FLAT,0.000,44.969,1755177300000000000,2025-08-14 13:15:00+00:00,1755179580000000000,2025-08-14 13:53:00+00:00,2280000000000.0,4579.51,4634.48,['249.10073898 USDT'],-0.012,-2721.04666898 USDT,True
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-001,O-20250814-135600-001-000-31,O-20250814-135600-001-000-32,BUY,FLAT,0.0,3416.4,1755180240000000000,2025-08-14 14:04:00+00:00,1755180420000000000,2025-08-14 14:07:00+00:00,180000000000.0,194.296,193.754,['795.07007424 USDT'],-0.00279,-2646.75887424 USDT,True
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-001,O-20250814-181600-001-000-37,O-20250814-181600-001-000-38,SELL,FLAT,0.0,3021.1,1755196020000000000,2025-08-14 18:27:00+00:00,1755196860000000000,2025-08-14 18:41:00+00:00,840000000000.0,193.419,194.035,['702.69456716 USDT'],-0.00318,-2563.69216716 USDT,True
BACKTESTER-001,PortfolioStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-001,O-20250815-045600-001-000-46,O-20250815-045600-001-000-47,SELL,FLAT,0.0,2987.3,1755234240000000000,2025-08-15 05:04:00+00:00,1755236220000000000,2025-08-15 05:37:00+00:00,1980000000000.0,195.134,195.732,['700.93768216 USDT'],-0.00306,-2487.34308216 USDT,True
