route,horizon_min,events_before_slot,trades,trades_per_day,mean,median,win_rate,profit_factor,mean_without_best,status,reasons
blind_direct_reversal,60,1306,607,4.335714285714285,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
blind_direct_reversal,120,1306,451,3.2214285714285715,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
blind_direct_reversal,240,1306,313,2.2357142857142858,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
blind_direct_reversal,480,1306,217,1.55,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
accepted_unwind_direct_continuation,60,355,196,1.4,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
accepted_unwind_direct_continuation,120,355,169,1.207142857142857,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
accepted_unwind_direct_continuation,240,355,143,1.0214285714285714,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
accepted_unwind_direct_continuation,480,355,120,0.8571428571428571,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
accepted_unwind_delayed_continuation,60,355,196,1.4,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
accepted_unwind_delayed_continuation,120,355,169,1.207142857142857,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
accepted_unwind_delayed_continuation,240,355,143,1.0214285714285714,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
accepted_unwind_delayed_continuation,480,355,120,0.8571428571428571,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
rejected_unwind_delayed_reversal,60,119,80,0.5714285714285714,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
rejected_unwind_delayed_reversal,120,119,78,0.5571428571428572,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
rejected_unwind_delayed_reversal,240,119,67,0.4785714285714286,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
rejected_unwind_delayed_reversal,480,119,61,0.4357142857142857,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
persistent15_delayed_continuation,60,459,269,1.9214285714285715,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
persistent15_delayed_continuation,120,459,221,1.5785714285714285,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
persistent15_delayed_continuation,240,459,182,1.3,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
persistent15_delayed_continuation,480,459,142,1.0142857142857142,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
rejected15_delayed_reversal,60,212,159,1.1357142857142857,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
rejected15_delayed_reversal,120,212,143,1.0214285714285714,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
rejected15_delayed_reversal,240,212,124,0.8857142857142857,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
rejected15_delayed_reversal,480,212,103,0.7357142857142858,,,,,,route_rejected,one-slot after-cost expectancy is non-positive | fewer than 60% of periods are positive (0/9)
