key,phase,scenario,completed_episodes,episodes_per_calendar_day,gross_mean_bps,net15_mean_bps,net15_hit_rate,net15_profit_factor,bootstrap_ci95_low,bootstrap_ci95_high
quarter_hour:sc_reversal30_realign_price,quarter_hour,sc_reversal30_realign_price,603,2.6919642857142856,0.6896733268115222,-14.310326673188479,0.43283582089552236,0.8059391557218962,-31.43972913022772,4.2498630841160105
quarter_hour:sc_consensus_flow,quarter_hour,sc_consensus_flow,701,3.1294642857142856,-7.754256345463633,-22.75425634546363,0.42796005706134094,0.7190108034129356,-39.603981054952285,-6.217174390568045
quarter_hour:sc_abs50,quarter_hour,sc_abs50,718,3.205357142857143,-11.797543707242815,-26.797543707242816,0.44707520891364905,0.6628874403695224,-41.39328250098712,-12.261233286585343
quarter_hour:sc_all,quarter_hour,sc_all,720,3.2142857142857144,-4.489102884637347,-19.48910288463735,0.43194444444444446,0.7514593101402863,-35.00704463001064,-4.57227225408717
placebo_03:sc_reversal30_realign_price,placebo_03,sc_reversal30_realign_price,614,2.7410714285714284,-2.899414938942537,-17.89941493894254,0.44625407166123776,0.7710589818786566,-33.276385606407224,-2.3486985939639555
placebo_03:sc_consensus_flow,placebo_03,sc_consensus_flow,702,3.1339285714285716,-15.188412689647672,-30.188412689647667,0.43874643874643876,0.657920259415585,-47.219687668075565,-13.51471084818825
placebo_03:sc_abs50,placebo_03,sc_abs50,719,3.2098214285714284,-8.909095245991473,-23.90909524599147,0.4297635605006954,0.7069334436292587,-40.28801559148054,-7.539066098903901
placebo_03:sc_all,placebo_03,sc_all,720,3.2142857142857144,-1.194105807511811,-16.19410580751181,0.4625,0.7918971421426046,-32.844560875292466,0.037683556601298816
placebo_07:sc_reversal30_realign_price,placebo_07,sc_reversal30_realign_price,606,2.705357142857143,10.600051995492297,-4.399948004507702,0.46204620462046203,0.9360688352529114,-19.63705174948283,10.979583971620661
placebo_07:sc_consensus_flow,placebo_07,sc_consensus_flow,701,3.1294642857142856,4.064221257615803,-10.935778742384196,0.47360912981455067,0.8535459806231367,-27.14763302012313,4.209895030471042
placebo_07:sc_abs50,placebo_07,sc_abs50,720,3.2142857142857144,-11.29708216861462,-26.297082168614622,0.4263888888888889,0.6762291188404377,-41.46779834309901,-11.484011778881142
placebo_07:sc_all,placebo_07,sc_all,720,3.2142857142857144,1.7385565184715068,-13.261443481528497,0.44166666666666665,0.829255295756476,-30.268299169548513,3.9718318590600634
placebo_11:sc_reversal30_realign_price,placebo_11,sc_reversal30_realign_price,615,2.7455357142857144,3.670640462251165,-11.329359537748834,0.45528455284552843,0.8440926796051047,-27.86794782244112,5.482377078249897
placebo_11:sc_consensus_flow,placebo_11,sc_consensus_flow,705,3.1473214285714284,5.269036039432238,-9.73096396056776,0.47801418439716314,0.8682876899613076,-25.057331192107206,5.308858580296104
placebo_11:sc_abs50,placebo_11,sc_abs50,720,3.2142857142857144,-2.9903596796298326,-17.990359679629833,0.4583333333333333,0.7698608111896926,-32.784884781351565,-3.8852342746636195
placebo_11:sc_all,placebo_11,sc_all,720,3.2142857142857144,-0.7482060332659576,-15.748206033265959,0.4361111111111111,0.800152343094626,-31.310399258819583,0.6510437231687329
