split,asset,phase,scenario,return_column,events,independent_events,independent_events_per_day,mean_bps,net10_mean_bps,hit_rate,profit_factor,independent_mean_bps,independent_net10_mean_bps,independent_hit_rate,independent_profit_factor
all,ALL,placebo_03,sc_abs50,dir_bps_d30_h240,2785,123,6.833333333333333,1.1957529722448381,-8.804247027755162,0.49587073608617593,1.0249213969618203,-14.50309826224546,-24.50309826224546,0.43902439024390244,0.7313581004583221
all,ALL,placebo_03,sc_abs75,dir_bps_d30_h240,1211,111,6.166666666666667,2.791561502818582,-7.208438497181418,0.4995871180842279,1.066928119051374,7.569386890728562,-2.4306131092714383,0.45045045045045046,1.1514572260447165
all,ALL,placebo_03,sc_absorbed_1m,dir_bps_d30_h240,943,111,6.166666666666667,-4.751966048530255,-14.751966048530255,0.4899257688229056,0.898525994470393,-8.394231925215461,-18.39423192521546,0.44144144144144143,0.8478155090428374
all,ALL,placebo_03,sc_aligned_1m,dir_bps_d30_h240,1842,118,6.555555555555555,4.240649300470088,-5.759350699529912,0.498914223669924,1.0873091133336847,-3.4336677281150068,-13.433667728115006,0.5254237288135594,0.941084482715585
all,ALL,placebo_03,sc_all,dir_bps_d30_h240,6912,126,7.0,-1.221433685079191,-11.221433685079191,0.4995659722222222,0.9801919732164083,14.44310111759861,4.44310111759861,0.47619047619047616,1.2737542296453659
all,ALL,placebo_03,sc_burst125,dir_bps_d30_h240,2973,122,6.777777777777778,7.091129536559199,-2.9088704634408007,0.5132862428523377,1.120013821898319,-13.627831500522463,-23.62783150052246,0.45081967213114754,0.7879085268536775
all,ALL,placebo_03,sc_consensus_flow,dir_bps_d30_h240,1434,116,6.444444444444445,-1.9317802978441874,-11.931780297844188,0.48465829846582986,0.961773786470843,-9.61761484953323,-19.61761484953323,0.4396551724137931,0.8269548239061442
all,ALL,placebo_03,sc_extreme_burst,dir_bps_d30_h240,1247,115,6.388888888888889,5.476523784269499,-4.523476215730501,0.49318364073777066,1.1127051881219763,2.7899222359931093,-7.210077764006891,0.4434782608695652,1.056301649828459
all,ALL,placebo_03,sc_nonfunding_abs50,dir_bps_d30_h240,2785,123,6.833333333333333,1.1957529722448381,-8.804247027755162,0.49587073608617593,1.0249213969618203,-14.50309826224546,-24.50309826224546,0.43902439024390244,0.7313581004583221
all,ALL,placebo_03,sc_nonfunding_extreme,dir_bps_d30_h240,1247,115,6.388888888888889,5.476523784269499,-4.523476215730501,0.49318364073777066,1.1127051881219763,2.7899222359931093,-7.210077764006891,0.4434782608695652,1.056301649828459
all,ALL,placebo_03,sc_persistent_flow,dir_bps_d30_h240,1420,118,6.555555555555555,0.44249563500753974,-9.557504364992461,0.4788732394366197,1.0089291601432484,-4.450244223643859,-14.450244223643859,0.4491525423728814,0.9196189010802546
all,ALL,placebo_03,sc_reversal30,dir_bps_d30_h240,1363,114,6.333333333333333,-0.9308286239356715,-10.930828623935671,0.4966984592809978,0.9806707299830432,2.603283272508902,-7.396716727491098,0.5087719298245614,1.0561810455975005
all,ALL,placebo_03,sc_reversal30_5bps,dir_bps_d30_h240,1186,114,6.333333333333333,-2.7797191146744042,-12.779719114674403,0.49494097807757165,0.9445918586868245,-2.9881939444928163,-12.988193944492817,0.5263157894736842,0.9426337233124026
all,ALL,placebo_03,sc_reversal30_full,dir_bps_d30_h240,133,65,3.611111111111111,-16.590022764317364,-26.590022764317364,0.46616541353383456,0.6863250900322732,-25.630683320771787,-35.63068332077179,0.46153846153846156,0.5923059675081178
all,ALL,placebo_03,sc_reversal30_realign,dir_bps_d30_h240,553,99,5.5,8.680396777765855,-1.3196032222341447,0.515370705244123,1.202249237131189,-35.26872797720777,-45.26872797720777,0.3939393939393939,0.4657935562434366
all,ALL,placebo_03,sc_reversal30_realign_burst,dir_bps_d30_h240,238,79,4.388888888888889,-2.2430148140963357,-12.243014814096336,0.4831932773109244,0.9526360224643016,-20.50028562397992,-30.50028562397992,0.43037974683544306,0.623860025747732
all,ALL,placebo_03,sc_reversal30_realign_price,dir_bps_d30_h240,296,82,4.555555555555555,-1.3860878433550068,-11.386087843355007,0.5067567567567568,0.9715346843163706,-1.858334893527135,-11.858334893527136,0.45121951219512196,0.9670652426165446
