group,horizon_min,count,mean,median,win_rate,profit_factor,gross_profit,gross_loss,q10,q90,best,worst,top1_positive_share,top2_positive_share,mean_without_best,mean_without_worst
all,60,49,0.007197785307163718,0.0008697840037932,0.5510204081632653,3.2111533347130767,0.5121971436855111,0.15950566363448881,-0.00939399065954104,0.024358661311937622,0.1418663095539577,-0.0215460916817611,0.27697598727935036,0.4464369939462544,0.004392191052022176,0.007796616077766318
all,120,49,0.002073892489496643,0.0001874745296952,0.5102040816326531,1.49230465607416,0.3080391168848428,0.20641838489950728,-0.014542146687262919,0.017272453071848822,0.085777959943185,-0.0250692509803139,0.2784645041533871,0.3804775185966564,0.0003300577508781354,0.0026393746451176966
all,240,49,0.003262568345378725,0.0015842255733638,0.5918367346938775,1.6112417842874096,0.42140858542009846,0.261542736496541,-0.02185013992757362,0.027505567567836314,0.0653777759191731,-0.0477641104500543,0.15514106304692055,0.304783945221641,0.001968501520924675,0.004325624153616914
all,480,49,0.006829052777175394,-0.0001160713195908,0.4897959183673469,2.106262007527077,0.6371049004581113,0.3024813143765169,-0.023627616464650357,0.046697990485900086,0.0697009862591167,-0.04809523443505,0.10940268425026727,0.20761372680132426,0.00551922082963495,0.007973308760763423
all,720,49,0.009891681483041695,-0.0022628183731225,0.4897959183673469,1.9128635778969096,1.0156505822658897,0.5309581895968466,-0.03048353894768196,0.06558323476623995,0.2145204733434317,-0.0755081530285236,0.2112148381432935,0.33050500867775234,0.005628581652616905,0.01167084470203264
all,1440,49,0.013204411506057332,0.0101450609116743,0.5714285714285714,1.7869475626042872,1.469200759750833,0.8221845959540235,-0.035399853650691024,0.07959104851799327,0.2145204733434317,-0.1327278461413088,0.14601168146674046,0.22847633468572456,0.009010326884445365,0.016244666873710793
split:post_publication,60,9,-0.0031916350506971665,-0.0027280104092738,0.3333333333333333,0.08656492067423276,0.0027221997174640003,0.03144691517373851,-0.0079460711373928,0.0009485372255172001,0.0012635501124132,-0.0106802046295624,0.46416510306243164,0.7836802357006388,-0.0037485331960859626,-0.0022555638533390122
split:post_publication,120,9,-0.0023593822834794775,-0.0019,0.3333333333333333,0.31063261586738017,0.0095683520380571,0.030802792589372397,-0.00775475295357154,0.0044003130683934,0.0045959837389302,-0.0082130396923301,0.4803317980620032,0.9351013742076122,-0.0032288030362806874,-0.00162767510737315
split:post_publication,240,9,-0.0006064711196900997,1.292409383303909e-06,0.5555555555555556,0.6116067538594787,0.008595145586545205,0.014053385663756102,-0.0036868483000504597,0.00297440650952774,0.0030850794431067,-0.0079953486684567,0.35893277339432933,0.7017702793402214,-0.0010679149400396996,0.0003171385739057256
split:post_publication,480,9,-0.0003026820988030889,-0.0005829589522205,0.2222222222222222,0.7742414449211824,0.0093424642491416,0.012066603138369401,-0.0034547344971405398,0.0034523151315877607,0.0067027604462092,-0.0039958868221115,0.7174510137221087,1.0,-0.001178362416929625,0.00015896849161046246
