trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,Candidate35Strategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250711-001459-001-000-1,O-20250711-005659-001-000-4,SELL,FLAT,0.000,120.991,1752192959999000000,2025-07-11 00:15:59.999000+00:00,1752195479999000000,2025-07-11 00:57:59.999000+00:00,2520000000000,2943.45,2941.37,['534.00769246 USDT'],0.00071,-282.34641246 USDT,True
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20250711-160959-001-000-5,O-20250711-160959-001-000-6,SELL,FLAT,0.0,30793.6,1752250259999000000,2025-07-11 16:10:59.999000+00:00,1752257639999000000,2025-07-11 18:13:59.999000+00:00,7380000000000,2.7392,2.8307,['128.63795448 USDT'],-0.0334,-2946.25235448 USDT,True
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20250712-000959-001-000-8,O-20250712-000959-001-000-9,BUY,FLAT,0.0,137615.6,1752279059999000000,2025-07-12 00:10:59.999000+00:00,1752279359999000000,2025-07-12 00:15:59.999000+00:00,300000000000,2.7373415992808954,2.7217,['563.43696384 USDT'],-0.00571,-2715.96503384 USDT,True
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20250712-160959-001-000-11,O-20250712-165459-001-000-14,BUY,FLAT,0.0,65926.0,1752336659999000000,2025-07-12 16:10:59.999000+00:00,1752339359999000000,2025-07-12 16:55:59.999000+00:00,2700000000000,2.6987,2.7066,['267.26235585 USDT'],0.00293,253.55304415 USDT,True
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250714-080959-001-000-15,O-20250714-081059-001-000-18,SELL,FLAT,0.000,3.701,1752480659999000000,2025-07-14 08:10:59.999000+00:00,1752480719999000000,2025-07-14 08:11:59.999000+00:00,60000000000,122364.3,122409.6,['679.43115292 USDT'],-0.00037,-847.08645292 USDT,True
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-001,O-20250714-120959-001-000-19,O-20250714-120959-001-000-20,BUY,FLAT,0.000,3.627,1752495059999000000,2025-07-14 12:10:59.999000+00:00,1752500159999000000,2025-07-14 13:35:59.999000+00:00,5100000000000,121751.09999999999,121227.3,['660.96199261 USDT'],-0.0043,-2560.78459261 USDT,False
BACKTESTER-001,Candidate35Strategy-000,SOLUSDT-PERP.BINANCE,BINANCE-001,O-20250716-000959-001-000-22,O-20250716-000959-001-000-23,SELL,FLAT,0.00,2673.76,1752624659999000000,2025-07-16 00:10:59.999000+00:00,1752625139999000000,2025-07-16 00:18:59.999000+00:00,480000000000,163.6672472847226,164.37,['657.81965273 USDT'],-0.00429,-2536.81175273 USDT,False
BACKTESTER-001,Candidate35Strategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20250716-160959-001-000-25,O-20250716-160959-001-000-26,SELL,FLAT,0.000,138.621,1752682259999000000,2025-07-16 16:10:59.999000+00:00,1752683279999000000,2025-07-16 16:27:59.999000+00:00,1020000000000,3239.99,3252.32,['674.97787838 USDT'],-0.00381,-2384.17480838 USDT,False
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20250717-080959-001-000-28,O-20250717-080959-001-000-29,SELL,FLAT,0.0,92989.0,1752739859999000000,2025-07-17 08:10:59.999000+00:00,1752740219999000000,2025-07-17 08:16:59.999000+00:00,360000000000,3.1437,3.165,['439.97977823 USDT'],-0.00678,-2420.64547823 USDT,True
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-001,O-20250718-080959-001-000-31,O-20250718-080959-001-000-32,BUY,FLAT,0.0,40807.2,1752826259999000000,2025-07-18 08:10:59.999000+00:00,1752827999999000000,2025-07-18 08:39:59.999000+00:00,1740000000000,3.5017,3.4474,['212.67998514 USDT'],-0.01551,-2428.51094514 USDT,False
