trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-0b23d2f4e834f35d-26747,MARKET,SELL,9.628,GTC,False,False,9.628,TAKER,64928.8,0.0,['468.85086480 USDT'],NO_TRIGGER,FILLED,OTO,OL-20260720-115959-001-000-1,"['O-20260720-115959-001-000-2', 'O-20260720-115959-001-000-3']",,,,,['ENTRY'],cda5f3a2-38b3-4424-bec5-2d43853f5e2d,2026-07-20 11:59:59.999000+00:00,2026-07-20 12:00:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-2510027f84a819f6-26752,MARKET,BUY,9.628,GTC,True,False,9.628,TAKER,64941.100000000006,0.0,['468.93968310 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,cfc55faf-5437-41a9-84ba-06a2b2e09c43,2026-07-20 12:00:59.999000+00:00,2026-07-20 12:01:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-001,XRPUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-8df3b9db0e35424d-31836,MARKET,SELL,466759.1,GTC,False,False,466759.1,TAKER,1.1541503950324694,0.0,['404.03264974 USDT'],NO_TRIGGER,FILLED,OTO,OL-20260721-155959-001-000-2,"['O-20260721-155959-001-000-6', 'O-20260721-155959-001-000-7']",,,,,['ENTRY'],475b315d-d00a-4db8-9393-3a27312adbee,2026-07-21 15:59:59.999000+00:00,2026-07-21 16:00:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-004,XRPUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-a55f8ad34b429441-32128,MARKET,BUY,466759.1,GTC,True,False,466759.1,TAKER,1.1525690241282922,0.0,['403.47906029 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,66edd403-a05e-41a5-94b9-e5ee89d1ac14,2026-07-21 17:24:59.999000+00:00,2026-07-21 17:25:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-002,ETHUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-4fa7be52f41cb14f-59330,STOP_MARKET,BUY,279.936,GTC,True,False,279.936,TAKER,1920.33,0.009999999999990905,['403.17712416 USDT'],NO_TRIGGER,FILLED,OUO,OL-20260726-155959-001-000-3,['O-20260726-155959-001-000-11'],O-20260726-155959-001-000-9,,,,['STOP_LOSS'],d1cc8a28-4e83-41bc-b67c-2ec11f3e9bb3,2026-07-26 15:59:59.999000+00:00,2026-07-26 16:28:59.999000+00:00,1920.32,DEFAULT,,
BACKTESTER-001,Candidate35Strategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-001,ETHUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-93d99b4fb2aa3c49-59229,MARKET,SELL,279.936,GTC,False,False,279.936,TAKER,1913.74,0.0,['401.79354048 USDT'],NO_TRIGGER,FILLED,OTO,OL-20260726-155959-001-000-3,"['O-20260726-155959-001-000-10', 'O-20260726-155959-001-000-11']",,,,,['ENTRY'],908178f0-0aea-4d38-afc1-df55176ebf70,2026-07-26 15:59:59.999000+00:00,2026-07-26 16:00:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-005,XRPUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-c8700257e7141be0-56583,MARKET,SELL,369598.6,GTC,False,False,369598.6,TAKER,1.1123117098928406,0.0,['308.33163806 USDT'],NO_TRIGGER,FILLED,OTO,OL-20260726-235959-001-000-4,"['O-20260726-235959-001-000-13', 'O-20260726-235959-001-000-14']",,,,,['ENTRY'],9cf55eaa-38b5-40b9-9d6d-767a333a1020,2026-07-26 23:59:59.999000+00:00,2026-07-27 00:00:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-008,XRPUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-00b824abe73b4f77-57384,MARKET,BUY,369598.6,GTC,True,False,369598.6,TAKER,1.1071963397588627,0.0,['306.91366283 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,a922e62b-db7d-42e3-988b-90b270c80ab6,2026-07-27 03:59:59.999000+00:00,2026-07-27 04:00:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-004,ETHUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-b5c1905d531c7fb7-69637,MARKET,SELL,251.548,GTC,False,False,251.548,TAKER,1919.27,0.0,['362.09139747 USDT'],NO_TRIGGER,FILLED,OTO,OL-20260728-155959-001-000-5,"['O-20260728-155959-001-000-17', 'O-20260728-155959-001-000-18']",,,,,['ENTRY'],5185058c-d5d2-4229-b4bd-94daf0c87e5b,2026-07-28 15:59:59.999000+00:00,2026-07-28 16:00:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-005,ETHUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-174150b7ab2bc409-69828,STOP_MARKET,BUY,251.548,GTC,True,False,251.548,TAKER,1926.88,0.010000000000218279,['363.52710768 USDT'],NO_TRIGGER,FILLED,OUO,OL-20260728-155959-001-000-5,['O-20260728-155959-001-000-18'],O-20260728-155959-001-000-16,,,,['STOP_LOSS'],5f70eaef-5d9c-4d95-ab46-14393df071af,2026-07-28 15:59:59.999000+00:00,2026-07-28 16:51:59.999000+00:00,1926.87,DEFAULT,,
