trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id
BACKTESTER-001,Candidate35Strategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-001,SOLUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-8685992de73a6589-16072,MARKET,BUY,849.86,GTC,False,False,849.86,TAKER,130.387,0.0,['83.10802187 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240909-001459-001-000-1,"['O-20240909-001459-001-000-2', 'O-20240909-001459-001-000-3']",,,,,['ENTRY'],bf1804f1-a2a9-4ba2-abbf-4c57884d1024,2024-09-09 00:14:59.999000+00:00,2024-09-09 00:15:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-004,SOLUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-9e07886c8899d308-17429,MARKET,SELL,849.86,GTC,True,False,849.86,TAKER,127.902,0.0,['81.52409529 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,904df394-559e-46f1-b939-e0292247fb58,2024-09-09 06:14:59.999000+00:00,2024-09-09 06:15:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-001,ETHUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-4aea6a5533a3d5a7-17824,MARKET,BUY,46.678,GTC,False,False,46.678,TAKER,2319.75,0.0,['81.21096787 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240909-081459-001-000-2,"['O-20240909-081459-001-000-6', 'O-20240909-081459-001-000-7']",,,,,['ENTRY'],893c5ccb-df0e-43fc-89ab-211f69f562ec,2024-09-09 08:14:59.999000+00:00,2024-09-09 08:15:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-004,ETHUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-d53a3fdf2477b9b7-19181,MARKET,SELL,46.678,GTC,True,False,46.678,TAKER,2304.73,0.0,['80.68514021 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,bd6ef047-892d-42d3-9e1e-a640620431e0,2024-09-09 14:14:59.999000+00:00,2024-09-09 14:15:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-7dc447cf38dc2f69-18931,MARKET,SELL,1.949,GTC,False,False,1.949,TAKER,54903.2,0.0,['80.25475260 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240909-151459-001-000-3,"['O-20240909-151459-001-000-10', 'O-20240909-151459-001-000-11']",,,,,['ENTRY'],11f2e20d-73b6-4bda-bfcc-740708b985e0,2024-09-09 15:14:59.999000+00:00,2024-09-09 15:15:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-099644f3f0055e08-18936,MARKET,BUY,1.949,GTC,True,False,1.949,TAKER,54881.6,0.0,['80.22317880 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d960cfa2-dd62-46aa-926f-07de4395aaf9,2024-09-09 15:15:59.999000+00:00,2024-09-09 15:16:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-63fe5e364933d6b8-19157,MARKET,BUY,1.918,GTC,False,False,1.918,TAKER,55948.700000000004,0.0,['80.48220495 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240909-161459-001-000-4,"['O-20240909-161459-001-000-14', 'O-20240909-161459-001-000-15']",,,,,['ENTRY'],d0f834e9-5eef-42ee-8c92-bb19654ac926,2024-09-09 16:14:59.999000+00:00,2024-09-09 16:15:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-008,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-374fcdd9ca79149f-19161,MARKET,SELL,1.918,GTC,True,False,1.918,TAKER,55863.0,0.0,['80.35892550 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,60df6461-0e9f-4a6c-94f0-e98b4d03500d,2024-09-09 16:15:59.999000+00:00,2024-09-09 16:16:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-005,SOLUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-c6347003d515d9fb-19812,MARKET,BUY,816.21,GTC,False,False,816.21,TAKER,130.899,0.0,['80.13080459 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240909-164459-001-000-5,"['O-20240909-164459-001-000-18', 'O-20240909-164459-001-000-19']",,,,,['ENTRY'],fa8bd5f0-8981-465a-a35f-20b6f8f18c2c,2024-09-09 16:44:59.999000+00:00,2024-09-09 16:45:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-008,SOLUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-1ccfccba163e49f2-19927,MARKET,SELL,816.21,GTC,True,False,816.21,TAKER,133.042,0.0,['81.44265812 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,5127090e-3056-4a36-90ef-fb4fc8dc64e5,2024-09-09 17:13:59.999000+00:00,2024-09-09 17:14:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-001,XRPUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-88ca090f46c483a6-17621,MARKET,BUY,202446.2,GTC,False,False,202446.2,TAKER,0.5365,0.0,['81.45928973 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240909-171459-001-000-6,"['O-20240909-171459-001-000-22', 'O-20240909-171459-001-000-23']",,,,,['ENTRY'],2e487f35-cf16-4aed-ba4e-dfe0833e5615,2024-09-09 17:14:59.999000+00:00,2024-09-09 17:15:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,XRPUSDT-PERP.BINANCE,BINANCE-4-004,XRPUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-fe461504cb09bf8a-18832,MARKET,SELL,202446.2,GTC,True,False,202446.2,TAKER,0.5394220990564407,0.0,['81.90296562 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,89ecdad2-0c65-4946-a804-f99181d15c0e,2024-09-09 23:14:59.999000+00:00,2024-09-09 23:15:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-6638a045e17fdd45-21772,MARKET,SELL,1.926,GTC,False,False,1.926,TAKER,56528.5,0.0,['81.65541825 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240910-035959-001-000-7,"['O-20240910-035959-001-000-26', 'O-20240910-035959-001-000-27']",,,,,['ENTRY'],3dada0e9-1750-404a-889f-d4c988cf08db,2024-09-10 03:59:59.999000+00:00,2024-09-10 04:00:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-469bf1f1289e701f-23061,MARKET,BUY,1.926,GTC,True,False,1.926,TAKER,57091.2,0.0,['82.46823840 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b4faa562-d8ef-44e1-94c4-a2f23d734bdc,2024-09-10 09:59:59.999000+00:00,2024-09-10 10:00:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-009,SOLUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-df071fbb918c561d-24499,MARKET,SELL,803.25,GTC,False,False,803.25,TAKER,133.802,0.0,['80.60734238 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240910-134459-001-000-8,"['O-20240910-134459-001-000-30', 'O-20240910-134459-001-000-31']",,,,,['ENTRY'],16a09b5b-16f6-4f57-bf0d-07d21d4bd800,2024-09-10 13:44:59.999000+00:00,2024-09-10 13:45:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-010,SOLUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-fa32eaf0eab73d3e-25545,STOP_MARKET,BUY,803.25,GTC,True,False,803.25,TAKER,137.17,0.009999999999990905,['82.63635188 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240910-134459-001-000-8,['O-20240910-134459-001-000-31'],O-20240910-134459-001-000-29,,,,['STOP_LOSS'],ba5908b8-aa45-4f42-8893-e567196b1366,2024-09-10 13:44:59.999000+00:00,2024-09-10 18:19:59.999000+00:00,137.1600,DEFAULT,,
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-013,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-65a30b579ff9e1c4-24980,MARKET,BUY,1.813,GTC,False,False,1.813,TAKER,57550.1,0.0,['78.25374847 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240910-182959-001-000-9,"['O-20240910-182959-001-000-33', 'O-20240910-182959-001-000-34']",,,,,['ENTRY'],cab85dcb-948f-4eb1-ba56-7fef6219cc89,2024-09-10 18:29:59.999000+00:00,2024-09-10 18:30:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-016,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-4c4795a7ad18eb34-26281,MARKET,SELL,1.813,GTC,True,False,1.813,TAKER,57485.9,0.0,['78.16645253 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,bc54151d-0ed5-4dc4-b664-7d08d4f5fe1d,2024-09-11 00:29:59.999000+00:00,2024-09-11 00:30:59.999000+00:00,,,,
