trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id
BACKTESTER-001,Candidate35Strategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-001,SOLUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-8685992de73a6589-21419,MARKET,BUY,849.86,GTC,False,False,849.86,TAKER,130.387,0.0,['83.10802187 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240909-001459-001-000-1,"['O-20240909-001459-001-000-2', 'O-20240909-001459-001-000-3']",,,,,['ENTRY'],fe16451f-1fdc-4c64-9096-c92e9f041abe,2024-09-09 00:14:59.999000+00:00,2024-09-09 00:15:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-002,SOLUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-d4662de720f7e30c-24657,STOP_MARKET,SELL,849.86,GTC,True,False,849.86,TAKER,127.11,0.010000000000005116,['81.01927845 USDT'],NO_TRIGGER,FILLED,OUO,OL-20240909-001459-001-000-1,['O-20240909-001459-001-000-3'],O-20240909-001459-001-000-1,,,,['STOP_LOSS'],c637ac45-ef20-4ac3-961c-e3302e3cb2f4,2024-09-09 00:14:59.999000+00:00,2024-09-09 14:31:59.999000+00:00,127.1200,DEFAULT,,
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-7dc447cf38dc2f69-24157,MARKET,SELL,1.953,GTC,False,False,1.953,TAKER,54903.2,0.0,['80.41946220 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240909-151459-001-000-2,"['O-20240909-151459-001-000-5', 'O-20240909-151459-001-000-6']",,,,,['ENTRY'],744a8821-b448-484f-a3f4-b17b475c6d37,2024-09-09 15:14:59.999000+00:00,2024-09-09 15:15:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-099644f3f0055e08-24162,MARKET,BUY,1.953,GTC,True,False,1.953,TAKER,54881.6,0.0,['80.38782360 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,3c81accc-f27a-4ed7-8b56-f537ecfb859a,2024-09-09 15:15:59.999000+00:00,2024-09-09 15:16:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-63fe5e364933d6b8-24383,MARKET,BUY,1.921,GTC,False,False,1.921,TAKER,55948.700000000004,0.0,['80.60808953 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240909-161459-001-000-3,"['O-20240909-161459-001-000-9', 'O-20240909-161459-001-000-10']",,,,,['ENTRY'],33509f53-87db-4116-be8c-d97c276de98d,2024-09-09 16:14:59.999000+00:00,2024-09-09 16:15:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-008,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-374fcdd9ca79149f-24387,MARKET,SELL,1.921,GTC,True,False,1.921,TAKER,55863.0,0.0,['80.48461725 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e3c26f2e-d1c3-466e-8088-ff307d7b8dc7,2024-09-09 16:15:59.999000+00:00,2024-09-09 16:16:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-009,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-fd6e3a581ce59b65-24439,MARKET,BUY,1.909,GTC,False,False,1.909,TAKER,56144.899999999994,0.0,['80.38546058 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240909-162959-001-000-4,"['O-20240909-162959-001-000-13', 'O-20240909-162959-001-000-14']",,,,,['ENTRY'],0250d5ed-339f-4d47-a212-b2e7b4958759,2024-09-09 16:29:59.999000+00:00,2024-09-09 16:30:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-012,BTCUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-de53889234554702-24444,MARKET,SELL,1.909,GTC,True,False,1.909,TAKER,56158.8,0.0,['80.40536190 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ac535dc8-e8f2-45a3-b72e-05331a2e78ba,2024-09-09 16:30:59.999000+00:00,2024-09-09 16:31:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-004,SOLUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-c6347003d515d9fb-25159,MARKET,BUY,816.68,GTC,False,False,816.68,TAKER,130.899,0.0,['80.17694649 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240909-164459-001-000-5,"['O-20240909-164459-001-000-17', 'O-20240909-164459-001-000-18']",,,,,['ENTRY'],cb58c997-2cb6-49ca-b1b9-33c210e7b5ad,2024-09-09 16:44:59.999000+00:00,2024-09-09 16:45:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-007,SOLUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-1ccfccba163e49f2-25274,MARKET,SELL,816.68,GTC,True,False,816.68,TAKER,133.042,0.0,['81.48955542 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,b09bd5bb-0822-4519-b29c-674dbd44ff4e,2024-09-09 17:13:59.999000+00:00,2024-09-09 17:14:59.999000+00:00,,,,
BACKTESTER-001,Candidate35Strategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-008,SOLUSDT-PERP.BINANCE-Candidate35Strategy-000,BINANCE-001,T-7eaf7f7e3546ec77-25279,MARKET,BUY,816.65,GTC,False,False,816.65,TAKER,133.058,0.0,['81.49636178 USDT'],NO_TRIGGER,FILLED,OTO,OL-20240909-171459-001-000-6,"['O-20240909-171459-001-000-21', 'O-20240909-171459-001-000-22']",,,,,['ENTRY'],8c7dd31e-8a25-4ba7-bda9-17f6618c19ed,2024-09-09 17:14:59.999000+00:00,2024-09-09 17:15:59.999000+00:00,,,,
