event_id,minute,perp_open,perp_high,perp_low,perp_close,perp_volume,perp_quote_volume,perp_taker_buy_quote,spot_open,spot_high,spot_low,spot_close,spot_quote_volume,long_liq_notional,short_liq_notional,open_interest,last_price_tick,index_price_tick,mark_price_tick,symbol,sample_day,perp_ret_1m,spot_ret_1m,perp_spot_basis,mark_index_basis,oi_change_15m,rolling_vwap_4h,perp_spot_basis_center,perp_spot_basis_scale,mark_index_basis_center,mark_index_basis_scale,dominant_liq,liq_total,liq_dominance,event_direction,directional_perp_return,directional_spot_return,futures_lead_return,directional_vwap_deviation,perp_basis_z_directional,mark_basis_z_directional,liq_share_of_perp_volume,liq_threshold_99,event_candidate,global_cluster_id,cluster_symbol_count,cluster_symbols,cluster_total_liquidation_notional,cluster_first_minute,cluster_last_minute,regime,reversal_return_1m,continuation_return_1m,reversal_return_5m,continuation_return_5m,reversal_return_15m,continuation_return_15m,reversal_return_30m,continuation_return_30m,reversal_return_60m,continuation_return_60m,reversal_mfe_30m,reversal_mae_30m,continuation_mfe_30m,continuation_mae_30m,vwap_reclaim_60m
0,2024-01-01 10:45:00+00:00,42755.8,42778.0,42755.8,42760.1,247.32,10576908.724,6064827.5387,42711.99,42734.0,42711.99,42720.09,1183697.6386914,0.0,66540.86618,74655.526,42760.0,42721.30191489,42759.86297518,BTCUSDT,2024-01-01,0.0001005660936410635,0.0001893901934089115,0.0009365616973184832,0.000902619034570229,0.004108348519375804,42600.588789684545,0.0008264097762328282,9.652431875714859e-05,0.0007928551974833997,0.00010289237069857964,66540.86618,66540.86618,1.0,1,0.0001005660936410635,0.0001893901934089115,-8.8824099767848e-05,0.003737350254439362,1.1411830977309758,1.0667830504982665,0.0062911449759429725,46693.9043538,True,1,1,BTCUSDT,66540.86618,2024-01-01 10:45:00+00:00,2024-01-01 10:45:00+00:00,SPOT_CONFIRMED_INFORMATION_MOVE,7.717772748150578e-05,-7.717772748150578e-05,-0.000346057173033213,0.000346057173033213,0.0003602136995003604,-0.0003602136995003604,0.0005801481879861778,-0.0005801481879861778,0.002334335324028965,-0.002334335324028965,0.0008886789319950683,-0.0009331128785947662,0.0009331128785947662,-0.0008886789319950683,False
1,2024-01-01 15:44:00+00:00,105.7,106.159,105.661,106.071,49856.0,5283183.453,3360239.454,105.62,106.0,105.59,105.97,1018405.0319,0.0,14389.2157,5312032.0,106.071,105.98055887,106.067,SOLUSDT,2024-01-01,0.0035037883331465736,0.0032136133516740273,0.0009530999339435464,0.0008156319510075338,-0.0004514123901505629,105.09502650305046,0.000999286407406097,0.0002504637761939327,0.0009457281142694063,0.00021612489541669207,14389.2157,14389.2157,1.0,1,0.0035037883331465736,0.0032136133516740273,0.0002901749814725463,0.009243726015587211,-0.18440380547001187,-0.6019489934791875,0.002723588122201064,9576.056098,True,2,2,"BTCUSDT,SOLUSDT",107514.47972,2024-01-01 15:44:00+00:00,2024-01-01 15:44:00+00:00,FORCED_OI_DERIVATIVES_LEAD,0.0017550816937932131,-0.0017550816937932131,-0.0005089634221729804,0.0005089634221729804,-0.00011312537131331596,0.00011312537131331596,-0.017791037637426257,0.017791037637426257,-0.009215357721396172,0.009215357721396172,0.003695637827492826,-0.022899755823929224,0.022899755823929224,-0.003695637827492826,False
2,2024-01-01 15:56:00+00:00,2317.76,2319.44,2317.3,2318.1,3800.852,8811698.76552,6152256.91694,2315.55,2317.29,2315.33,2315.88,878166.50378,0.0,253197.70483,794866.303,2318.1,2315.63295455,2317.56418561,ETHUSDT,2024-01-01,0.00015099712055643977,0.00014250458305919977,0.0009585988911342547,0.0008339970530328866,0.0003573298489032428,2307.821426591952,0.0009253106546168732,7.748629161663333e-05,0.0009003898576186442,8.61699355848269e-05,253197.70483,253197.70483,1.0,1,0.00015099712055643977,0.00014250458305919977,8.492537497239994e-06,0.004443910466941073,0.42960162143358704,-0.7704868772984003,0.02873426697480371,53122.01174999987,True,3,1,ETHUSDT,253197.70483,2024-01-01 15:56:00+00:00,2024-01-01 15:56:00+00:00,UNRESOLVED,0.0005739103951158695,-0.0005739103951158695,0.00031927791687813263,-0.00031927791687813263,-0.00026311192544834747,0.00026311192544834747,0.003084862007509608,-0.003084862007509608,0.0022630306615924363,-0.0022630306615924363,0.0038738622147448387,-0.001785945386307608,0.001785945386307608,-0.0038738622147448387,False
3,2024-01-01 18:07:00+00:00,42960.5,43047.9,42960.5,43041.3,1224.955,52697652.74724,37348013.05324,42924.47,43000.0,42924.46,42998.99,4927362.4700398,0.0,105488.81654,75466.673,43041.3,42987.54510638,43026.3613156,BTCUSDT,2024-01-01,0.001879030991764452,0.0017348004227404346,0.0009839766003807426,0.0009029640823625673,0.002769170750270833,42800.273579230336,0.0007956639771181662,7.639775055609536e-05,0.0007584046049524673,5.411738358119595e-05,105488.81654,105488.81654,1.0,1,0.001879030991764452,0.0017348004227404346,0.00014423056902401754,0.005615625252935858,2.4648974857487085,2.6712207398794083,0.0020017744821760565,51123.09699699995,True,4,1,BTCUSDT,105488.81654,2024-01-01 18:07:00+00:00,2024-01-01 18:07:00+00:00,UNRESOLVED,-0.0010008627761020589,0.0010008627761020589,-0.0012282974302328172,0.0012282974302328172,-0.0021746126701919716,0.0021746126701919716,-0.0015647130296328156,0.0015647130296328156,-0.004080758190786417,0.004080758190786417,0.0004646699797635767,-0.005267034220620692,0.005267034220620692,-0.0004646699797635767,False
4,2024-01-01 19:25:00+00:00,108.903,109.308,108.852,109.07,98520.0,10742984.942,7421911.331,108.77,109.0,108.76,108.95,1807628.0112,0.0,12161.9857,5232327.0,109.076,108.99211049,109.089,SOLUSDT,2024-01-01,0.0016333125918368552,0.0017454416263591455,0.0011014226709498143,0.0008889589307372603,0.0009819800068640028,107.33605430366646,0.0008353972882825245,0.0001827895942901285,0.0007672617870296827,0.00015235669447378564,12161.9857,12161.9857,1.0,1,0.0016333125918368552,0.0017454416263591455,-0.00011212903452229028,0.016025270730397684,1.4553639319590987,0.7987646629371883,0.001132086265191751,11419.017241999965,True,5,1,SOLUSDT,12161.9857,2024-01-01 19:25:00+00:00,2024-01-01 19:25:00+00:00,SPOT_CONFIRMED_INFORMATION_MOVE,0.003802949569215819,-0.003802949569215819,0.0030853452327955447,-0.0030853452327955447,0.005359527806810669,-0.005359527806810669,0.0027083493339076304,-0.0027083493339076304,0.002331495507368595,-0.002331495507368595,0.005812780782983307,-0.0009718529384799002,0.0009718529384799002,-0.005812780782983307,False
5,2024-01-01 19:47:00+00:00,43467.6,43500.0,43465.8,43496.2,880.908,38309084.471,26024821.4385,43434.66,43471.0,43434.66,43461.66,3290872.6013312,0.0,84377.78786999999,75342.365,43496.3,43459.6593617,43490.1,BTCUSDT,2024-01-01,0.000657744970460783,0.000621430248573418,0.0007947234413041571,0.0007004343510068622,0.0028389273878894894,43080.16124844773,0.0008066733908131951,8.502191921332602e-05,0.0007813939074466925,6.66125120725876e-05,84377.78786999999,84377.78786999999,1.0,1,0.000657744970460783,0.000621430248573418,3.6314721887364954e-05,0.00961098267565137,-0.140551396858671,-1.2153806232620181,0.002202552972360225,74842.9132808,True,6,1,BTCUSDT,84377.78786999999,2024-01-01 19:47:00+00:00,2024-01-01 19:47:00+00:00,UNRESOLVED,-0.0006802877695652629,0.0006802877695652629,-0.0011626438817560678,0.0011626438817560678,-0.003277667988205773,0.003277667988205773,-0.004720289687661466,0.004720289687661466,-0.00863463592760331,0.00863463592760331,0.0006782201663593224,-0.007329375899503887,0.007329375899503887,-0.0006782201663593224,False
6,2024-01-01 20:04:00+00:00,109.19,109.473,109.189,109.447,45761.0,5003001.593,3400501.455,109.11,109.38,109.11,109.37,1631430.8348,0.0,91617.25519999999,5269483.0,109.446,109.3598885,109.4433136,SOLUSDT,2024-01-01,0.0023051391003283683,0.002380081680127155,0.0007040321843283515,0.0007628491684132932,0.0017280077743240252,107.79527890703373,0.0008010657580472813,0.00017520267796597845,0.000736875744866472,0.00013709474665199087,91617.25519999999,91617.25519999999,1.0,1,0.0023051391003283683,0.002380081680127155,-7.494257979878682e-05,0.015206551226668266,-0.5538361333596294,0.18945600893631334,0.018312457731012356,12406.98100000003,True,7,1,SOLUSDT,91617.25519999999,2024-01-01 20:04:00+00:00,2024-01-01 20:04:00+00:00,SPOT_CONFIRMED_INFORMATION_MOVE,4.5685256005408706e-05,-4.5685256005408706e-05,-0.00023752969232825201,0.00023752969232825201,0.010341372790247367,-0.010341372790247367,0.007465185072262685,-0.007465185072262685,0.010230597083246537,-0.010230597083246537,0.011905305764433938,-0.0008771368790374545,0.0008771368790374545,-0.011905305764433938,True
7,2024-01-01 23:29:00+00:00,44048.5,44087.8,44039.9,44059.2,702.962,30975253.2524,16277923.036,43980.39,44000.0,43976.98,43989.99,4605673.4678204,0.0,161081.35940000002,76482.854,44058.5,43990.48659574,44053.9570461,BTCUSDT,2024-01-01,0.00024515478923703427,0.00021848265587998128,0.0015733124740424653,0.0014428221934270624,-0.01397422788799163,43689.686203997204,0.0012413751859000621,0.00012630826568335896,0.0012025250374853025,0.00012366975910167434,161081.35940000002,161081.35940000002,1.0,1,0.00024515478923703427,0.00021848265587998128,2.6672133357052985e-05,0.008422123543364341,2.627993396525084,1.9430550984109307,0.005200324210021406,101703.39362920013,True,8,1,BTCUSDT,161081.35940000002,2024-01-01 23:29:00+00:00,2024-01-01 23:29:00+00:00,FORCED_BASIS_DISLOCATION,0.00022472292779144145,-0.00022472292779144145,-0.00042433890565039844,0.00042433890565039844,-0.0018299511564211486,0.0018299511564211486,-0.0038736295369834707,0.0038736295369834707,,,0.0015933108181718225,-0.004693684860369807,0.004693684860369807,-0.0015933108181718225,False
8,2024-01-01 23:58:00+00:00,2352.89,2354.95,2352.88,2354.36,2322.941,5468524.1426,4462679.15282,2350.41,2352.37,2350.38,2351.8,1023537.586807,0.0,188511.62527999998,784377.869,2354.37,2351.77977273,2354.48799242,ETHUSDT,2024-01-01,0.0006288186065583901,0.0005954659697025022,0.0010885279360488553,0.0011515617752151375,0.0009958275251913395,2343.045150869411,0.0010593311047270015,0.00011162339867845829,0.001018680911961778,0.0001306549966176608,188511.62527999998,188511.62527999998,1.0,1,0.0006288186065583901,0.0005954659697025022,3.335263685588785e-05,0.004817498448767767,0.26156551106240744,1.0170362151721788,0.03447212088020013,59611.81427460009,True,9,1,ETHUSDT,188511.62527999998,2024-01-01 23:58:00+00:00,2024-01-01 23:58:00+00:00,UNRESOLVED,-0.0001104273113345964,0.0001104273113345964,,,,,,,,,0.00017839242936512623,-0.0001868873069539312,0.0001868873069539312,-0.00017839242936512623,False
9,2024-02-01 01:16:00+00:00,2267.18,2267.18,2264.3,2265.69,5531.244,12531214.35008,5600443.13889,2268.11,2268.11,2265.46,2266.67,2441688.950917,350389.6324,0.0,829617.852,2265.68,2266.8175,2265.84,ETHUSDT,2024-02-01,-0.0006530093815344529,-0.0006350914701052091,-0.0004323523053643141,-0.0004312213047586999,-0.0026778221499927923,2279.521229084005,,,,,350389.6324,350389.6324,1.0,-1,0.0006530093815344529,0.0006350914701052091,1.7917911429243816e-05,0.006086085367549003,,,0.027961346970157213,66614.57030920002,True,10,2,"ETHUSDT,XRPUSDT",402388.21459,2024-02-01 01:13:00+00:00,2024-02-01 01:16:00+00:00,FORCED_OI_DERIVATIVES_LEAD,0.0003971511079764391,-0.0003971511079764391,-0.00738033615442899,0.00738033615442899,-0.004991050382044379,0.004991050382044379,-0.004764852697610227,0.004764852697610227,-0.005208425774675027,0.005208425774675027,0.0013814776072631485,-0.012662809122165886,0.012662809122165886,-0.0013814776072631485,False
