client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
O-20260721-032500-001-000-1,EASYCHART-V2-001,EasyChartRE1LocalAuctionStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-001,BTCUSDT-PERP.BINANCE-EasyChartRE1LocalAuctionStrategy-000,BINANCE-001,T-5dbaa5835856f847-106170,MARKET,BUY,25.027,GTC,False,False,25.027,TAKER,65449.03583729571,0.0,['818.99650995 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,"['PLAN:sac-v5-complete-opportunity-structural-pullback-ec-re1-efficient-pullback-BTCUSDT-00000009', 'ROLE:ENTRY']",701e1bf1-eb58-44b3-ae61-2465479e0476,1784604300000000000,1784604300000000000,,,,,,,
O-20260721-032500-001-000-2,EASYCHART-V2-001,EasyChartRE1LocalAuctionStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-002,,BINANCE-001,,STOP_MARKET,SELL,0.001,GTC,True,False,0.000,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,NO_CONTINGENCY,,,,,,,"['PLAN:sac-v5-complete-opportunity-structural-pullback-ec-re1-efficient-pullback-BTCUSDT-00000009', 'ROLE:STOP_LOSS']",9493735e-2814-4b9c-97bd-eab74d2fd436,1784604300000000000,1784605320000000000,65401.4,DEFAULT,,,,,
O-20260721-032500-001-000-3,EASYCHART-V2-001,EasyChartRE1LocalAuctionStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-003,BTCUSDT-PERP.BINANCE-EasyChartRE1LocalAuctionStrategy-000,BINANCE-001,T-682c6f47b87326b3-106234,LIMIT,SELL,25.027,GTC,True,False,25.027,MAKER,65515.100003995685,0.09999600431183353,['327.92928156 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,"['PLAN:sac-v5-complete-opportunity-structural-pullback-ec-re1-efficient-pullback-BTCUSDT-00000009', 'ROLE:TAKE_PROFIT']",661c3f30-d145-40a2-b6c4-e6ee23c69c67,1784604300000000000,1784605320000000000,,,,,65515.2,False,
O-20260722-052600-001-000-4,EASYCHART-V2-001,EasyChartRE1LocalAuctionStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-004,BTCUSDT-PERP.BINANCE-EasyChartRE1LocalAuctionStrategy-000,BINANCE-001,T-36395c24bf5597d4-111599,MARKET,BUY,20.214,GTC,False,False,20.214,TAKER,66086.59999999999,0.0,['667.93726620 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,"['PLAN:sac-v5-human-immediate-failed-auction-reversal-ecv5-micro-BTCUSDT-00000010', 'ROLE:ENTRY']",cf53a4de-884f-4c42-9ddf-e8e2342e00ac,1784697960000000000,1784697960000000000,,,,,,,
O-20260722-052600-001-000-5,EASYCHART-V2-001,EasyChartRE1LocalAuctionStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-005,BTCUSDT-PERP.BINANCE-EasyChartRE1LocalAuctionStrategy-000,BINANCE-001,T-862540285232f1ad-111638,STOP_MARKET,SELL,20.214,GTC,True,False,20.214,TAKER,66010.3,0.09999999999126885,['667.16610210 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,"['PLAN:sac-v5-human-immediate-failed-auction-reversal-ecv5-micro-BTCUSDT-00000010', 'ROLE:STOP_LOSS']",dc4b49c7-264e-42ab-a54c-93ffcd1d7c93,1784697960000000000,1784698620000000000,66010.4,DEFAULT,,,,,
O-20260722-052600-001-000-6,EASYCHART-V2-001,EasyChartRE1LocalAuctionStrategy-000,BTCUSDT-PERP.BINANCE,BINANCE-1-006,,BINANCE-001,,LIMIT,SELL,20.214,GTC,True,False,0.000,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,NO_CONTINGENCY,,,,,,,"['PLAN:sac-v5-human-immediate-failed-auction-reversal-ecv5-micro-BTCUSDT-00000010', 'ROLE:TAKE_PROFIT']",7062f72b-62fb-4241-bc2f-3d96357e1673,1784697960000000000,1784698620000000000,,,,,66364.1,False,
O-20260722-145300-001-000-7,EASYCHART-V2-001,EasyChartRE1LocalAuctionStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-001,SOLUSDT-PERP.BINANCE-EasyChartRE1LocalAuctionStrategy-000,BINANCE-001,T-39622ca9a2b493e1-111924,MARKET,SELL,9584.91,GTC,False,False,9584.91,TAKER,77.6920476039942,0.0,['372.33564200 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,"['PLAN:sac-v5-human-immediate-failed-auction-reversal-ecv5-micro-SOLUSDT-00000012', 'ROLE:ENTRY']",8b5666bf-b7ad-4be7-8463-dde93c45bd83,1784731980000000000,1784731980000000000,,,,,,,
O-20260722-145300-001-000-8,EASYCHART-V2-001,EasyChartRE1LocalAuctionStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-002,SOLUSDT-PERP.BINANCE-EasyChartRE1LocalAuctionStrategy-000,BINANCE-001,T-fe75a438882f6032-111951,STOP_MARKET,BUY,9584.91,GTC,True,False,9584.91,TAKER,77.9,0.010000000000005116,['373.33224450 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,"['PLAN:sac-v5-human-immediate-failed-auction-reversal-ecv5-micro-SOLUSDT-00000012', 'ROLE:STOP_LOSS']",64b10acd-eae3-48e8-9534-3b03a36941ad,1784731980000000000,1784732460000000000,77.89,DEFAULT,,,,,
O-20260722-145300-001-000-9,EASYCHART-V2-001,EasyChartRE1LocalAuctionStrategy-000,SOLUSDT-PERP.BINANCE,BINANCE-3-003,,BINANCE-001,,LIMIT,BUY,9584.91,GTC,True,False,0.00,NO_LIQUIDITY_SIDE,,,,NO_TRIGGER,CANCELED,NO_CONTINGENCY,,,,,,,"['PLAN:sac-v5-human-immediate-failed-auction-reversal-ecv5-micro-SOLUSDT-00000012', 'ROLE:TAKE_PROFIT']",306765cf-a3a3-403c-9fb8-02a7221f50a3,1784731980000000000,1784732460000000000,,,,,77.17,False,
O-20260723-032100-001-000-10,EASYCHART-V2-001,EasyChartRE1LocalAuctionStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-2-001,ETHUSDT-PERP.BINANCE-EasyChartRE1LocalAuctionStrategy-000,BINANCE-001,T-1a35f87ac94afd99-120522,MARKET,BUY,542.975,GTC,False,False,542.975,TAKER,1922.1365316082695,0.0,['521.83604163 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,"['PLAN:sac-v5-human-immediate-failed-auction-reversal-ecv5-micro-ETHUSDT-00000016', 'ROLE:ENTRY']",a6a5e7d0-f39a-4051-a444-870e7767d214,1784776860000000000,1784776860000000000,,,,,,,
