plan_id,ts,score,reason
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2228:s2:XRPUSDT:15m:PIVOT:HIGH:2254:s2:EXCURSION:1724505000000000000:-1,1724505120000000000,1.0,candidate
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2228:s2:XRPUSDT:15m:PIVOT:HIGH:2254:s2:EXCURSION:1724505000000000000:-1,1724505120000000000,1.0,selected
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:LOW:2256:s2:ETHUSDT:15m:PIVOT:HIGH:2262:s2:EXCURSION:1724515680000000000:-1,1724515680000000000,1.0,candidate
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:LOW:2256:s2:ETHUSDT:15m:PIVOT:HIGH:2262:s2:EXCURSION:1724515680000000000:-1,1724515680000000000,1.0,selected
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:HIGH:2261:s2:XRPUSDT:15m:PIVOT:LOW:2280:s2:EXCURSION:1724533680000000000:1,1724533680000000000,1.0,candidate
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:HIGH:2261:s2:XRPUSDT:15m:PIVOT:LOW:2280:s2:EXCURSION:1724533680000000000:1,1724533680000000000,1.0,selected
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2274:s2:ETHUSDT:15m:PIVOT:LOW:2303:s2:EXCURSION:1724550420000000000:1,1724550480000000000,1.0,candidate
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:HIGH:2274:s2:ETHUSDT:15m:PIVOT:LOW:2303:s2:EXCURSION:1724550420000000000:1,1724550480000000000,1.0,selected
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2295:s2:XRPUSDT:15m:PIVOT:HIGH:2315:s2:EXCURSION:1724569980000000000:1,1724570040000000000,1.0,candidate
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:2295:s2:XRPUSDT:15m:PIVOT:HIGH:2315:s2:EXCURSION:1724569980000000000:1,1724570040000000000,1.0,selected
