plan_id,ts,score,reason
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:HIGH:896:s2:XRPUSDT:15m:PIVOT:LOW:919:s2:EXCURSION:1710081660000000000:1,1710081720000000000,1.0,candidate
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:HIGH:896:s2:XRPUSDT:15m:PIVOT:LOW:919:s2:EXCURSION:1710081660000000000:1,1710081720000000000,1.0,selected
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:HIGH:930:s2:XRPUSDT:15m:PIVOT:LOW:942:s2:EXCURSION:1710103080000000000:1,1710103440000000000,1.0,candidate
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:HIGH:930:s2:XRPUSDT:15m:PIVOT:LOW:942:s2:EXCURSION:1710103080000000000:1,1710103440000000000,1.0,selected
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:932:s2:SOLUSDT:15m:PIVOT:HIGH:939:s2:EXCURSION:1710106020000000000:1,1710106020000000000,1.0,candidate
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:932:s2:SOLUSDT:15m:PIVOT:HIGH:939:s2:EXCURSION:1710106020000000000:1,1710106020000000000,1.0,selected
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:963:s2:XRPUSDT:15m:PIVOT:HIGH:990:s2:EXCURSION:1710154680000000000:1,1710154800000000000,1.0,candidate
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:963:s2:XRPUSDT:15m:PIVOT:HIGH:990:s2:EXCURSION:1710154680000000000:1,1710154800000000000,1.0,selected
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:981:s2:SOLUSDT:15m:PIVOT:LOW:1007:s2:EXCURSION:1710162120000000000:1,1710162180000000000,1.0,candidate
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:981:s2:SOLUSDT:15m:PIVOT:LOW:1007:s2:EXCURSION:1710162120000000000:1,1710162180000000000,1.0,selected
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:LOW:1003:s2:ETHUSDT:15m:PIVOT:HIGH:1020:s2:EXCURSION:1710178380000000000:-1,1710178380000000000,1.0,candidate
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:LOW:1003:s2:ETHUSDT:15m:PIVOT:HIGH:1020:s2:EXCURSION:1710178380000000000:-1,1710178380000000000,1.0,selected
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:1033:s2:SOLUSDT:15m:PIVOT:HIGH:1047:s2:EXCURSION:1710200400000000000:-1,1710200400000000000,1.0,candidate
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:1033:s2:SOLUSDT:15m:PIVOT:HIGH:1047:s2:EXCURSION:1710200400000000000:-1,1710200400000000000,1.0,selected
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:1033:s2:SOLUSDT:15m:PIVOT:HIGH:1047:s2:EXCURSION:1710202020000000000:-1,1710202020000000000,1.0,candidate
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:HIGH:1033:s2:SOLUSDT:15m:PIVOT:HIGH:1047:s2:EXCURSION:1710202020000000000:-1,1710202020000000000,1.0,selected
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:LOW:1082:s2:ETHUSDT:15m:PIVOT:LOW:1089:s2:EXCURSION:1710239940000000000:-1,1710239940000000000,1.0,candidate
ETHUSDT:CELL:ETHUSDT:15m:PIVOT:LOW:1082:s2:ETHUSDT:15m:PIVOT:LOW:1089:s2:EXCURSION:1710239940000000000:-1,1710239940000000000,1.0,selected
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:1072:s2:XRPUSDT:15m:PIVOT:LOW:1098:s2:EXCURSION:1710245820000000000:1,1710245820000000000,1.0,candidate
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:1072:s2:XRPUSDT:15m:PIVOT:LOW:1098:s2:EXCURSION:1710245820000000000:1,1710245820000000000,1.0,selected
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:1106:s2:XRPUSDT:15m:PIVOT:LOW:1112:s2:EXCURSION:1710260640000000000:1,1710260640000000000,1.0,candidate
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:1106:s2:XRPUSDT:15m:PIVOT:LOW:1112:s2:EXCURSION:1710260640000000000:1,1710260640000000000,1.0,selected
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:1125:s2:XRPUSDT:15m:PIVOT:LOW:1146:s2:EXCURSION:1710292920000000000:1,1710292920000000000,1.0,candidate
XRPUSDT:CELL:XRPUSDT:15m:PIVOT:LOW:1125:s2:XRPUSDT:15m:PIVOT:LOW:1146:s2:EXCURSION:1710292920000000000:1,1710292920000000000,1.0,selected
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:LOW:1125:s2:SOLUSDT:15m:PIVOT:HIGH:1152:s2:EXCURSION:1710303720000000000:1,1710303720000000000,1.0,candidate
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:LOW:1125:s2:SOLUSDT:15m:PIVOT:HIGH:1152:s2:EXCURSION:1710303720000000000:1,1710303720000000000,1.0,selected
SOLUSDT:CELL:SOLUSDT:15m:PIVOT:LOW:1125:s2:SOLUSDT:15m:PIVOT:HIGH:1152:s2:EXCURSION:1710308760000000000:-1,1710308880000000000,1.0,candidate
