ts,nav
1724457600000000000,10000.0
1724457660000000000,10000.0
1724457720000000000,10000.0
1724457780000000000,10000.0
1724457840000000000,10000.0
1724457900000000000,10000.0
1724457960000000000,10000.0
1724458020000000000,10000.0
1724458080000000000,10000.0
1724458140000000000,10000.0
1724458200000000000,10000.0
1724458260000000000,10000.0
1724458320000000000,10000.0
1724458380000000000,10000.0
1724458440000000000,10000.0
1724458500000000000,10000.0
1724458560000000000,10000.0
1724458620000000000,10000.0
1724458680000000000,10000.0
1724458740000000000,10000.0
1724458800000000000,10000.0
1724458860000000000,10000.0
1724458920000000000,10000.0
1724458980000000000,10000.0
1724459040000000000,10000.0
1724459100000000000,10000.0
1724459160000000000,10000.0
1724459220000000000,10000.0
1724459280000000000,10000.0
1724459340000000000,10000.0
1724459400000000000,10000.0
1724459460000000000,10000.0
1724459520000000000,10000.0
1724459580000000000,10000.0
1724459640000000000,10000.0
1724459700000000000,10000.0
1724459760000000000,10000.0
1724459820000000000,10000.0
1724459880000000000,10000.0
1724459940000000000,10000.0
1724460000000000000,10000.0
1724460060000000000,10000.0
1724460120000000000,10000.0
1724460180000000000,10000.0
1724460240000000000,10000.0
1724460300000000000,10000.0
1724460360000000000,10000.0
1724460420000000000,10000.0
1724460480000000000,10000.0
1724460540000000000,10000.0
1724460600000000000,10000.0
1724460660000000000,10000.0
1724460720000000000,10000.0
1724460780000000000,10000.0
1724460840000000000,10000.0
1724460900000000000,10000.0
1724460960000000000,10000.0
1724461020000000000,10000.0
1724461080000000000,10000.0
1724461140000000000,10000.0
1724461200000000000,10000.0
1724461260000000000,10000.0
1724461320000000000,10000.0
1724461380000000000,10000.0
1724461440000000000,10000.0
1724461500000000000,10000.0
1724461560000000000,10000.0
1724461620000000000,10000.0
1724461680000000000,10000.0
1724461740000000000,10000.0
1724461800000000000,10000.0
1724461860000000000,10000.0
1724461920000000000,10000.0
1724461980000000000,10000.0
1724462040000000000,10000.0
1724462100000000000,10000.0
1724462160000000000,9963.35806799
1724462220000000000,9932.27734799
1724462280000000000,9920.03342799
1724462340000000000,9872.94142799
1724462400000000000,9827.26218799
1724462460000000000,9857.40106799
1724462520000000000,9828.439487990001
1724462580000000000,9864.93578799
1724462640000000000,9857.63652799
1724462700000000000,9810.77998799
1724462760000000000,9839.97702799
1724462820000000000,9869.17406799
1724462880000000000,9871.52866799
1724462940000000000,9895.78104799
1724463000000000000,9845.15714799
1724463060000000000,9869.40952799
1724463120000000000,9876.94424799
1724463180000000000,9827.26218799
1724463240000000000,9857.16560799
1724463300000000000,9801.36158799
1724463360000000000,9779.22834799
1724463420000000000,9789.35312799
1724463480000000000,9777.34466799
1724463540000000000,9769.10356799
1724463600000000000,9756.85964799
1724463660000000000,9767.45534799
1724463720000000000,9756.62418799
1724463780000000000,9753.56320799
1724463840000000000,9705.73398273
1724463900000000000,9705.73398273
1724463960000000000,9705.73398273
1724464020000000000,9705.73398273
1724464080000000000,9705.73398273
1724464140000000000,9705.73398273
1724464200000000000,9705.73398273
1724464260000000000,9705.73398273
1724464320000000000,9705.73398273
1724464380000000000,9705.73398273
1724464440000000000,9705.73398273
1724464500000000000,9705.73398273
1724464560000000000,9705.73398273
1724464620000000000,9705.73398273
1724464680000000000,9705.73398273
1724464740000000000,9705.73398273
1724464800000000000,9705.73398273
1724464860000000000,9642.572157139999
1724464920000000000,9649.75379714
1724464980000000000,9644.56705714
1724465040000000000,9682.66964714
1724465100000000000,9669.30381714
1724465160000000000,9673.89208714
1724465220000000000,9695.83598714
1724465280000000000,9710.79773714
1724465340000000000,9729.94877714
1724465400000000000,9726.15846714
1724465460000000000,9691.24771714
1724465520000000000,9701.82068714
1724465580000000000,9726.75693714
1724465640000000000,9728.55234714
1724465700000000000,9737.52939714
1724465760000000000,9720.57274714
1724465820000000000,9767.65238714
1724465880000000000,9770.04626714
1724465940000000000,9798.37384714
1724466000000000000,9798.57333714
1724466060000000000,9759.67278714
1724466120000000000,9751.69318714
1724466180000000000,9734.53704714
1724466240000000000,9733.93857714
1724466300000000000,9711.39620714
1724466360000000000,9703.61609714
1724466420000000000,9683.068627139999
1724466480000000000,9680.07627714
1724466540000000000,9724.16356714
1724466600000000000,9697.63139714
1724466660000000000,9678.081377139999
1724466720000000000,9685.86148714
1724466780000000000,9669.10432714
1724466840000000000,9664.51605714
1724466900000000000,9673.49310714
1724466960000000000,9670.30126714
1724467020000000000,9660.12727714
1724467080000000000,9648.95583714
1724467140000000000,9692.04567714
1724467200000000000,9678.48035714
1724467260000000000,9639.97878714
1724467320000000000,9628.60785714
1724467380000000000,9660.92523714
1724467440000000000,9662.52115714
1724467500000000000,9677.283417139999
1724467560000000000,9695.23751714
1724467620000000000,9703.81558714
1724467680000000000,9692.84363714
1724467740000000000,9650.35226714
1724467800000000000,9647.16042714
1724467860000000000,9663.11962714
1724467920000000000,9669.10432714
1724467980000000000,9676.88443714
1724468040000000000,9678.87933714
1724468100000000000,9675.48800714
1724468160000000000,9687.85638714
1724468220000000000,9710.19926714
1724468280000000000,9698.62884714
1724468340000000000,9711.39620714
1724468400000000000,9687.45740714
1724468460000000000,9698.82833714
1724468520000000000,9693.44210714
1724468580000000000,9694.04057714
1724468640000000000,9685.86148714
1724468700000000000,9666.510957139999
1724468760000000000,9657.93288714
1724468820000000000,9679.87678714
1724468880000000000,9672.89463714
1724468940000000000,9696.43445714
1724469000000000000,9682.86913714
1724469060000000000,9673.49310714
1724469120000000000,9681.87168714
1724469180000000000,9685.26301714
1724469240000000000,9696.63394714
1724469300000000000,9676.68494714
1724469360000000000,9654.34206714
1724469420000000000,9661.72319714
1724469480000000000,9676.48545714
1724469540000000000,9663.31911714
1724469600000000000,9639.97878714
1724469660000000000,9624.61805714
1724469720000000000,9623.22162714
1724469780000000000,9602.27517714
1724469840000000000,9591.30322714
1724469900000000000,9582.32617714
1724469960000000000,9627.61040714
1724470020000000000,9622.62315714
1724470080000000000,9628.40836714
1724470140000000000,9632.39816714
1724470200000000000,9649.75379714
1724470260000000000,9661.92268714
1724470320000000000,9656.53645714
1724470380000000000,9687.65689714
1724470440000000000,9669.10432714
1724470500000000000,9655.53900714
1724470560000000000,9634.99153714
1724470620000000000,9624.41856714
1724470680000000000,9611.85069714
1724470740000000000,9630.00428714
1724470800000000000,9605.06803714
1724470860000000000,9578.535867139999
1724470920000000000,9577.73790714
1724470980000000000,9606.86344714
1724471040000000000,9599.08333714
1724471100000000000,9594.89404714
1724471160000000000,9582.12668714
1724471220000000000,9563.77360714
1724471280000000000,9569.95779714
1724471340000000000,9551.00624714
1724471400000000000,9565.17003714
1724471460000000000,9536.44347714
1724471520000000000,9549.80930714
1724471580000000000,9544.22358714
1724471640000000000,9575.14453714
1724471700000000000,9551.80420714
1724471760000000000,9532.254187139999
1724471820000000000,9522.87815714
1724471880000000000,9513.90110714
1724471940000000000,9539.03684714
1724472000000000000,9543.425627139999
1724472060000000000,9545.42052714
1724472120000000000,9556.99094714
1724472180000000000,9560.781257139999
1724472240000000000,9550.80675714
1724472300000000000,9547.21593714
1724472360000000000,9565.17003714
1724472420000000000,9570.15728714
1724472480000000000,9580.33127714
1724472540000000000,9583.52311714
1724472600000000000,9591.50271714
1724472660000000000,9579.73280714
1724472720000000000,9600.67925714
1724472780000000000,9592.69965714
1724472840000000000,9624.61805714
1724472900000000000,9612.44916714
1724472960000000000,9594.69455714
1724473020000000000,9553.20063714
1724473080000000000,9562.97564714
1724473140000000000,9569.35932714
1724473200000000000,9544.22358714
1724473260000000000,9524.07509714
1724473320000000000,9532.05469714
1724473380000000000,9529.06234714
1724473440000000000,9523.27713714
1724473500000000000,9527.46642714
1724473560000000000,9494.94955714
1724473620000000000,9561.77870714
1724473680000000000,9582.52566714
1724473740000000000,9554.19808714
1724473800000000000,9555.395027139999
1724473860000000000,9562.57666714
1724473920000000000,9537.83990714
1724473980000000000,9538.83735714
1724474040000000000,9527.66591714
1724474100000000000,9553.99859714
1724474160000000000,9566.965447139999
1724474220000000000,9579.73280714
1724474280000000000,9574.34657714
1724474340000000000,9577.13943714
1724474400000000000,9568.36187714
1724474460000000000,9564.77105714
1724474520000000000,9568.76085714
1724474580000000000,9591.90169714
1724474640000000000,9584.321077139999
1724474700000000000,9585.51801714
1724474760000000000,9562.17768714
1724474820000000000,9589.10883714
1724474880000000000,9570.55626714
1724474940000000000,9539.83480714
1724475000000000000,9524.07509714
1724475060000000000,9534.04959714
1724475120000000000,9519.48682714
1724475180000000000,9533.85010714
1724475240000000000,9540.63276714
1724475300000000000,9543.425627139999
1724475360000000000,9536.44347714
1724475420000000000,9551.20573714
1724475480000000000,9559.18533714
1724475540000000000,9535.84500714
1724475600000000000,9532.05469714
1724475660000000000,9418.93688499
1724475720000000000,9418.93688499
1724475780000000000,9418.93688499
1724475840000000000,9418.93688499
1724475900000000000,9418.93688499
1724475960000000000,9418.93688499
1724476020000000000,9418.93688499
1724476080000000000,9418.93688499
1724476140000000000,9418.93688499
1724476200000000000,9418.93688499
1724476260000000000,9418.93688499
1724476320000000000,9418.93688499
1724476380000000000,9418.93688499
1724476440000000000,9418.93688499
1724476500000000000,9418.93688499
1724476560000000000,9418.93688499
1724476620000000000,9418.93688499
1724476680000000000,9418.93688499
1724476740000000000,9418.93688499
1724476800000000000,9418.93688499
1724476860000000000,9418.93688499
1724476920000000000,9418.93688499
1724476980000000000,9418.93688499
1724477040000000000,9418.93688499
1724477100000000000,9418.93688499
1724477160000000000,9418.93688499
1724477220000000000,9418.93688499
1724477280000000000,9418.93688499
1724477340000000000,9418.93688499
1724477400000000000,9418.93688499
1724477460000000000,9418.93688499
1724477520000000000,9418.93688499
1724477580000000000,9418.93688499
1724477640000000000,9418.93688499
1724477700000000000,9418.93688499
1724477760000000000,9418.93688499
1724477820000000000,9418.93688499
1724477880000000000,9418.93688499
1724477940000000000,9418.93688499
1724478000000000000,9418.93688499
1724478060000000000,9418.93688499
1724478120000000000,9418.93688499
1724478180000000000,9418.93688499
1724478240000000000,9418.93688499
1724478300000000000,9418.93688499
1724478360000000000,9418.93688499
1724478420000000000,9418.93688499
1724478480000000000,9418.93688499
1724478540000000000,9418.93688499
1724478600000000000,9418.93688499
1724478660000000000,9418.93688499
1724478720000000000,9418.93688499
1724478780000000000,9418.93688499
1724478840000000000,9418.93688499
1724478900000000000,9418.93688499
1724478960000000000,9418.93688499
1724479020000000000,9418.93688499
1724479080000000000,9418.93688499
1724479140000000000,9418.93688499
1724479200000000000,9418.93688499
1724479260000000000,9418.93688499
1724479320000000000,9418.93688499
1724479380000000000,9418.93688499
1724479440000000000,9418.93688499
1724479500000000000,9418.93688499
1724479560000000000,9418.93688499
1724479620000000000,9418.93688499
1724479680000000000,9418.93688499
1724479740000000000,9418.93688499
1724479800000000000,9418.93688499
1724479860000000000,9418.93688499
1724479920000000000,9418.93688499
1724479980000000000,9418.93688499
1724480040000000000,9418.93688499
1724480100000000000,9418.93688499
1724480160000000000,9449.11239924
1724480220000000000,9449.11239924
1724480280000000000,9413.59089924
1724480340000000000,9408.516399240001
1724480400000000000,9378.069399240001
1724480460000000000,9372.99489924
1724480520000000000,9367.92039924
1724480580000000000,9367.92039924
1724480640000000000,9388.21839924
1724480700000000000,9383.14389924
1724480760000000000,9372.99489924
1724480820000000000,9372.99489924
1724480880000000000,9372.99489924
1724480940000000000,9378.069399240001
1724481000000000000,9367.92039924
1724481060000000000,9372.99489924
1724481120000000000,9383.14389924
1724481180000000000,9388.21839924
1724481240000000000,9378.069399240001
1724481300000000000,9388.21839924
1724481360000000000,9388.21839924
1724481420000000000,9388.21839924
1724481480000000000,9393.292899240001
1724481540000000000,9393.292899240001
1724481600000000000,9413.59089924
1724481660000000000,9428.81439924
1724481720000000000,9469.410399240001
1724481780000000000,9469.410399240001
1724481840000000000,9474.48489924
1724481900000000000,9438.963399240001
1724481960000000000,9433.88889924
1724482020000000000,9413.59089924
1724482080000000000,9413.59089924
1724482140000000000,9403.44189924
1724482200000000000,9398.36739924
1724482260000000000,9383.14389924
1724482320000000000,9378.069399240001
1724482380000000000,9388.21839924
1724482440000000000,9388.21839924
1724482500000000000,9393.292899240001
1724482560000000000,9403.44189924
1724482620000000000,9398.36739924
1724482680000000000,9408.516399240001
1724482740000000000,9408.516399240001
1724482800000000000,9408.516399240001
1724482860000000000,9403.44189924
1724482920000000000,9418.66539924
1724482980000000000,9423.739899240001
1724483040000000000,9423.739899240001
1724483100000000000,9428.81439924
1724483160000000000,9428.81439924
1724483220000000000,9428.81439924
1724483280000000000,9428.81439924
1724483340000000000,9444.03789924
1724483400000000000,9433.88889924
1724483460000000000,9413.59089924
1724483520000000000,9413.59089924
1724483580000000000,9413.59089924
1724483640000000000,9413.59089924
1724483700000000000,9393.292899240001
1724483760000000000,9372.99489924
1724483820000000000,9372.99489924
1724483880000000000,9332.39889924
1724483940000000000,9337.47339924
1724484000000000000,9332.39889924
1724484060000000000,9337.47339924
1724484120000000000,9378.069399240001
1724484180000000000,9372.99489924
1724484240000000000,9347.622399240001
1724484300000000000,9332.39889924
1724484360000000000,9337.47339924
1724484420000000000,9367.92039924
1724484480000000000,9362.845899240001
1724484540000000000,9362.845899240001
1724484600000000000,9367.92039924
1724484660000000000,9367.92039924
1724484720000000000,9367.92039924
1724484780000000000,9367.92039924
1724484840000000000,9352.69689924
1724484900000000000,9347.622399240001
1724484960000000000,9352.69689924
1724485020000000000,9342.54789924
1724485080000000000,9352.69689924
1724485140000000000,9362.845899240001
1724485200000000000,9367.92039924
1724485260000000000,9367.92039924
1724485320000000000,9357.77139924
1724485380000000000,9362.845899240001
1724485440000000000,9367.92039924
1724485500000000000,9367.92039924
1724485560000000000,9347.622399240001
1724485620000000000,9342.54789924
1724485680000000000,9352.69689924
1724485740000000000,9347.622399240001
1724485800000000000,9347.622399240001
1724485860000000000,9342.54789924
1724485920000000000,9337.47339924
1724485980000000000,9327.32439924
1724486040000000000,9327.32439924
1724486100000000000,9347.622399240001
1724486160000000000,9332.39889924
1724486220000000000,9322.249899240001
1724486280000000000,9307.026399240001
1724486340000000000,9276.579399240001
1724486400000000000,9281.65389924
1724486460000000000,9269.159534659999
1724486520000000000,9274.23403466
1724486580000000000,9284.383034659999
1724486640000000000,9284.383034659999
1724486700000000000,9289.45753466
1724486760000000000,9289.45753466
1724486820000000000,9294.532034659998
1724486880000000000,9284.383034659999
1724486940000000000,9269.159534659999
1724487000000000000,9279.308534659998
1724487060000000000,9284.383034659999
1724487120000000000,9274.23403466
1724487180000000000,9269.159534659999
1724487240000000000,9279.308534659998
1724487300000000000,9269.159534659999
1724487360000000000,9284.383034659999
1724487420000000000,9279.308534659998
1724487480000000000,9289.45753466
1724487540000000000,9284.383034659999
1724487600000000000,9289.45753466
1724487660000000000,9289.45753466
1724487720000000000,9284.383034659999
1724487780000000000,9279.308534659998
1724487840000000000,9269.159534659999
1724487900000000000,9269.159534659999
1724487960000000000,9269.159534659999
1724488020000000000,9248.861534659998
1724488080000000000,9248.861534659998
1724488140000000000,9264.085034659998
1724488200000000000,9264.085034659998
1724488260000000000,9248.861534659998
1724488320000000000,9233.638034659998
1724488380000000000,9233.638034659998
1724488440000000000,9264.085034659998
1724488500000000000,9259.01053466
1724488560000000000,9243.78703466
1724488620000000000,9243.78703466
1724488680000000000,9259.01053466
1724488740000000000,9259.01053466
1724488800000000000,9274.23403466
1724488860000000000,9279.308534659998
1724488920000000000,9279.308534659998
1724488980000000000,9274.23403466
1724489040000000000,9274.23403466
1724489100000000000,9294.532034659998
1724489160000000000,9294.532034659998
1724489220000000000,9284.383034659999
1724489280000000000,9264.085034659998
1724489340000000000,9289.45753466
1724489400000000000,9299.606534659999
1724489460000000000,9304.68103466
1724489520000000000,9309.755534659998
1724489580000000000,9324.979034659998
1724489640000000000,9340.202534659998
1724489700000000000,9314.830034659999
1724489760000000000,9309.755534659998
1724489820000000000,9324.979034659998
1724489880000000000,9324.979034659998
1724489940000000000,9330.053534659999
1724490000000000000,9345.27703466
1724490060000000000,9335.128034659998
1724490120000000000,9314.830034659999
1724490180000000000,9289.45753466
1724490240000000000,9284.383034659999
1724490300000000000,9284.383034659999
1724490360000000000,9289.45753466
1724490420000000000,9284.383034659999
1724490480000000000,9264.085034659998
1724490540000000000,9274.23403466
1724490600000000000,9264.085034659998
1724490660000000000,9264.085034659998
1724490720000000000,9274.23403466
1724490780000000000,9284.383034659999
1724490840000000000,9284.383034659999
1724490900000000000,9269.159534659999
1724490960000000000,9269.159534659999
1724491020000000000,9264.085034659998
1724491080000000000,9259.01053466
1724491140000000000,9259.01053466
1724491200000000000,9269.159534659999
1724491260000000000,9279.308534659998
1724491320000000000,9279.308534659998
1724491380000000000,9279.308534659998
1724491440000000000,9289.45753466
1724491500000000000,9289.45753466
1724491560000000000,9299.606534659999
1724491620000000000,9309.755534659998
1724491680000000000,9314.830034659999
1724491740000000000,9314.830034659999
1724491800000000000,9294.532034659998
1724491860000000000,9309.755534659998
1724491920000000000,9304.68103466
1724491980000000000,9299.606534659999
1724492040000000000,9289.45753466
1724492100000000000,9289.45753466
1724492160000000000,9304.68103466
1724492220000000000,9314.830034659999
1724492280000000000,9319.90453466
1724492340000000000,9314.830034659999
1724492400000000000,9314.830034659999
1724492460000000000,9314.830034659999
1724492520000000000,9294.532034659998
1724492580000000000,9299.606534659999
1724492640000000000,9304.68103466
1724492700000000000,9304.68103466
1724492760000000000,9309.755534659998
1724492820000000000,9299.606534659999
1724492880000000000,9309.755534659998
1724492940000000000,9330.053534659999
1724493000000000000,9345.27703466
1724493060000000000,9360.50053466
1724493120000000000,9365.575034659998
1724493180000000000,9375.72403466
1724493240000000000,9355.426034659999
1724493300000000000,9370.649534659999
1724493360000000000,9385.873034659999
1724493420000000000,9390.94753466
1724493480000000000,9406.17103466
1724493540000000000,9401.096534659999
1724493600000000000,9396.022034659998
1724493660000000000,9385.873034659999
1724493720000000000,9385.873034659999
1724493780000000000,9401.096534659999
1724493840000000000,9401.096534659999
1724493900000000000,9411.245534659998
1724493960000000000,9431.543534659999
1724494020000000000,9421.39453466
1724494080000000000,9436.61803466
1724494140000000000,9467.06503466
1724494200000000000,9472.139534659998
1724494260000000000,9461.990534659999
1724494320000000000,9472.139534659998
1724494380000000000,9451.84153466
1724494440000000000,9446.767034659999
1724494500000000000,9436.61803466
1724494560000000000,9446.767034659999
1724494620000000000,9441.692534659998
1724494680000000000,9436.61803466
1724494740000000000,9451.84153466
1724494800000000000,9456.916034659998
1724494860000000000,9456.916034659998
1724494920000000000,9456.916034659998
1724494980000000000,9446.767034659999
1724495040000000000,9436.61803466
1724495100000000000,9436.61803466
1724495160000000000,9436.61803466
1724495220000000000,9431.543534659999
1724495280000000000,9436.61803466
1724495340000000000,9451.84153466
1724495400000000000,9451.84153466
1724495460000000000,9456.916034659998
1724495520000000000,9451.84153466
1724495580000000000,9472.139534659998
1724495640000000000,9472.139534659998
1724495700000000000,9467.06503466
1724495760000000000,9451.84153466
1724495820000000000,9446.767034659999
1724495880000000000,9446.767034659999
1724495940000000000,9446.767034659999
1724496000000000000,9441.692534659998
1724496060000000000,9416.320034659999
1724496120000000000,9401.096534659999
1724496180000000000,9416.320034659999
1724496240000000000,9411.245534659998
1724496300000000000,9426.469034659998
1724496360000000000,9467.06503466
1724496420000000000,9467.06503466
1724496480000000000,9482.288534659998
1724496540000000000,9477.214034659999
1724496600000000000,9472.139534659998
1724496660000000000,9472.139534659998
1724496720000000000,9472.139534659998
1724496780000000000,9467.06503466
1724496840000000000,9436.61803466
1724496900000000000,9426.469034659998
1724496960000000000,9416.320034659999
1724497020000000000,9390.94753466
1724497080000000000,9385.873034659999
1724497140000000000,9380.798534659998
1724497200000000000,9396.022034659998
1724497260000000000,9416.320034659999
1724497320000000000,9431.543534659999
1724497380000000000,9451.84153466
1724497440000000000,9446.767034659999
1724497500000000000,9451.84153466
1724497560000000000,9461.990534659999
1724497620000000000,9456.916034659998
1724497680000000000,9456.916034659998
1724497740000000000,9436.61803466
1724497800000000000,9451.84153466
1724497860000000000,9451.84153466
1724497920000000000,9446.767034659999
1724497980000000000,9461.990534659999
1724498040000000000,9482.288534659998
1724498100000000000,9477.214034659999
1724498160000000000,9482.288534659998
1724498220000000000,9492.437534659999
1724498280000000000,9472.139534659998
1724498340000000000,9467.06503466
1724498400000000000,9461.990534659999
1724498460000000000,9482.288534659998
1724498520000000000,9456.916034659998
1724498580000000000,9451.84153466
1724498640000000000,9431.543534659999
1724498700000000000,9426.469034659998
1724498760000000000,9431.543534659999
1724498820000000000,9416.320034659999
1724498880000000000,9426.469034659998
1724498940000000000,9426.469034659998
1724499000000000000,9431.543534659999
1724499060000000000,9446.767034659999
1724499120000000000,9456.916034659998
1724499180000000000,9451.84153466
1724499240000000000,9456.916034659998
1724499300000000000,9441.692534659998
1724499360000000000,9477.214034659999
1724499420000000000,9512.735534659998
1724499480000000000,9548.257034659999
1724499540000000000,9583.77853466
1724499600000000000,9578.704034659999
1724499660000000000,9517.810034659999
1724499720000000000,9502.586534659999
1724499780000000000,9487.363034659998
1724499840000000000,9456.916034659998
1724499900000000000,9416.320034659999
1724499960000000000,9421.39453466
1724500020000000000,9461.990534659999
1724500080000000000,9477.214034659999
1724500140000000000,9461.990534659999
1724500200000000000,9451.84153466
1724500260000000000,9467.06503466
1724500320000000000,9436.61803466
1724500380000000000,9431.543534659999
1724500440000000000,9411.245534659998
1724500500000000000,9421.39453466
1724500560000000000,9421.39453466
1724500620000000000,9406.17103466
1724500680000000000,9390.94753466
1724500740000000000,9380.798534659998
1724500800000000000,9350.351534659998
1724500860000000000,9385.873034659999
1724500920000000000,9390.94753466
1724500980000000000,9360.50053466
1724501040000000000,9396.022034659998
1724501100000000000,9421.39453466
1724501160000000000,9441.692534659998
1724501220000000000,9446.767034659999
1724501280000000000,9497.512034659998
1724501340000000000,9517.810034659999
1724501400000000000,9527.959034659998
1724501460000000000,9538.10803466
1724501520000000000,9517.810034659999
1724501580000000000,9477.214034659999
1724501640000000000,9487.363034659998
1724501700000000000,9477.214034659999
1724501760000000000,9482.288534659998
1724501820000000000,9421.39453466
1724501880000000000,9421.39453466
1724501940000000000,9456.916034659998
1724502000000000000,9467.06503466
1724502060000000000,9451.84153466
1724502120000000000,9492.437534659999
1724502180000000000,9492.437534659999
1724502240000000000,9497.512034659998
1724502300000000000,9477.214034659999
