plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,risk_bps,risk_range,cost_r,planned_rr,defense_age,target_scale,defense_prominence,target_prominence,defense_distance,target_distance,move_5,flow_5,efficiency_5,activity_5,location_5,value_distance_5,move_15,flow_15,efficiency_15,activity_15,location_15,value_distance_15,move_60,flow_60,efficiency_60,activity_60,location_60,value_distance_60,move_240,flow_240,efficiency_240,activity_240,location_240,value_distance_240,move_block_0,flow_block_0,range_block_0,location_block_0,move_block_1,flow_block_1,range_block_1,location_block_1,move_block_2,flow_block_2,range_block_2,location_block_2,move_block_3,flow_block_3,range_block_3,location_block_3,move_block_4,flow_block_4,range_block_4,location_block_4,move_block_5,flow_block_5,range_block_5,location_block_5,move_block_6,flow_block_6,range_block_6,location_block_6,move_block_7,flow_block_7,range_block_7,location_block_7,high_change_15,low_change_15,high_change_60,low_change_60,high_change_240,low_change_240,market_move_5,relative_move_5,market_move_15,relative_move_15,market_move_60,relative_move_60,market_move_240,relative_move_240,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
XRPUSDT:PATH:XRPUSDT:5m:PIVOT:LOW:2592:s2:XRPUSDT:15m:PIVOT:HIGH:810:s2:1739146800000000000,XRPUSDT:PATH:XRPUSDT:5m:PIVOT:LOW:2592:s2:XRPUSDT:15m:PIVOT:HIGH:810:s2,XRPUSDT,1,1739146800000000000,1739145900000000000,2.4272,2.3901999999999997,2.4684,1.1135135135135,2.3903,5,XRPUSDT:5m:PIVOT:LOW:2592:s2,15M_NEAREST_OPPOSING_LIQUIDITY,2.3903,2.4272,2.4685,2.4272,LEARNED_AUCTION_DIRECTION,152.4390243902454,1.8586301402033145,0.07871999999999922,1.1135135135135,1.0,1.0986122886681098,0.7828162291169428,1.093333333333342,7.198443579766593,8.015564202334595,0.6699503278890248,0.2102837262828014,0.17539863325739974,1.5552910736607501,0.5202312138728236,-0.06658198637666807,0.6982421337520502,0.03814773005740637,0.1261343012704183,1.5151552477040318,0.6782945736434066,0.29068831554913543,1.1302480582317322,0.04305997698452215,0.145914396887159,0.8302659774549268,0.8637110016420333,0.5425021184632306,0.2687478716239884,0.007154103897252059,0.01450749101755801,1.1047767017187304,0.9335999999999984,0.7671723807570415,0.6699503278890248,0.21028372628280145,1.5052130743481122,0.5202312138728236,-0.23491764744160507,-0.11985170148968305,1.0614797402917255,0.5901639344262378,0.7830588248053632,-0.024871019511207716,1.2789960805154355,0.8571428571428571,1.9576470620134658,0.16687133948627642,2.044653598102942,0.9829787234042574,-0.47853594849217707,-0.2124027318592373,0.6699503278890634,0.05194805194804446,0.46983529488321013,-0.03085490498560637,0.6351477134532343,0.7397260273972536,0.5133385629279675,0.07763145092932397,1.2267921588617496,0.5035460992908034,-0.46983529488321013,-0.2428975197076636,0.8091607856321866,0.21505376344084481,-1.1804813052642482,-3.656980383967565,-0.2938644951402464,-1.707930399105722,-0.4094009633150499,1.0435957071006339,0.5652710539348822,0.10467927395414256,0.5678496436973517,0.13039249005469855,1.2125818670280215,-0.08233380879628927,0.4204970220772445,-0.1517491504532561,10000.0,0.003064913103441114,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1739146800000000000,1739149860000000000,2.4275,2.3899,7461.4,-298.52091418,51.0,False,0.0,-298.52091418,-0.9950697139333332,0.5639786316132982
XRPUSDT:PATH:XRPUSDT:5m:PIVOT:HIGH:2610:s2:XRPUSDT:15m:PIVOT:LOW:855:s2:1739152200000000000,XRPUSDT:PATH:XRPUSDT:5m:PIVOT:HIGH:2610:s2:XRPUSDT:15m:PIVOT:LOW:855:s2,XRPUSDT,-1,1739152200000000000,1739151300000000000,2.3493,2.3869000000000002,2.3106000000000004,1.029255319148915,2.3868,5,XRPUSDT:5m:PIVOT:HIGH:2610:s2,15M_NEAREST_OPPOSING_LIQUIDITY,2.3493,2.3868,2.3493,2.3105,LEARNED_AUCTION_DIRECTION,160.04767377516836,1.764072366049674,0.07497765957446748,1.029255319148915,1.0,1.0986122886681098,1.0166414523449336,1.3317422434367439,6.832222895215102,7.032101756511143,-0.22753447620834905,-0.2317763031022449,-0.04895104895105101,2.87521257084997,0.09826589595375868,-0.4791973623436994,1.520104911170451,-0.029496211361457917,0.2496147919876734,2.134047822838245,0.6763485477178413,0.04037608932232893,1.559984206679553,0.05439420356937141,0.20139309509388328,1.1993650159909994,0.8166862514688599,0.5211483298630696,-0.3424927731958104,-0.012850196616287104,-0.01969380184797998,1.1906014211500666,0.6896000000000022,0.25649101654655226,-0.22753447620834905,-0.2317763031022448,1.4058380137158104,0.0982658959537587,2.3241021498423065,0.15450432808397183,2.901064571656297,0.806722689075632,0.5363312653482023,-0.002731570955586099,0.8370018231949558,0.6601941747572535,-0.22753447620834905,-0.24936468154397237,0.9751477551785924,0.4250000000000083,-0.41443779595087377,-0.2068217531227727,0.902011673540188,0.19819819819821838,0.4063115646577378,0.0866418683313844,0.7313608163839352,0.5999999999999901,0.7394870476771074,0.16381290418106478,1.1783035375074613,0.9517241379310244,0.43881648983035393,0.13015444347586438,0.666350966038703,0.8536585365853275,3.415544368308915,-1.7499973205758648,1.5951718203640453,0.27446338673910514,-0.9746968990606826,0.3823720687049126,-0.27444140890003554,0.0469069326916865,1.715047838115169,-0.19494292694471804,1.5530140125505079,0.006970194129045204,-0.49108065818241037,0.14858788498659997,9701.479085820001,0.0013157829313215318,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1739152200000000000,1739158380000000000,2.349,2.3872,7144.1,-289.82256321,103.0,False,0.0,-289.82256321,-0.9958019825163023,0.5541544762458771
XRPUSDT:PATH:XRPUSDT:5m:PIVOT:LOW:2640:s2:XRPUSDT:15m:PIVOT:HIGH:878:s2:1739161500000000000,XRPUSDT:PATH:XRPUSDT:5m:PIVOT:LOW:2640:s2:XRPUSDT:15m:PIVOT:HIGH:878:s2,XRPUSDT,1,1739161500000000000,1739160300000000000,2.3911,2.3707999999999996,2.4147999999999996,1.1674876847290439,2.3709,5,XRPUSDT:5m:PIVOT:LOW:2640:s2,15M_NEAREST_OPPOSING_LIQUIDITY,2.3709,2.3911,2.4149,2.3911,LEARNED_AUCTION_DIRECTION,84.89816402492663,0.7959662052949783,0.1413458128078803,1.1674876847290439,1.3333333333333333,1.0986122886681098,1.9280575539568738,1.8604651162790755,3.0827638572513654,3.599088838268773,-0.25128174690204447,-0.1307079578680275,-0.16666666666668334,0.39730914941122986,0.49999999999997735,0.00045615930538483106,0.23526094737781522,0.25955756502940625,0.08559201141226504,0.6835806275088746,0.4907975460122504,0.01048426331273023,0.6724542079216127,-0.03195908709479209,0.08681346494558353,1.701670475137386,0.6026711185308831,0.037745111134402466,-0.3195627868548812,-0.005208770414634564,-0.023888034000146895,1.367012991532332,0.6711798839458395,0.22909097055533095,-0.25128174690204447,-0.13070795786802764,0.6655570593621123,0.49999999999997735,0.43464950815486975,0.34122484184853596,0.9779613933484419,0.6805555555555641,0.2309075512072727,0.37372057210807735,0.5365204866286382,0.6835443037974669,-0.006791398564933978,-0.12057661092024406,0.5433118851935721,0.4874999999999736,0.2309075512072727,0.038606619400177525,1.0594581761274686,0.9166666666666904,-0.26486454403185206,-0.06752198827866294,0.9915441904782495,0.7328767123287763,0.14941076842821574,0.1812232363210679,0.760636639271007,0.3928571428571358,-0.7470538421411692,-0.28213925084370745,1.4126109015032815,0.2019230769230767,-0.807729252663877,0.4391537684385907,0.2705500894845023,-1.3331453684743269,-0.3195627868548768,0.8145910302957141,-0.10339752020257081,-0.14788422669947365,0.11112273001672696,0.12413821736108827,0.7099648022712379,-0.037510594349625226,-0.26845786385786663,-0.05110492299701458,9411.65652261,0.00036689510514507223,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1739161500000000000,1739166840000000000,2.3914,2.4148,11989.0,260.41714526,89.0,False,0.0,260.41714526,0.9223213243931058,0.5313978887321295
SOLUSDT:PATH:SOLUSDT:5m:PIVOT:LOW:2670:s2:SOLUSDT:15m:PIVOT:HIGH:887:s2:1739171700000000000,SOLUSDT:PATH:SOLUSDT:5m:PIVOT:LOW:2670:s2:SOLUSDT:15m:PIVOT:HIGH:887:s2,SOLUSDT,1,1739171700000000000,1739169300000000000,202.87,201.4,204.56,1.1496598639455775,201.41,5,SOLUSDT:5m:PIVOT:LOW:2670:s2,15M_NEAREST_OPPOSING_LIQUIDITY,201.41,202.87,204.57,202.87,LEARNED_AUCTION_DIRECTION,72.4601961847488,1.426888601234307,0.16560816326530625,1.1496598639455775,2.6666666666666665,1.0986122886681098,1.4449339207048453,2.4968152866241824,5.526315789473667,6.353383458646593,-0.42031352960522267,-0.3754361479413817,-0.36231884057971137,0.28817197814075785,0.0,-0.22056599215048492,0.038826900713851,0.08355954341529899,0.01201201201200968,0.5901861320168185,0.03738317757008626,-0.4835451038098849,0.39312236972782066,0.046351545098083057,0.050751879699248145,0.5996192563768692,0.5863453815261055,0.11870106645793595,0.9900859682034004,0.04508187968975994,0.04786148323675022,1.0789795836286946,0.7089041095890433,0.13503773830377522,-0.42031352960522267,-0.3754361479413817,0.47075115315785127,0.0,-1.143252800526217,-0.29337353828050305,1.3786283771051189,0.06097560975607727,1.6644415772366492,0.4452827755207326,1.7316917419735192,0.9611650485436695,-0.5884389414473021,-0.4790833372547174,0.9751273886841376,0.25862068965517665,0.6893141885525594,0.09329934938627675,0.7565643532894295,0.9333333333333333,0.38668844723683543,0.06436537440254912,0.8910646827630739,0.5849056603773616,0.10087524710525726,0.021270310192023634,1.0087524710525249,0.6500000000000308,-0.7565643532893817,-0.17620255025171794,1.2105029652630392,0.055555555555584064,1.6695567306959238,1.5627827537327992,1.9850252989960286,1.208487284718857,0.9585391113733844,0.20384122874775912,-0.5088956358428953,0.08858210623767265,0.14711391505321122,-0.10828701433936022,0.41553434772672815,-0.022411977998907484,1.0728423985768951,-0.08275643037349467,9672.073667870001,0.0006153478013326743,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1739171700000000000,1739174940000000000,202.9,204.56,166.14,252.14037732,54.0,False,0.9238396789439999,253.064216998944,0.8721473997853113,0.5496245688243501
SOLUSDT:PATH:SOLUSDT:5m:PIVOT:LOW:2694:s2:SOLUSDT:60m:PIVOT:HIGH:197:s2:1739178000000000000,SOLUSDT:PATH:SOLUSDT:5m:PIVOT:LOW:2694:s2:SOLUSDT:60m:PIVOT:HIGH:197:s2,SOLUSDT,1,1739178000000000000,1739176500000000000,205.08,203.16,207.25,1.1302083333333175,203.17,5,SOLUSDT:5m:PIVOT:LOW:2694:s2,60M_NEAREST_OPPOSING_LIQUIDITY,203.17,205.08,207.26,205.08,LEARNED_AUCTION_DIRECTION,93.62200117027578,1.2926776227237382,0.12817499999999893,1.1302083333333175,1.6666666666666667,2.4849066497880004,1.6962750716332542,1.208121827411163,5.006518904824033,5.658409387222917,0.25655017212513764,0.03593291059320871,0.14102564102564266,1.3374821015530345,0.3571428571428629,-0.19540263815598716,0.006732695951699093,-0.06150842079570417,0.0019455252918325699,2.1058853765098946,0.5054945054945161,-0.06515423557671872,0.8045571662264916,0.020869948780611425,0.10386788352890117,2.23347223752004,0.8534201954397428,0.20962208868877955,0.7018835529632766,0.05014853203432634,0.051740824378986215,1.5976849812142795,0.9214659685863893,0.3119607806476305,0.25655017212513764,0.03593291059320871,0.8162960022163379,0.3571428571428629,0.011661371460222983,-0.12433619706953597,0.9095869738982213,0.1666666666666606,-0.2448888006648815,-0.04628714036822527,0.9562324597391463,0.2926829268292818,1.0845075458017317,0.1346267309894839,1.4226873181484965,0.8196721311475418,0.8512801165970401,0.30235372420887036,1.0495234314210296,0.9555555555555331,-0.41980937256839196,-0.026435188958622,0.8629414880572962,0.31081081081083156,-0.2682115435853606,-0.15589781200342256,0.7463277734549337,0.2968750000000028,-0.3148570294263188,-0.09173471724032664,0.8512801165970731,0.08219178082191887,-0.451090628762959,0.4376252368595991,-0.14475296296125303,0.8382206459849202,0.6648537252289985,0.8786168216950334,0.042185808495934986,0.21436436362920266,-0.12634741665870183,0.13308011261040092,0.6413972211746802,0.16315994505181142,0.660496466941376,0.041387086021900665,9925.13788487,0.0005293141299570533,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1739178000000000000,1739184180000000000,205.1,203.13,135.69,-295.00566435,103.0,False,0.0,-295.00566435,-0.9907693232141731,0.5370807713615263
XRPUSDT:PATH:XRPUSDT:5m:PIVOT:HIGH:2741:s2:XRPUSDT:15m:PIVOT:LOW:890:s2:1739191800000000000,XRPUSDT:PATH:XRPUSDT:5m:PIVOT:HIGH:2741:s2:XRPUSDT:15m:PIVOT:LOW:890:s2,XRPUSDT,-1,1739191800000000000,1739190600000000000,2.4074,2.4285,2.3831,1.1516587677724943,2.4284,5,XRPUSDT:5m:PIVOT:HIGH:2741:s2,15M_NEAREST_OPPOSING_LIQUIDITY,2.4074,2.4284,2.4074,2.383,LEARNED_AUCTION_DIRECTION,87.6464235274575,1.4579830259585385,0.1369137440758286,1.1516587677724943,1.3333333333333333,1.0986122886681098,1.5030303030302825,1.867237687366153,5.646743978590515,6.503122212310305,1.2087932153120942,0.11043399625021671,0.36727272727272314,1.3983143409614516,0.7655172413793049,0.23293109870683215,0.6287983666456295,0.0868526400163994,0.15268456375838854,0.9870022288831872,0.7655172413793049,0.29968315943866847,0.77045074594491,0.10339469671324039,0.09946476360392394,0.8344135088559554,0.8924050632911373,0.46711093572486007,0.4681438389037444,0.06565135492246076,0.029741000877962845,1.0579368451286517,0.9307535641547849,0.3799322235398336,1.2087932153120942,0.11043399625021667,1.7353962002005265,0.7655172413793049,-0.5864442331712293,0.03706291595809437,0.70612672973677,0.0,0.46676173660568854,0.08225427009672963,0.7899044773326751,0.7878787878788164,0.7180949793933507,-0.07363721588677496,1.0053329711506485,0.7380952380952658,0.2872379917573509,0.0880227569717015,1.2806027132514186,0.5514018691588836,-0.5864442331711761,-0.06821209652423653,1.184856715998986,0.09090909090910314,0.2513332427876621,0.18580380282105227,0.9694282221810128,0.7037037037036895,0.562507733858068,0.22616796319813565,0.9095869738982157,0.7631578947368114,1.0710301849458599,0.37313309669079825,-0.3869528410126785,-1.1781332034404244,0.621888494484674,0.5631545811166828,0.8817361479652408,0.32705706734685336,0.6998195144194211,-0.07102114777379165,0.9018359785395869,-0.13138523259467683,0.46551628365309283,0.0026275552506515587,9630.132220520001,0.00045161650538830776,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1739191800000000000,1739194980000000000,2.4071,2.4288,11838.3,-285.51552748999995,53.0,False,0.0,-285.51552748999995,-0.9882713997827917,0.535096484541555
XRPUSDT:PATH:XRPUSDT:5m:PIVOT:HIGH:2759:s2:XRPUSDT:15m:PIVOT:LOW:915:s2:1739197200000000000,XRPUSDT:PATH:XRPUSDT:5m:PIVOT:HIGH:2759:s2:XRPUSDT:15m:PIVOT:LOW:915:s2,XRPUSDT,-1,1739197200000000000,1739196000000000000,2.4452,2.4721,2.4041,1.527881040892161,2.472,5,XRPUSDT:5m:PIVOT:HIGH:2759:s2,15M_NEAREST_OPPOSING_LIQUIDITY,2.4452,2.472,2.4452,2.404,LEARNED_AUCTION_DIRECTION,110.01145100605419,1.2736338876892555,0.10907955390334421,1.527881040892161,1.3333333333333333,1.0986122886681098,1.8465829846583088,1.771653543307093,4.932762836185894,7.536674816625872,-0.7708694005561513,-0.19703858897933146,-0.3143812709030047,2.222635451037874,0.043478260869591834,-0.5216008478524664,0.23200022489507166,-0.06424292654347631,0.057176196032673515,2.7895054438374784,0.2944162436548309,-0.23069433873512524,-0.6983680239188116,-0.034295576449610066,-0.09015892420537801,2.8311137943778895,0.4565587734241937,0.017206363758876495,-0.12310216014839916,0.010836296220519213,-0.010499747602220813,1.4965191840207588,0.39411764705882546,-0.13955587622759363,-0.7708694005561513,-0.1970385889793314,1.131701885922899,0.0434782608695918,0.47564282161978083,-0.0801108780785152,0.8446760452902985,0.5631067961165062,0.6970627558220405,0.023859447804134067,0.9922893347584838,0.7768595041322051,0.8774789985054143,0.033445822570455405,1.795961688529751,0.7899543378995423,-0.4510406067083984,-0.03461586588241417,1.3777240350365412,0.6547619047619149,-1.0824974561001344,-0.15273994058647714,1.451530679770652,0.16949152542373477,-1.2055085306569735,0.037359015088172014,1.6401476607577958,0.21999999999999778,-0.8856797368092206,-0.03322138652113969,1.3695232967327349,0.2095808383233471,0.20832673255883258,0.25567371723128973,-0.2651431141657812,-0.8072660886654841,0.42612286205215655,0.38587792508056795,-0.8323740998273996,0.06150469927124835,0.2922180810721181,-0.06021785617704645,-0.6593076324466443,-0.03906039147216733,-0.15360666216370122,0.030504502015302068,9344.616693029999,0.0004661994897370361,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1739197200000000000,1739201940000000000,2.4449,2.4041,9286.3,363.06396379,79.0,False,0.0,363.06396379,1.2950913369576862,0.4488941828532345
ETHUSDT:PATH:ETHUSDT:5m:PIVOT:HIGH:2786:s2:ETHUSDT:15m:PIVOT:LOW:923:s2:1739205000000000000,ETHUSDT:PATH:ETHUSDT:5m:PIVOT:HIGH:2786:s2:ETHUSDT:15m:PIVOT:LOW:923:s2,ETHUSDT,-1,1739205000000000000,1739204100000000000,2658.56,2675.3900000000003,2637.59,1.2459893048127941,2675.38,5,ETHUSDT:5m:PIVOT:HIGH:2786:s2,15M_NEAREST_OPPOSING_LIQUIDITY,2658.56,2675.38,2658.56,2637.58,LEARNED_AUCTION_DIRECTION,63.304947039,1.2446497940934154,0.18955864527628802,1.2459893048127941,1.0,1.0986122886681098,1.8603521554341393,1.3141044130372255,4.820507924384287,6.006301317548144,0.5905063992519166,0.4200568673598421,0.38935810810812904,0.32949277502706564,0.8387096774193823,0.2835613944061822,0.6470995661507508,0.2461362114747642,0.19636445242369663,0.45703915055239913,0.9067713444553668,0.30115049228486296,-0.28583312264830374,-0.09876679471103986,-0.036900897460378085,0.7577395842472798,0.5905898876404548,0.044348864066379654,-0.14254679014349464,0.007179092139698469,-0.008401987707597838,0.8103610205422748,0.48679245283019046,-0.034870830690932594,0.5905063992519166,0.4200568673598421,0.7544647921027371,0.8387096774193822,-0.1524300683535344,0.1746956141169043,0.46625667966959694,0.14835164835164355,0.6827329952304958,0.19801489558604365,0.9786266573285709,0.7617801047120306,0.2228809402816586,0.11128105571966317,1.1617989243416122,0.8897464167585466,-0.7903306905388867,-0.2377002093169193,1.578099531189423,0.12824675324675036,-0.7134751938900611,-0.22479101148731248,1.1963838978335868,0.20128479657388434,-0.13449711913543042,-0.3805349776592371,0.7045087192810091,0.489090909090919,-0.6545526464592811,-0.564325364022876,1.0682914034188578,0.08872901678654302,-0.5605731098768736,-1.7697248706271607,-2.7026575594261986,-0.9514212478319332,1.274416374136327,1.8140974123060456,0.2922211595583822,0.29828523969353443,0.38083459330979974,0.2662649728409511,-0.09799832160687309,-0.18783480104143063,0.04123620101901149,-0.18378299116250613,9707.680656819999,6.914812798413869e-06,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1739205000000000000,1739208360000000000,2658.24,2675.7,14.279,-287.39300463,56.0,False,0.0,-287.39300463,-0.9868234400839984,0.5243717043611589
ETHUSDT:PATH:ETHUSDT:5m:PIVOT:HIGH:2826:s2:ETHUSDT:15m:PIVOT:LOW:933:s2:1739217600000000000,ETHUSDT:PATH:ETHUSDT:5m:PIVOT:HIGH:2826:s2:ETHUSDT:15m:PIVOT:LOW:933:s2,ETHUSDT,-1,1739217600000000000,1739216100000000000,2670.87,2690.67,2649.13,1.097979797979777,2690.66,5,ETHUSDT:5m:PIVOT:HIGH:2826:s2,15M_NEAREST_OPPOSING_LIQUIDITY,2670.87,2690.66,2670.87,2649.12,LEARNED_AUCTION_DIRECTION,74.13314762605512,1.763381897209737,0.1618709090909076,1.097979797979777,1.6666666666666667,1.0986122886681098,1.1629032258064702,1.4742915323264876,6.829548720896951,7.498706524863478,-0.2637776079235251,-0.21856416550353872,-0.161778618732269,0.572456240062542,0.18818380743984608,-0.14491614007664771,0.30903713047061515,-0.0684740326131453,0.08872411148044806,1.0271612884297803,0.47276688453161475,-0.0931947269666665,0.48582061865046966,-0.057439501876893326,0.06271917217591512,1.0412923828523315,0.8204747774480798,0.4113047158414305,-0.30191235512832976,7.324612898679517e-05,-0.01703046896586371,1.4879837755404248,0.4989848860816586,-0.009994698005775786,-0.2637776079235251,-0.21856416550353872,0.7049495135734077,0.18818380743984606,-0.30542670391144644,-0.37793640816965773,0.8746310157463478,0.44797178130513843,1.1060148823459963,0.15347803412599362,1.3944734360401208,0.8893805309734509,0.1650538248410579,-0.11923290683702514,0.5938852576055708,0.9428571428571935,0.9795250352715349,0.1483885738774747,1.7446343541608134,0.7064544650751389,0.7450560504506315,0.21746300998256898,1.4376650911386695,0.9527896995708082,-0.0940961057505149,0.05156699503796856,0.7867051464385528,0.664705882352928,0.029308623102621695,0.10398657832295959,0.7003218362413853,0.440528634361237,-1.7420075711829315,-0.7115869373083477,-3.2546864360368373,-1.145752934727428,1.5347211385690223,2.1846342393209293,-0.22132489816588996,-0.042452709757635154,0.3725370337278327,-0.06349990325721755,0.5793132139626674,-0.09349259531219778,-0.14259917598969193,-0.15931317913863782,9420.28765219,0.0009784002907808603,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1739217600000000000,1739234280000000000,2670.55,2690.98,12.084,-279.27048426,278.0,False,-0.1838644660394277,-279.4543487260394,-0.9888386959573461,0.5663594269053207
ETHUSDT:PATH:ETHUSDT:5m:PIVOT:HIGH:2888:s2:ETHUSDT:15m:PIVOT:LOW:956:s2:1739236500000000000,ETHUSDT:PATH:ETHUSDT:5m:PIVOT:HIGH:2888:s2:ETHUSDT:15m:PIVOT:LOW:956:s2,ETHUSDT,-1,1739236500000000000,1739234700000000000,2695.88,2724.5,2650.11,1.599231306778482,2724.49,5,ETHUSDT:5m:PIVOT:HIGH:2888:s2,15M_NEAREST_OPPOSING_LIQUIDITY,2695.88,2724.49,2695.88,2650.1,LEARNED_AUCTION_DIRECTION,106.1619953410385,1.5300542945469748,0.11303480083857484,1.599231306778482,2.0,1.0986122886681098,1.8601560242704243,1.22996878251824,5.925874801573571,9.47684450272618,0.054632346196045886,-0.1893661464965821,0.0518453427064729,3.0665510791878186,0.8230958230957677,0.06775303261746801,0.45441864093813195,-0.05524476065194757,0.14490282986702846,4.663223000062496,0.9700124947938256,0.4647790902730224,-0.7807981471648736,-0.13002731692095146,-0.10080060735730544,4.861359051359577,0.46558177379983334,0.10774971924528831,-0.2766607608064546,-0.060047389559100765,-0.03050757531097142,1.9833655300962536,0.38459470358918835,-0.1483603192210818,0.054632346196045886,-0.1893661464965821,0.37687059155598684,0.8230958230957677,1.0167172224286427,0.2847688687170538,1.061163876961044,0.9598603839441505,-0.27964353476634585,-0.1441727295340046,1.433404608669889,0.7603359173126595,-0.5481754058996019,-0.20049291558215265,0.9648627921408482,0.10748560460651468,-0.21852938478430986,0.1027206142102847,0.7768904823475563,0.34922526817638627,0.9306018292721336,0.056049192006857866,1.3898839261068907,0.7468354430379889,0.14815551510799027,-0.03675634154092173,1.9899137622942873,0.8534201954397337,-2.521421672744254,-0.34333998963583207,3.3705379687069787,0.24203296703296492,0.26783969307060473,-3.345055807470445,-1.9537328509510665,-0.19620193085210283,0.9212669682313402,1.3113987367308664,0.42051671997129214,-0.36588437377524624,-0.013443758093074125,0.4678623990312061,-0.5199485027473774,-0.26084964441749625,-0.2949644450646609,0.018303684258206332,9140.83330346,8.593697324862926e-05,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1739236500000000000,1739281740000000000,2695.59,2650.11,8.518,371.40339479000005,754.0,False,0.9838617291179982,372.38725651911807,1.3579624678133797,0.4325078993928614
