plan_id,ts,score,reason
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:6626:s2:1724459340000000000:1724459700000000000,1724459700000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:6626:s2:1724459340000000000:1724459700000000000,1724459700000000000,1.0,selected
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:LOW:6630:s2:1724461440000000000:1724462100000000000,1724462100000000000,1.0,same_overlapping_causal_episode
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:6695:s2:1724479980000000000:1724480820000000000,1724480820000000000,1.0,candidate
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:6695:s2:1724479980000000000:1724480820000000000,1724480820000000000,1.0,selected
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:6695:s2:1724480700000000000:1724481240000000000,1724481240000000000,1.0,same_overlapping_causal_episode
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:LOW:6706:s2:1724483880000000000:1724486100000000000,1724486100000000000,1.0,candidate
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:LOW:6706:s2:1724483880000000000:1724486100000000000,1724486100000000000,1.0,selected
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:6737:s2:1724493360000000000:1724493660000000000,1724493660000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:6737:s2:1724493360000000000:1724493660000000000,1724493660000000000,1.0,selected
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:6743:s2:1724495340000000000:1724495760000000000,1724495760000000000,1.0,same_overlapping_causal_episode
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:LOW:6746:s2:1724495520000000000:1724495940000000000,1724495940000000000,1.0,candidate
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:LOW:6746:s2:1724495520000000000:1724495940000000000,1724495940000000000,1.0,selected
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:6766:s2:1724501220000000000:1724503260000000000,1724503260000000000,1.0,candidate
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:6766:s2:1724501220000000000:1724503260000000000,1724503260000000000,1.0,selected
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:LOW:6807:s2:1724514060000000000:1724515020000000000,1724515020000000000,1.0,candidate
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:LOW:6807:s2:1724514060000000000:1724515020000000000,1724515020000000000,1.0,selected
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:LOW:6867:s2:1724532360000000000:1724532780000000000,1724532780000000000,1.0,candidate
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:LOW:6867:s2:1724532360000000000:1724532780000000000,1724532780000000000,1.0,selected
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:LOW:6877:s2:1724534820000000000:1724535000000000000,1724535000000000000,1.0,candidate
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:LOW:6877:s2:1724534820000000000:1724535000000000000,1724535000000000000,1.0,selected
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:6903:s2:1724542380000000000:1724543340000000000,1724543340000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:6903:s2:1724542380000000000:1724543340000000000,1724543340000000000,1.0,selected
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:LOW:6949:s2:1724556060000000000:1724556420000000000,1724556420000000000,1.0,candidate
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:LOW:6949:s2:1724556060000000000:1724556420000000000,1724556420000000000,1.0,selected
