plan_id,ts,score,reason
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2589:s2:1710030000000000000:1710030480000000000,1710030480000000000,1.0,candidate
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2589:s2:1710030000000000000:1710030480000000000,1710030480000000000,1.0,selected
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2604:s2:1710033900000000000:1710034200000000000,1710034200000000000,1.0,candidate
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2604:s2:1710033900000000000:1710034200000000000,1710034200000000000,1.0,selected
XRPUSDT:PROBE:XRPUSDT:60m:PIVOT:HIGH:210:s2:1710034620000000000:1710034920000000000,1710034920000000000,1.0,same_overlapping_causal_episode
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:2616:s2:1710037020000000000:1710037320000000000,1710037320000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:2616:s2:1710037020000000000:1710037320000000000,1710037320000000000,1.0,selected
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2658:s2:1710053580000000000:1710054600000000000,1710054600000000000,1.0,candidate
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2658:s2:1710053580000000000:1710054600000000000,1710054600000000000,1.0,selected
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:2689:s2:1710059100000000000:1710059580000000000,1710059580000000000,1.0,candidate
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:2689:s2:1710059100000000000:1710059580000000000,1710059580000000000,1.0,selected
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:2710:s2:1710065700000000000:1710066180000000000,1710066180000000000,1.0,candidate
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:2710:s2:1710065700000000000:1710066180000000000,1710066180000000000,1.0,selected
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:2749:s2:1710076920000000000:1710077460000000000,1710077460000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:2749:s2:1710076920000000000:1710077460000000000,1710077460000000000,1.0,selected
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:2798:s2:1710092760000000000:1710093420000000000,1710093420000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:2798:s2:1710092760000000000:1710093420000000000,1710093420000000000,1.0,selected
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:LOW:2841:s2:1710105960000000000:1710106440000000000,1710106440000000000,1.0,candidate
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:LOW:2841:s2:1710105960000000000:1710106440000000000,1710106440000000000,1.0,selected
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2873:s2:1710114420000000000:1710115260000000000,1710115260000000000,1.0,candidate
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:2873:s2:1710114420000000000:1710115260000000000,1710115260000000000,1.0,selected
XRPUSDT:PROBE:XRPUSDT:15m:PIVOT:HIGH:965:s2:1710124440000000000:1710124860000000000,1710124860000000000,1.0,candidate
XRPUSDT:PROBE:XRPUSDT:15m:PIVOT:HIGH:965:s2:1710124440000000000:1710124860000000000,1710124860000000000,1.0,selected
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:2911:s2:1710125460000000000:1710126000000000000,1710126000000000000,1.0,candidate
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:2911:s2:1710125460000000000:1710126000000000000,1710126000000000000,1.0,selected
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:LOW:2944:s2:1710135600000000000:1710136080000000000,1710136080000000000,1.0,candidate
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:LOW:2944:s2:1710135600000000000:1710136080000000000,1710136080000000000,1.0,selected
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:2980:s2:1710146760000000000:1710147780000000000,1710147780000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:2980:s2:1710146760000000000:1710147780000000000,1710147780000000000,1.0,selected
BTCUSDT:PROBE:BTCUSDT:15m:PIVOT:HIGH:993:s2:1710149580000000000:1710149880000000000,1710149880000000000,1.0,candidate
BTCUSDT:PROBE:BTCUSDT:15m:PIVOT:HIGH:993:s2:1710149580000000000:1710149880000000000,1710149880000000000,1.0,global_position_occupied
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:3025:s2:1710160200000000000:1710160680000000000,1710160680000000000,1.0,candidate
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:3025:s2:1710160200000000000:1710160680000000000,1710160680000000000,1.0,selected
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:3033:s2:1710162780000000000:1710163140000000000,1710163140000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:3033:s2:1710162780000000000:1710163140000000000,1710163140000000000,1.0,global_position_occupied
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:3082:s2:1710177900000000000:1710178500000000000,1710178500000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:3082:s2:1710177900000000000:1710178500000000000,1710178500000000000,1.0,selected
XRPUSDT:PROBE:XRPUSDT:15m:PIVOT:HIGH:1025:s2:1710176820000000000:1710179220000000000,1710179220000000000,1.0,same_overlapping_causal_episode
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:3108:s2:1710184860000000000:1710185220000000000,1710185220000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:3108:s2:1710184860000000000:1710185220000000000,1710185220000000000,1.0,selected
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:3127:s2:1710190800000000000:1710191100000000000,1710191100000000000,1.0,candidate
SOLUSDT:PROBE:SOLUSDT:5m:PIVOT:HIGH:3127:s2:1710190800000000000:1710191100000000000,1710191100000000000,1.0,selected
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:3160:s2:1710200820000000000:1710201660000000000,1710201660000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:3160:s2:1710200820000000000:1710201660000000000,1710201660000000000,1.0,selected
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:3185:s2:1710207900000000000:1710208500000000000,1710208500000000000,1.0,candidate
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:3185:s2:1710207900000000000:1710208500000000000,1710208500000000000,1.0,selected
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:3220:s2:1710219360000000000:1710219660000000000,1710219660000000000,1.0,candidate
XRPUSDT:PROBE:XRPUSDT:5m:PIVOT:HIGH:3220:s2:1710219360000000000:1710219660000000000,1710219660000000000,1.0,selected
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:3224:s2:1710219600000000000:1710220500000000000,1710220500000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:LOW:3224:s2:1710219600000000000:1710220500000000000,1710220500000000000,1.0,global_position_occupied
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:LOW:3253:s2:1710229020000000000:1710229320000000000,1710229320000000000,1.0,candidate
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:LOW:3253:s2:1710229020000000000:1710229320000000000,1710229320000000000,1.0,selected
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:3323:s2:1710249240000000000:1710250320000000000,1710250320000000000,1.0,candidate
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:3323:s2:1710249240000000000:1710250320000000000,1710250320000000000,1.0,selected
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:3369:s2:1710266040000000000:1710266340000000000,1710266340000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:3369:s2:1710266040000000000:1710266340000000000,1710266340000000000,1.0,candidate
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:HIGH:3369:s2:1710266040000000000:1710266340000000000,1710266340000000000,1.0,selected
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:3384:s2:1710268320000000000:1710268920000000000,1710268920000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:3384:s2:1710268320000000000:1710268920000000000,1710268920000000000,1.0,selected
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:3390:s2:1710270660000000000:1710271080000000000,1710271080000000000,1.0,same_overlapping_causal_episode
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:3401:s2:1710272580000000000:1710273060000000000,1710273060000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:3401:s2:1710272580000000000:1710273060000000000,1710273060000000000,1.0,selected
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:3428:s2:1710281700000000000:1710281940000000000,1710281940000000000,1.0,candidate
ETHUSDT:PROBE:ETHUSDT:5m:PIVOT:HIGH:3428:s2:1710281700000000000:1710281940000000000,1710281940000000000,1.0,selected
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:LOW:3453:s2:1710289020000000000:1710289320000000000,1710289320000000000,1.0,candidate
BTCUSDT:PROBE:BTCUSDT:5m:PIVOT:LOW:3453:s2:1710289020000000000:1710289320000000000,1710289320000000000,1.0,selected
