plan_id,ts,score,reason
BTCUSDT:PASSIVE:BTCUSDT:60m:PIVOT:HIGH:221:s2:1739179800000000000,1739179800000000000,1.0,candidate
BTCUSDT:PASSIVE:BTCUSDT:60m:PIVOT:HIGH:221:s2:1739179800000000000,1739179800000000000,1.0,selected
BTCUSDT:PASSIVE:BTCUSDT:60m:PIVOT:HIGH:221:s2:1739179800000000000,1739179920000000000,0.0,first_return_ended_unfilled
BTCUSDT:PASSIVE:BTCUSDT:15m:PIVOT:HIGH:897:s2:1739183700000000000,1739183700000000000,1.0,candidate
BTCUSDT:PASSIVE:BTCUSDT:15m:PIVOT:HIGH:897:s2:1739183700000000000,1739183700000000000,1.0,selected
BTCUSDT:PASSIVE:BTCUSDT:15m:PIVOT:HIGH:897:s2:1739183700000000000,1739183820000000000,0.0,first_return_ended_unfilled
BTCUSDT:PASSIVE:BTCUSDT:15m:PIVOT:HIGH:931:s2:1739211300000000000,1739211300000000000,1.0,candidate
BTCUSDT:PASSIVE:BTCUSDT:15m:PIVOT:HIGH:931:s2:1739211300000000000,1739211300000000000,1.0,selected
BTCUSDT:PASSIVE:BTCUSDT:15m:PIVOT:HIGH:931:s2:1739211300000000000,1739211420000000000,0.0,first_return_ended_unfilled
BTCUSDT:PASSIVE:BTCUSDT:15m:PIVOT:HIGH:936:s2:1739214600000000000,1739214600000000000,1.0,candidate
BTCUSDT:PASSIVE:BTCUSDT:15m:PIVOT:HIGH:936:s2:1739214600000000000,1739214600000000000,1.0,selected
XRPUSDT:PASSIVE:XRPUSDT:15m:PIVOT:LOW:937:s2:1739218200000000000,1739218200000000000,1.0,candidate
XRPUSDT:PASSIVE:XRPUSDT:15m:PIVOT:LOW:937:s2:1739218200000000000,1739218200000000000,1.0,selected
XRPUSDT:PASSIVE:XRPUSDT:15m:PIVOT:LOW:937:s2:1739218200000000000,1739218560000000000,0.0,first_return_ended_unfilled
SOLUSDT:PASSIVE:SOLUSDT:60m:PIVOT:HIGH:241:s2:1739253900000000000,1739253900000000000,1.0,candidate
SOLUSDT:PASSIVE:SOLUSDT:60m:PIVOT:HIGH:241:s2:1739253900000000000,1739253900000000000,1.0,selected
SOLUSDT:PASSIVE:SOLUSDT:60m:PIVOT:HIGH:241:s2:1739253900000000000,1739253960000000000,0.0,first_return_ended_unfilled
BTCUSDT:PASSIVE:BTCUSDT:15m:PIVOT:LOW:985:s2:1739262900000000000,1739262900000000000,1.0,candidate
BTCUSDT:PASSIVE:BTCUSDT:15m:PIVOT:LOW:985:s2:1739262900000000000,1739262900000000000,1.0,selected
BTCUSDT:PASSIVE:BTCUSDT:15m:PIVOT:LOW:985:s2:1739262900000000000,1739263020000000000,0.0,first_return_ended_unfilled
ETHUSDT:PASSIVE:ETHUSDT:15m:PIVOT:LOW:1020:s2:1739294400000000000,1739294400000000000,1.0,candidate
XRPUSDT:PASSIVE:XRPUSDT:60m:PIVOT:LOW:253:s2:1739294400000000000,1739294400000000000,1.0,candidate
ETHUSDT:PASSIVE:ETHUSDT:15m:PIVOT:LOW:1020:s2:1739294400000000000,1739294400000000000,1.0,selected
XRPUSDT:PASSIVE:XRPUSDT:60m:PIVOT:LOW:239:s2:1739298900000000000,1739298900000000000,1.0,candidate
XRPUSDT:PASSIVE:XRPUSDT:60m:PIVOT:LOW:239:s2:1739298900000000000,1739298900000000000,1.0,selected
XRPUSDT:PASSIVE:XRPUSDT:60m:PIVOT:LOW:239:s2:1739298900000000000,1739298960000000000,0.0,first_return_ended_unfilled
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:LOW:1062:s2:1739327700000000000,1739327700000000000,1.0,candidate
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:LOW:1062:s2:1739327700000000000,1739327700000000000,1.0,selected
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:LOW:1062:s2:1739327700000000000,1739327880000000000,0.0,first_return_ended_unfilled
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:HIGH:1091:s2:1739353800000000000,1739353800000000000,1.0,candidate
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:HIGH:1091:s2:1739353800000000000,1739353800000000000,1.0,selected
SOLUSDT:PASSIVE:SOLUSDT:60m:PIVOT:LOW:288:s2:1739423700000000000,1739423700000000000,1.0,candidate
SOLUSDT:PASSIVE:SOLUSDT:60m:PIVOT:LOW:288:s2:1739423700000000000,1739423700000000000,1.0,selected
ETHUSDT:PASSIVE:ETHUSDT:60m:PIVOT:LOW:302:s2:1739471100000000000,1739471100000000000,1.0,candidate
ETHUSDT:PASSIVE:ETHUSDT:60m:PIVOT:LOW:302:s2:1739471100000000000,1739471100000000000,1.0,selected
ETHUSDT:PASSIVE:ETHUSDT:60m:PIVOT:LOW:302:s2:1739471100000000000,1739471340000000000,0.0,first_return_ended_unfilled
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:HIGH:1259:s2:1739506200000000000,1739506200000000000,1.0,candidate
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:HIGH:1259:s2:1739506200000000000,1739506200000000000,1.0,selected
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:HIGH:1259:s2:1739506200000000000,1739506380000000000,0.0,first_return_ended_unfilled
ETHUSDT:PASSIVE:ETHUSDT:15m:PIVOT:LOW:1281:s2:1739540100000000000,1739540100000000000,1.0,candidate
ETHUSDT:PASSIVE:ETHUSDT:15m:PIVOT:LOW:1281:s2:1739540100000000000,1739540100000000000,1.0,selected
ETHUSDT:PASSIVE:ETHUSDT:15m:PIVOT:LOW:1281:s2:1739540100000000000,1739541840000000000,0.0,first_return_ended_unfilled
BTCUSDT:PASSIVE:BTCUSDT:15m:PIVOT:HIGH:1380:s2:1739616000000000000,1739616000000000000,1.0,candidate
BTCUSDT:PASSIVE:BTCUSDT:15m:PIVOT:HIGH:1380:s2:1739616000000000000,1739616000000000000,1.0,selected
XRPUSDT:PASSIVE:XRPUSDT:15m:PIVOT:HIGH:1365:s2:1739618100000000000,1739618100000000000,1.0,same_overlapping_causal_episode
SOLUSDT:PASSIVE:SOLUSDT:60m:PIVOT:LOW:346:s2:1739631000000000000,1739631000000000000,1.0,candidate
SOLUSDT:PASSIVE:SOLUSDT:60m:PIVOT:LOW:346:s2:1739631000000000000,1739631000000000000,1.0,selected
SOLUSDT:PASSIVE:SOLUSDT:60m:PIVOT:LOW:346:s2:1739631000000000000,1739631420000000000,0.0,first_return_ended_unfilled
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:HIGH:1409:s2:1739646000000000000,1739646000000000000,1.0,candidate
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:HIGH:1409:s2:1739646000000000000,1739646000000000000,1.0,selected
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:HIGH:1409:s2:1739646000000000000,1739646120000000000,0.0,first_return_ended_unfilled
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:LOW:1446:s2:1739676600000000000,1739676600000000000,1.0,candidate
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:LOW:1446:s2:1739676600000000000,1739676600000000000,1.0,selected
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:LOW:1446:s2:1739676600000000000,1739677200000000000,0.0,first_return_ended_unfilled
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:HIGH:1448:s2:1739679600000000000,1739679600000000000,1.0,candidate
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:HIGH:1448:s2:1739679600000000000,1739679600000000000,1.0,selected
SOLUSDT:PASSIVE:SOLUSDT:15m:PIVOT:HIGH:1448:s2:1739679600000000000,1739679780000000000,0.0,first_return_ended_unfilled
ETHUSDT:PASSIVE:ETHUSDT:15m:PIVOT:HIGH:1447:s2:1739682300000000000,1739682300000000000,1.0,candidate
ETHUSDT:PASSIVE:ETHUSDT:15m:PIVOT:HIGH:1447:s2:1739682300000000000,1739682300000000000,1.0,selected
ETHUSDT:PASSIVE:ETHUSDT:15m:PIVOT:HIGH:1447:s2:1739682300000000000,1739682360000000000,0.0,first_return_ended_unfilled
