ts,nav
1722729605000000000,10000.0
1722729610000000000,10000.0
1722729615000000000,10000.0
1722729620000000000,10000.0
1722729625000000000,10000.0
1722729630000000000,10000.0
1722729635000000000,10000.0
1722729640000000000,10000.0
1722729645000000000,10000.0
1722729650000000000,10000.0
1722729655000000000,10000.0
1722729660000000000,10000.0
1722729665000000000,10000.0
1722729670000000000,10000.0
1722729675000000000,10000.0
1722729680000000000,10000.0
1722729685000000000,10000.0
1722729690000000000,10000.0
1722729695000000000,10000.0
1722729700000000000,10000.0
1722729705000000000,10000.0
1722729710000000000,10000.0
1722729715000000000,10000.0
1722729720000000000,10000.0
1722729725000000000,10000.0
1722729730000000000,10000.0
1722729735000000000,10000.0
1722729740000000000,10000.0
1722729745000000000,10000.0
1722729750000000000,10000.0
1722729755000000000,10000.0
1722729760000000000,10000.0
1722729765000000000,10000.0
1722729770000000000,10000.0
1722729775000000000,10000.0
1722729780000000000,10000.0
1722729785000000000,10000.0
1722729790000000000,10000.0
1722729795000000000,10000.0
1722729800000000000,10000.0
1722729805000000000,10000.0
1722729810000000000,10000.0
1722729815000000000,10000.0
1722729820000000000,10000.0
1722729825000000000,10000.0
1722729830000000000,10000.0
1722729835000000000,10000.0
1722729840000000000,10000.0
1722729845000000000,10000.0
1722729850000000000,10000.0
1722729855000000000,10000.0
1722729860000000000,10000.0
1722729865000000000,10000.0
1722729870000000000,10000.0
1722729875000000000,10000.0
1722729880000000000,10000.0
1722729885000000000,10000.0
1722729890000000000,10000.0
1722729895000000000,10000.0
1722729900000000000,10000.0
1722729905000000000,10000.0
1722729910000000000,10000.0
1722729915000000000,10000.0
1722729920000000000,10000.0
1722729925000000000,10000.0
1722729930000000000,10000.0
1722729935000000000,10000.0
1722729940000000000,10000.0
1722729945000000000,10000.0
1722729950000000000,10000.0
1722729955000000000,10000.0
1722729960000000000,10000.0
1722729965000000000,10000.0
1722729970000000000,10000.0
1722729975000000000,10000.0
1722729980000000000,10000.0
1722729985000000000,10000.0
1722729990000000000,10000.0
1722729995000000000,10000.0
1722730000000000000,10000.0
1722730005000000000,10000.0
1722730010000000000,10000.0
1722730015000000000,10000.0
1722730020000000000,10000.0
1722730025000000000,10000.0
1722730030000000000,10000.0
1722730035000000000,10000.0
1722730040000000000,10000.0
1722730045000000000,10000.0
1722730050000000000,10000.0
1722730055000000000,10000.0
1722730060000000000,10000.0
1722730065000000000,10000.0
1722730070000000000,10000.0
1722730075000000000,10000.0
1722730080000000000,10000.0
1722730085000000000,10000.0
1722730090000000000,10000.0
1722730095000000000,10000.0
1722730100000000000,10000.0
1722730105000000000,10000.0
1722730110000000000,10000.0
1722730115000000000,10000.0
1722730120000000000,10000.0
1722730125000000000,10000.0
1722730130000000000,10000.0
1722730135000000000,10000.0
1722730140000000000,10000.0
1722730145000000000,10000.0
1722730150000000000,10000.0
1722730155000000000,10000.0
1722730160000000000,10000.0
1722730165000000000,10000.0
1722730170000000000,10000.0
1722730175000000000,10000.0
1722730180000000000,10000.0
1722730185000000000,10000.0
1722730190000000000,10000.0
1722730195000000000,10000.0
1722730200000000000,10000.0
1722730205000000000,10000.0
1722730210000000000,10000.0
1722730215000000000,10000.0
1722730220000000000,10000.0
1722730225000000000,10000.0
1722730230000000000,10000.0
1722730235000000000,10000.0
1722730240000000000,10000.0
1722730245000000000,10000.0
1722730250000000000,10000.0
1722730255000000000,10000.0
1722730260000000000,10000.0
1722730265000000000,10000.0
1722730270000000000,10000.0
1722730275000000000,10000.0
1722730280000000000,10000.0
1722730285000000000,10000.0
1722730290000000000,10000.0
1722730295000000000,10000.0
1722730300000000000,10000.0
1722730305000000000,10000.0
1722730310000000000,10000.0
1722730315000000000,10000.0
1722730320000000000,10000.0
1722730325000000000,10000.0
1722730330000000000,10000.0
1722730335000000000,10000.0
1722730340000000000,10000.0
1722730345000000000,10000.0
1722730350000000000,10000.0
1722730355000000000,10000.0
1722730360000000000,10000.0
1722730365000000000,10000.0
1722730370000000000,10000.0
1722730375000000000,10000.0
1722730380000000000,10000.0
1722730385000000000,10000.0
1722730390000000000,10000.0
1722730395000000000,10000.0
1722730400000000000,10000.0
1722730405000000000,10000.0
1722730410000000000,10000.0
1722730415000000000,10000.0
1722730420000000000,10000.0
1722730425000000000,10000.0
1722730430000000000,10000.0
1722730435000000000,10000.0
1722730440000000000,10000.0
1722730445000000000,10000.0
1722730450000000000,10000.0
1722730455000000000,10000.0
1722730460000000000,10000.0
1722730465000000000,10000.0
1722730470000000000,10000.0
1722730475000000000,10000.0
1722730480000000000,10000.0
1722730485000000000,10000.0
1722730490000000000,10000.0
1722730495000000000,10000.0
1722730500000000000,10000.0
1722730505000000000,10000.0
1722730510000000000,10000.0
1722730515000000000,10000.0
1722730520000000000,10000.0
1722730525000000000,10000.0
1722730530000000000,10000.0
1722730535000000000,10000.0
1722730540000000000,10000.0
1722730545000000000,10000.0
1722730550000000000,10000.0
1722730555000000000,10000.0
1722730560000000000,10000.0
1722730565000000000,10000.0
1722730570000000000,10000.0
1722730575000000000,10000.0
1722730580000000000,10000.0
1722730585000000000,10000.0
1722730590000000000,10000.0
1722730595000000000,10000.0
1722730600000000000,10000.0
1722730605000000000,10000.0
1722730610000000000,10000.0
1722730615000000000,10000.0
1722730620000000000,10000.0
1722730625000000000,10000.0
1722730630000000000,10000.0
1722730635000000000,10000.0
1722730640000000000,10000.0
1722730645000000000,10000.0
1722730650000000000,10000.0
1722730655000000000,10000.0
1722730660000000000,10000.0
1722730665000000000,10000.0
1722730670000000000,10000.0
1722730675000000000,10000.0
1722730680000000000,10000.0
1722730685000000000,10000.0
1722730690000000000,10000.0
1722730695000000000,10000.0
1722730700000000000,10000.0
1722730705000000000,10000.0
1722730710000000000,10000.0
1722730715000000000,10000.0
1722730720000000000,10000.0
1722730725000000000,10000.0
1722730730000000000,10000.0
1722730735000000000,10000.0
1722730740000000000,10000.0
1722730745000000000,10000.0
1722730750000000000,10000.0
1722730755000000000,10000.0
1722730760000000000,10000.0
1722730765000000000,10000.0
1722730770000000000,10000.0
1722730775000000000,10000.0
1722730780000000000,10000.0
1722730785000000000,10000.0
1722730790000000000,10000.0
1722730795000000000,10000.0
1722730800000000000,10000.0
1722730805000000000,10000.0
1722730810000000000,10000.0
1722730815000000000,10000.0
1722730820000000000,10000.0
1722730825000000000,10000.0
1722730830000000000,10000.0
1722730835000000000,10000.0
1722730840000000000,10000.0
1722730845000000000,10000.0
1722730850000000000,10000.0
1722730855000000000,10000.0
1722730860000000000,10000.0
1722730865000000000,10000.0
1722730870000000000,10000.0
1722730875000000000,10000.0
1722730880000000000,10000.0
1722730885000000000,10000.0
1722730890000000000,10000.0
1722730895000000000,10000.0
1722730900000000000,10000.0
1722730905000000000,10000.0
1722730910000000000,10000.0
1722730915000000000,10000.0
1722730920000000000,10000.0
1722730925000000000,10000.0
1722730930000000000,10000.0
1722730935000000000,10000.0
