ts,symbol,role,price,quantity,cost
1722718800000000000,SOLUSDT-PERP.BINANCE,entry,140.52,222.37,25.58174336
1722721140000000000,SOLUSDT-PERP.BINANCE,exit,142.98,222.37,6.35889252
1722822180000000000,SOLUSDT-PERP.BINANCE,entry,130.84,106.76,10.28527324
1722824040000000000,SOLUSDT-PERP.BINANCE,exit,127.06,106.76,2.71298512
1722827040000000000,XRPUSDT-PERP.BINANCE,entry,0.4754,79702.09999999999,35.92019938
1722827400000000000,XRPUSDT-PERP.BINANCE,exit,0.4682,79702.09999999999,7.46330464
1722839520000000000,SOLUSDT-PERP.BINANCE,entry,115.86,49.93,4.13999389
1722843720000000000,SOLUSDT-PERP.BINANCE,exit,123.48,49.93,1.23307128
1722858360000000000,SOLUSDT-PERP.BINANCE,entry,113.06,128.47,10.92830467
1722858900000000000,SOLUSDT-PERP.BINANCE,exit,115.97,128.47,2.97973318
1722863040000000000,BTCUSDT-PERP.BINANCE,entry,50070.3,0.587,21.07793825
1722864840000000000,BTCUSDT-PERP.BINANCE,exit,51317.8,0.587,6.02470972
1722870180000000000,BTCUSDT-PERP.BINANCE,entry,53715.9,0.391,14.97424373
1722870720000000000,BTCUSDT-PERP.BINANCE,exit,54489.7,0.391,15.34556284
1722902580000000000,SOLUSDT-PERP.BINANCE,entry,130.28,327.98,34.13114688
1722903480000000000,SOLUSDT-PERP.BINANCE,exit,134.62,327.98,8.83053352
1722949740000000000,SOLUSDT-PERP.BINANCE,entry,138.31,384.67,45.52681154
1722950400000000000,SOLUSDT-PERP.BINANCE,exit,137.45,384.67,44.13910254
1722967920000000000,ETHUSDT-PERP.BINANCE,entry,2493.98,22.025,42.88734035
1722974520000000000,ETHUSDT-PERP.BINANCE,exit,2479.46,22.025,43.90437042
1723018800000000000,BTCUSDT-PERP.BINANCE,entry,56943.299999999996,0.997,44.38484866
1723020600000000000,BTCUSDT-PERP.BINANCE,exit,57219.6,0.997,43.98040356
1723033080000000000,SOLUSDT-PERP.BINANCE,entry,152.4,190.78,22.28685972
1723040340000000000,SOLUSDT-PERP.BINANCE,exit,150.62,190.78,21.5315957
1723051620000000000,SOLUSDT-PERP.BINANCE,entry,147.19,168.85,19.06034084
1723054080000000000,SOLUSDT-PERP.BINANCE,exit,145.21,168.85,18.81890361
1723066440000000000,XRPUSDT-PERP.BINANCE,entry,0.623,16237.0,7.41808631
1723209360000000000,XRPUSDT-PERP.BINANCE,exit,0.5761,16237.0,1.87082714
1723219620000000000,SOLUSDT-PERP.BINANCE,entry,151.69,291.72,35.04494424
1723234680000000000,SOLUSDT-PERP.BINANCE,exit,154.31,291.72,9.00306264
