symbol,side,ts,entry,stop,target,episode,scale,source,root_ts,entry_kind,predicted_value,rr,predicted_win,nav_before,quantity,planned_risk_pct,entry_ts,exit_ts,nav_after,net_r,hold_minutes
XRPUSDT,1,1763401800000000000,2.1698,2.1613,2.2205,89,15.0,1763390700000000000,1763397000000000000,market,0.010472468595857994,5.964705882352815,0.28538695821941684,10000.0,24672.5,2.999998936227403,1763401860000000000,1763402040000000000,9692.00322633,-1.0266559122333319,3.0
SOLUSDT,-1,1763438100000000000,134.42,135.2,131.34,96,15.0,1763433000000000000,1763433900000000000,market,0.002880476284914814,3.9487179487179227,0.2917359445744005,9692.00322633,287.84,2.999960522332519,1763438160000000000,1763441880000000000,9400.14854732,-1.0037645544632343,62.0
ETHUSDT,-1,1763444220000000000,3013.32,3027.48,2956.64,98,5.0,1763436900000000000,1763438400000000000,market,0.0005216372862206532,4.002824858757092,0.27577208586553426,9400.14854732,14.927,2.999918964196029,1763444280000000000,1763451540000000000,9119.473770229999,-0.9952848995846327,121.0
BTCUSDT,-1,1763452260000000000,90383.0,90500.6,89299.8,100,15.0,1763442000000000000,1763443800000000000,market,0.006793089144504182,9.210884353741015,0.26888306431616227,9119.473770229999,1.047,2.9983787673495508,1763452320000000000,1763452860000000000,8882.0648645,-0.8677726796949152,9.0
ETHUSDT,1,1763634060000000000,3007.05,2990.46,3043.67,125,15.0,1763615700000000000,1763622000000000000,market,0.0020196179738374356,2.2073538276068785,0.4207617243079775,8882.0648645,12.598,2.9999891601060273,1763634120000000000,1763645520000000000,9306.73330096,1.593730147732216,190.0
BTCUSDT,1,1763665800000000000,86304.0,86066.5,87712.9,131,5.0,1763656200000000000,1763660400000000000,market,0.008831155502754418,5.932210526315765,0.2945851737598041,9306.73330096,0.76,2.9979475269831406,1763665860000000000,1763676720000000000,10299.590673140001,3.5560539524560695,181.0
ETHUSDT,-1,1763737260000000000,2763.84,2779.57,2717.09,144,15.0,1763728200000000000,1763733600000000000,market,0.001569958431720888,2.9720279720279685,0.33567767748111194,10299.590673140001,15.637,2.9998299161177693,1763737320000000000,1763739300000000000,10990.47915898,2.2359739261022193,33.0
ETHUSDT,-1,1763751480000000000,2775.82,2805.95,2714.86,146,5.0,1763743800000000000,1763746200000000000,market,0.00024685718701586423,2.0232326584799143,0.3826317436575509,10990.47915898,9.615,2.9999524401322555,1763751540000000000,1763756940000000000,11551.35101117,1.7010840142540617,90.0
SOLUSDT,1,1763757540000000000,126.91,125.86,130.31,147,15.0,1763747100000000000,1763749800000000000,market,0.0004080896108465612,3.2380952380952523,0.290667623908007,11551.35101117,277.2,2.999896559532735,1763757600000000000,1763765520000000000,11201.05725982,-1.010830539825373,132.0
SOLUSDT,1,1763766780000000000,125.91,124.99,129.27,149,15.0,1763751600000000000,1763757900000000000,market,0.0017629230180705793,3.6521739130434865,0.28476036767221735,11201.05725982,298.43,2.999972102213775,1763766840000000000,1763770500000000000,12162.8190382,2.862116066578809,61.0
SOLUSDT,-1,1763901060000000000,130.83,131.16,128.92,168,15.0,1763887500000000000,1763891100000000000,market,0.0008999767682246924,5.7878787878791425,0.26248081642020643,12162.8190382,639.97,2.999998641794173,1763901120000000000,1763901180000000000,11795.945756179999,-1.0054502465471609,1.0
SOLUSDT,-1,1763914200000000000,132.66,133.39,130.34,172,15.0,1763904600000000000,1763907300000000000,market,0.0017354411323408023,3.1780821917808573,0.3328646074666308,11795.945756179999,369.71,2.9999282756483168,1763914260000000000,1763935020000000000,11434.110811,-1.022483918511948,346.0
