ts,symbol,role,price,quantity,cost
1722718741000000000,SOLUSDT-PERP.BINANCE,entry,140.52,19.0,1.96153907
1722718741000000000,SOLUSDT-PERP.BINANCE,entry,140.53,203.37,23.24959523
1722721117000000000,SOLUSDT-PERP.BINANCE,exit,142.98,113.5,3.245646
1722721117000000000,SOLUSDT-PERP.BINANCE,exit,142.99,108.87,3.11346426
1722822121000000000,SOLUSDT-PERP.BINANCE,entry,130.84,106.75,10.28428608
1722824026000000000,SOLUSDT-PERP.BINANCE,exit,127.06,106.75,2.712731
1722826981000000000,XRPUSDT-PERP.BINANCE,entry,0.4754,377.2,0.12858404
1722826981000000000,XRPUSDT-PERP.BINANCE,entry,0.4753,79320.5,35.71730904
1722827375000000000,XRPUSDT-PERP.BINANCE,exit,0.4682,53831.299999999996,5.04076293
1722827375000000000,XRPUSDT-PERP.BINANCE,exit,0.4681,25866.4,2.42161237
1722839461000000000,SOLUSDT-PERP.BINANCE,entry,115.86,49.9,4.13747922
1722843688000000000,SOLUSDT-PERP.BINANCE,exit,123.48,49.9,1.2323304
1722858301000000000,SOLUSDT-PERP.BINANCE,entry,113.06,32.5,2.66893571
1722858301000000000,SOLUSDT-PERP.BINANCE,entry,113.07,95.9,8.08121644
1722858859000000000,SOLUSDT-PERP.BINANCE,exit,115.97,128.4,2.9781096
1722862981000000000,BTCUSDT-PERP.BINANCE,entry,50006.8,0.587,21.05088753
1722864827000000000,BTCUSDT-PERP.BINANCE,exit,51317.8,0.587,6.02470972
1722870121000000000,BTCUSDT-PERP.BINANCE,entry,53601.5,0.392,14.98062598
1722870703000000000,BTCUSDT-PERP.BINANCE,exit,54489.7,0.392,15.38536295
1722902521000000000,SOLUSDT-PERP.BINANCE,entry,130.28,25.5,2.41699818
1722902521000000000,SOLUSDT-PERP.BINANCE,entry,130.29,302.08,31.28176877
1722903436000000000,SOLUSDT-PERP.BINANCE,exit,134.62,327.58,8.81976392
1722949681000000000,SOLUSDT-PERP.BINANCE,entry,138.31,61.75,6.51126223
1722949681000000000,SOLUSDT-PERP.BINANCE,entry,138.32,322.38,37.57062301
1722950359000000000,SOLUSDT-PERP.BINANCE,exit,137.45,384.13,44.07214211
1722967861000000000,ETHUSDT-PERP.BINANCE,entry,2493.98,21.991,42.81771487
1722974519000000000,ETHUSDT-PERP.BINANCE,exit,2479.46,21.991,43.83221829
1723018741000000000,BTCUSDT-PERP.BINANCE,entry,56916.1,0.078,3.20917172
1723018741000000000,BTCUSDT-PERP.BINANCE,entry,56916.0,0.917,40.62795084
1723020580000000000,BTCUSDT-PERP.BINANCE,exit,57219.6,0.995,43.88812517
1723033021000000000,SOLUSDT-PERP.BINANCE,entry,152.4,136.0,15.67278417
1723033021000000000,SOLUSDT-PERP.BINANCE,entry,152.41,54.09,6.06276267
1723040305000000000,SOLUSDT-PERP.BINANCE,exit,150.62,190.09,21.45116639
1723051561000000000,SOLUSDT-PERP.BINANCE,entry,147.19,95.75,10.57565111
1723051561000000000,SOLUSDT-PERP.BINANCE,entry,147.2,72.48,7.936149
1723054066000000000,SOLUSDT-PERP.BINANCE,exit,145.21,168.23,18.74677091
1723066381000000000,XRPUSDT-PERP.BINANCE,entry,0.623,16177.5,7.39028696
1723209322000000000,XRPUSDT-PERP.BINANCE,exit,0.5761,16177.5,1.86397155
1723219561000000000,SOLUSDT-PERP.BINANCE,entry,151.69,51.25,5.74152217
1723219561000000000,SOLUSDT-PERP.BINANCE,entry,151.7,239.41,28.44860924
1723234641000000000,SOLUSDT-PERP.BINANCE,exit,154.31,134.5,4.150939
1723234641000000000,SOLUSDT-PERP.BINANCE,exit,154.32,156.16,4.81972224
