symbol,side,ts,entry,stop,target,episode,scale,source,root_ts,entry_kind,rr,predicted_win,predicted_value,nav_before,quantity,planned_risk_pct,entry_ts,exit_ts,nav_after,net_r,hold_minutes
SOLUSDT,1,1722718740000000000,140.51,139.4,142.99,99,15.0,1722703500000000000,1722710700000000000,market,2.240289069557438,0.4296598617405073,0.00439002237309399,10000.0,222.37,2.999973790501288,1722718741000000000,1722721117000000000,10514.51495544,1.7150498514666657,39.6
SOLUSDT,-1,1722822120000000000,130.85,133.6,127.05,109,5.0,1722820500000000000,1722821100000000000,market,1.3793604651162856,0.4596451148021936,0.0003941102739987955,10514.51495544,106.75,2.99986996429133,1722822121000000000,1722824026000000000,10905.03293836,1.2380282069596036,31.75
XRPUSDT,-1,1722826980000000000,0.4755,0.4786,0.4681,111,5.0,1722823800000000000,1722825000000000000,market,2.3870967741935427,0.4586483278893368,0.00593340769319432,10905.03293836,79697.7,2.9999969932300896,1722826981000000000,1722827375000000000,11430.20269998,1.6052825167623297,6.566666666666666
SOLUSDT,1,1722839460000000000,115.85,109.15,123.49,113,5.0,1722831300000000000,1722834900000000000,market,1.140638996715439,0.5639219893879789,0.004965171114529156,11430.20269998,49.9,2.9996098172800503,1722839461000000000,1722843688000000000,11805.070890359999,1.0932095146503211,70.45
SOLUSDT,1,1722858300000000000,113.05,110.47,115.98,115,5.0,1722855000000000000,1722856200000000000,market,1.1387485425573198,0.5307692550299601,0.0017531163984915374,11805.070890359999,128.4,2.999901896897064,1722858301000000000,1722858859000000000,12164.02762861,1.0135665189528131,9.3
BTCUSDT,1,1722862980000000000,50050.8,49500.899999999994,51317.9,117,5.0,1722858900000000000,1722861300000000000,market,2.3042371340243597,0.3657486776928872,0.0016290613207984028,12164.02762861,0.587,2.9986388334920844,1722862981000000000,1722864827000000000,12906.509031360001,2.034636951453132,30.766666666666666
BTCUSDT,-1,1722870120000000000,53580.4,54489.6,52506.5,118,5.0,1722864900000000000,1722866700000000000,market,1.1811482622085403,0.5407504583541899,0.0026154102411619414,12906.509031360001,0.392,2.9957890211084917,1722870121000000000,1722870703000000000,12527.96864243,-0.9776472424630349,9.7
SOLUSDT,1,1722902520000000000,130.27,129.34,134.63,120,15.0,1722893400000000000,1722895200000000000,market,4.702265372168332,0.3226259404082147,0.013205860376372659,12527.96864243,327.58,2.9999700044745308,1722902521000000000,1722903436000000000,13904.12651156,3.6615616050985254,15.25
SOLUSDT,1,1722949680000000000,138.3,137.46,140.47,128,5.0,1722945000000000000,1722946200000000000,market,2.56198347107446,0.3722241807080343,0.0011272856703772316,13904.12651156,384.13,2.9999482114850253,1722949681000000000,1722950359000000000,13482.39688421,-1.0110418826606868,11.3
ETHUSDT,1,1722967860000000000,2493.97,2479.47,2549.07,133,15.0,1722954600000000000,1722959100000000000,market,3.7999999999999936,0.3113774140892246,0.004676157526619016,13482.39688421,21.991,2.999932640398199,1722967861000000000,1722974519000000000,13076.43763105,-1.0036772557245703,110.96666666666667
BTCUSDT,-1,1723018740000000000,56914.899999999994,57219.5,56510.1,142,15.0,1722999600000000000,1723007700000000000,market,1.3289560078792018,0.5565906371870654,0.0010942176723544115,13076.43763105,0.995,2.9974949703956866,1723018741000000000,1723020580000000000,12686.63818332,-0.9936433217469509,30.65
SOLUSDT,1,1723033020000000000,152.39,150.63,154.46,144,15.0,1723023000000000000,1723025700000000000,market,1.1715909090909218,0.5249992182479654,0.0004398906032290588,12686.63818332,190.09,2.9999625379624213,1723033021000000000,1723040305000000000,12304.55037009,-1.003911379591893,121.4
SOLUSDT,1,1723051560000000000,147.18,145.22,149.37,147,15.0,1723038300000000000,1723045500000000000,market,1.1157572667006497,0.532823019556819,0.0004798904536610169,12304.55037009,168.23,2.9998768021215283,1723051561000000000,1723054066000000000,11933.47159907,-1.0052616304778348,41.75
XRPUSDT,-1,1723066380000000000,0.6231,0.6442,0.576,150,5.0,1723061400000000000,1723062600000000000,market,2.2322274881516595,0.3481482240491383,0.0014399793744846907,11933.47159907,16177.5,2.9999830199086968,1723066381000000000,1723209322000000000,12685.89881769,2.1017276556210147,2382.35
SOLUSDT,1,1723219560000000000,151.68,150.62,154.32,171,5.0,1723212600000000000,1723214400000000000,market,2.4867924528302727,0.3789317517199637,0.002099806531815674,12685.89881769,290.66,2.9998971397504004,1723219561000000000,1723234641000000000,13403.43472504,1.8853897482597581,251.33333333333334
