symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,entry_kind,predicted_win,relative_strength,market_direction,market_breadth,episode
BTCUSDT,1,1754784120000000000,1754779800000000000,1754778300000000000,5.0,116463.2,116382.4,116554.4,1.128712871287052,market,0.4723962339967259,-0.018859770227457162,0.2934339645137536,0.75,93
BTCUSDT,-1,1754800320000000000,1754796600000000000,1754790900000000000,5.0,118490.6,118738.1,118100.1,1.5777777777777775,market,0.409281771388908,0.8501297316405426,-0.32950097932315425,0.25,98
BTCUSDT,1,1754808240000000000,1754805300000000000,1754804700000000000,5.0,117900.0,117690.2,118126.8,1.0810295519541715,market,0.4484320676514544,-0.20561444294090514,0.5607586736763448,1.0,100
BTCUSDT,1,1754850780000000000,1754849100000000000,1754847600000000000,5.0,118459.0,118395.7,118532.4,1.159557661927185,market,0.423576171628499,-0.04834238264882501,0.08247453053471973,0.75,104
BTCUSDT,-1,1754856120000000000,1754853600000000000,1754853000000000000,5.0,118615.0,118692.4,118494.1,1.5620155038757175,market,0.3787728810402164,0.04144355945287859,0.1985504550843046,0.75,104
BTCUSDT,1,1754862180000000000,1754860200000000000,1754859000000000000,5.0,118221.0,118044.6,118428.8,1.178004535147268,market,0.4039646337464981,0.6616131164069499,-0.5128912432447614,0.25,106
BTCUSDT,1,1754905500000000000,1754899800000000000,1754895300000000000,5.0,121432.8,121090.3,121820.6,1.1322627737225457,market,0.419157555103621,0.9049537740827741,-0.04975140263761965,0.25,113
BTCUSDT,1,1754907060000000000,1754905200000000000,1754901600000000000,5.0,121256.9,121090.3,121461.4,1.2274909963985166,market,0.3852502903479576,0.10589650879581913,-0.5795986132339938,0.0,114
BTCUSDT,1,1754909460000000000,1754907600000000000,1754905800000000000,5.0,121187.6,121000.1,121387.9,1.0682666666665217,market,0.4283834543975468,0.35506753756112863,-0.21766683637340173,0.25,115
BTCUSDT,-1,1754938980000000000,1754937600000000000,1754935800000000000,5.0,119665.5,119854.2,119453.0,1.126126126126057,market,0.388725399092066,-0.0251646122415638,-0.47377760344007086,0.0,119
BTCUSDT,-1,1754960640000000000,1754958000000000000,1754957700000000000,5.0,118852.9,119000.1,118601.9,1.7051630434780272,market,0.4040660877644964,-0.07722793466508027,-0.37223011240734305,0.0,120
BTCUSDT,-1,1754963280000000000,1754961300000000000,1754959500000000000,5.0,118955.1,119070.1,118718.2,2.059999999999949,market,0.4086653493128922,0.27020966663611634,-0.5713564723052713,0.0,120
BTCUSDT,1,1754971380000000000,1754968200000000000,1754966400000000000,5.0,118830.0,118702.3,119088.2,2.0219263899763003,market,0.3286187015108995,0.26765171507454244,0.08926292542205926,0.75,120
BTCUSDT,-1,1754980980000000000,1754979000000000000,1754977500000000000,5.0,118839.7,118983.0,118552.5,2.0041870202372034,market,0.3040916227978141,0.6523049388302903,0.02060291215455476,0.5,124
BTCUSDT,-1,1754984100000000000,1754980200000000000,1754979600000000000,5.0,118952.3,119114.6,118777.0,1.0800985828712246,market,0.4101996797871685,0.47582262481413995,0.5348702482128698,0.75,124
BTCUSDT,1,1754990400000000000,1754987700000000000,1754985300000000000,5.0,118691.9,118499.9,119011.8,1.666145833333303,market,0.3397803402324584,0.0983918598447664,-1.1691518955082083,0.0,124
BTCUSDT,1,1755001500000000000,1754999100000000000,1754998500000000000,5.0,118347.7,118234.7,118533.0,1.639823008849583,market,0.4121054639502909,-0.36917059029250476,0.3552110558648942,0.75,126
BTCUSDT,-1,1755011340000000000,1755009300000000000,1755006600000000000,5.0,119262.4,119550.1,118923.1,1.1793534932220182,market,0.4693425161908293,0.03375292112689929,0.14679600324177783,0.75,128
BTCUSDT,-1,1755027780000000000,1755022800000000000,1755021600000000000,5.0,119646.0,120050.2,119202.3,1.0977238990598326,market,0.4952483117262372,0.2611045226196785,0.32238531347811233,0.75,128
BTCUSDT,-1,1755030540000000000,1755027600000000000,1755025200000000000,5.0,119750.8,119988.1,119430.1,1.3514538558786058,market,0.3915067199241151,0.3137979406983811,-0.9197539971352231,0.25,128
BTCUSDT,-1,1755035220000000000,1755033900000000000,1755033000000000000,5.0,119932.8,120075.1,119780.1,1.0730850316232885,market,0.5494766706350629,0.5876718121806128,-0.5508440137031859,0.25,128
BTCUSDT,-1,1755041580000000000,1755039600000000000,1755039000000000000,5.0,120054.0,120178.6,119855.1,1.5963081861957054,market,0.3399705459676677,0.530574163591694,-0.21755394617482388,0.25,129
BTCUSDT,1,1755050100000000000,1755047700000000000,1755042900000000000,5.0,119450.1,119299.9,119615.2,1.099201065246195,market,0.5115051411108471,-0.1186485090040505,0.5199076352277853,1.0,131
BTCUSDT,-1,1755085080000000000,1755083700000000000,1755081900000000000,5.0,120607.2,120710.5,120397.2,2.03291384317502,market,0.3817360276896574,-0.4578689778474281,0.09014469131691502,0.5,134
BTCUSDT,-1,1755103440000000000,1755099900000000000,1755098700000000000,5.0,121324.4,121729.0,120852.5,1.1663371230844968,market,0.4306619629250742,-0.638462015805573,1.3736267321669005,1.0,140
BTCUSDT,-1,1755106560000000000,1755102000000000000,1755100800000000000,5.0,121611.5,121817.8,121232.5,1.8371303926320632,market,0.3230951604068352,-0.07573073504479841,0.2548406116967205,1.0,140
BTCUSDT,1,1755111480000000000,1755108900000000000,1755108300000000000,5.0,121641.6,121363.5,121922.9,1.0115066522832885,market,0.4615649309154884,-0.13038721586683955,0.8410259651134695,1.0,140
BTCUSDT,-1,1755115440000000000,1755113700000000000,1755108900000000000,5.0,122540.4,122831.2,122178.6,1.2441540577715495,market,0.3642744370025176,-0.2134116844501549,-0.02960730908475538,0.5,140
BTCUSDT,-1,1755118920000000000,1755116100000000000,1755115800000000000,5.0,122821.3,122990.1,122540.1,1.665876777251139,market,0.3555122661820986,-0.059490516673087385,0.018167300737081477,0.5,140
BTCUSDT,-1,1755129180000000000,1755125400000000000,1755122100000000000,5.0,123400.0,123716.0,122900.1,1.5819620253164373,market,0.3674475294011238,0.2363936592901869,0.46113715839622255,1.0,140
BTCUSDT,1,1755135180000000000,1755132900000000000,1755131700000000000,5.0,123642.7,123381.0,123963.7,1.2265953381734946,market,0.4440695083451555,-0.31945605642092256,0.5954318048974117,1.0,140
BTCUSDT,1,1755147960000000000,1755145200000000000,1755141000000000000,5.0,123183.3,123039.4,123446.0,1.8255733148018147,market,0.3802175672624337,-0.41174771849516856,0.5592445063109804,1.0,142
BTCUSDT,-1,1755157560000000000,1755153900000000000,1755152700000000000,5.0,121887.6,122081.7,121550.1,1.7387944358577532,market,0.3947137180753233,-0.8543569961901847,0.15472671038528352,0.75,144
BTCUSDT,1,1755162420000000000,1755158700000000000,1755157200000000000,5.0,121666.0,121514.4,122049.9,2.532321899736012,market,0.2933255535139997,-0.3866315227629247,0.661419220882008,1.0,145
BTCUSDT,1,1755165180000000000,1755162300000000000,1755160200000000000,5.0,121660.7,121514.4,121919.9,1.771701982228243,market,0.2953642491919479,-0.3081481565289654,0.33437420547469343,1.0,145
BTCUSDT,-1,1755183300000000000,1755179700000000000,1755179100000000000,5.0,118836.1,119314.0,117907.3,1.943502824858787,market,0.3305257334875889,0.10191846704811858,0.39698706000517986,1.0,149
BTCUSDT,-1,1755192960000000000,1755190500000000000,1755189300000000000,5.0,117895.6,118093.1,117437.9,2.317468354430365,market,0.2639290176699047,0.024583170598732385,-0.6456788881896984,0.0,151
BTCUSDT,-1,1755206640000000000,1755203400000000000,1755202500000000000,5.0,117970.2,118151.5,117692.4,1.5322669608383006,market,0.3703512962979338,-0.805887513944026,1.060470877469498,1.0,155
BTCUSDT,-1,1755212640000000000,1755210900000000000,1755207900000000000,5.0,118187.9,118300.1,118053.6,1.196969696969469,market,0.4329907266570298,0.5506358337345966,-0.5477356536444274,0.25,156
BTCUSDT,1,1755220380000000000,1755218100000000000,1755216900000000000,5.0,118154.2,117970.6,118419.2,1.4433551198256622,market,0.3351903017913351,-0.11744416202913976,0.3538199105171993,1.0,156
BTCUSDT,-1,1755226140000000000,1755223800000000000,1755220200000000000,5.0,118748.9,118852.4,118572.4,1.7053140096614554,market,0.3778195312489783,-0.27219938377767716,-0.37812567389764307,0.25,156
BTCUSDT,1,1755235980000000000,1755233700000000000,1755232800000000000,5.0,118723.5,118569.6,118922.9,1.2956465237165875,market,0.3677398686420987,-0.044130870349299134,-0.42342736270731673,0.25,156
BTCUSDT,-1,1755240960000000000,1755237900000000000,1755237600000000000,5.0,119051.6,119184.1,118822.9,1.7260377358490346,market,0.4069758735936076,0.008925179221204893,0.40137563993984227,0.75,158
BTCUSDT,1,1755251400000000000,1755250200000000000,1755249000000000000,5.0,118734.9,118633.6,118846.0,1.0967423494570845,market,0.4548439221835169,-0.2657990772738523,-0.2158526399138784,0.5,161
BTCUSDT,1,1755288600000000000,1755284700000000000,1755282900000000000,5.0,116998.5,116811.9,117381.1,2.050375133976309,market,0.3301554568468623,0.16968141426401046,0.4968970238505785,1.0,165
BTCUSDT,-1,1755308520000000000,1755305700000000000,1755300300000000000,5.0,117718.7,117814.5,117578.5,1.4634655532358334,market,0.3529214656898869,0.2644031440701663,-0.6356411167824081,0.0,168
BTCUSDT,1,1755317100000000000,1755313500000000000,1755309300000000000,5.0,117436.0,117337.1,117619.1,1.8513650151665837,market,0.3292040292266157,-0.23655407563131015,-0.17328039252224586,0.5,169
BTCUSDT,1,1755323400000000000,1755322200000000000,1755319800000000000,5.0,117541.3,117473.4,117616.7,1.1104565537552944,market,0.3690746754896321,0.16223846931927466,-0.7146898927213647,0.0,171
BTCUSDT,-1,1755334320000000000,1755330900000000000,1755329100000000000,5.0,117579.1,117632.9,117446.9,2.457249070631783,market,0.294378874642657,0.12275165965081958,-0.6437686355734977,0.0,172
BTCUSDT,-1,1755336720000000000,1755333900000000000,1755332700000000000,5.0,117600.1,117665.0,117493.3,1.6456086286596685,market,0.3950363100521736,0.4268889065436591,-0.3919274826513601,0.25,172
BTCUSDT,-1,1754787960000000000,1754778600000000000,1754775000000000000,15.0,116623.0,116719.6,116382.6,2.488612836438713,market,0.2659386014625549,0.291103077583161,0.32481339286251243,0.75,92
BTCUSDT,-1,1754889600000000000,1754883000000000000,1754875800000000000,15.0,122069.9,122450.1,121539.1,1.3961073119410103,market,0.3919945653124029,-0.09851355728702879,0.18795114465311663,0.75,110
BTCUSDT,1,1754905500000000000,1754900100000000000,1754888400000000000,15.0,121432.8,121090.3,121820.6,1.1322627737225457,market,0.3908640173539062,0.9049537740827741,-0.04975140263761965,0.25,113
BTCUSDT,-1,1754927280000000000,1754923500000000000,1754922600000000000,15.0,120207.6,120555.1,119800.1,1.1726618705035972,market,0.4458538891853509,0.1651857625634381,-0.12976717707306806,0.25,118
BTCUSDT,-1,1754958360000000000,1754953200000000000,1754949600000000000,15.0,118748.9,118946.9,118537.2,1.0691919191917525,market,0.3748832426652833,0.006217466852564524,-0.5218644992048918,0.0,119
BTCUSDT,-1,1754966820000000000,1754961300000000000,1754955900000000000,15.0,119061.7,119246.5,118776.1,1.545454545454474,market,0.3824197027544586,0.0592204348533457,0.10410609999449906,0.75,120
BTCUSDT,1,1754990280000000000,1754977500000000000,1754974800000000000,15.0,118679.5,118377.1,119114.4,1.438161375661315,market,0.322712337973515,0.3135950112884086,-1.2296339741723952,0.0,123
BTCUSDT,-1,1755000120000000000,1754995500000000000,1754993700000000000,15.0,118434.8,118622.7,118157.5,1.4757849920169772,market,0.3086839619407701,0.20389955050240738,-0.07656457836599638,0.5,125
BTCUSDT,-1,1755011340000000000,1755006300000000000,1755001800000000000,15.0,119262.4,119682.1,118557.6,1.679294734333974,market,0.3625308910801667,0.03375292112689929,0.14679600324177783,0.75,127
BTCUSDT,-1,1755027780000000000,1755023400000000000,1755021600000000000,15.0,119646.0,120050.2,119202.3,1.0977238990598326,market,0.4952483117262372,0.2611045226196785,0.32238531347811233,0.75,128
BTCUSDT,-1,1755041520000000000,1755032400000000000,1755029700000000000,15.0,120060.0,120270.1,119585.5,2.258448357924735,market,0.3382993915507959,0.23270537922693207,0.04815445284417785,0.5,128
BTCUSDT,1,1755048060000000000,1755037800000000000,1755032400000000000,15.0,119594.7,119299.9,120265.0,2.273744911804601,market,0.3618044644506974,0.8433545282931298,-0.6042690861956304,0.25,129
BTCUSDT,-1,1755059040000000000,1755054000000000000,1755052200000000000,15.0,119552.4,119798.7,119261.8,1.179861956962934,market,0.4380434052984691,0.9075561350816219,0.26415225655058344,0.75,132
BTCUSDT,-1,1755106560000000000,1755102600000000000,1755099000000000000,15.0,121611.5,121817.8,121232.5,1.8371303926320632,market,0.3193229175215274,-0.07573073504479841,0.2548406116967205,1.0,140
BTCUSDT,-1,1755125880000000000,1755119700000000000,1755110700000000000,15.0,123044.5,123680.1,122314.2,1.1489930774071455,market,0.4547447188513897,0.13321698948669214,0.9618460573994172,1.0,140
BTCUSDT,1,1755143940000000000,1755138600000000000,1755132300000000000,15.0,123434.9,123288.4,123923.0,3.3317406143345107,market,0.2515064812456576,-0.31175792979745065,-0.029800450108988158,0.5,142
BTCUSDT,1,1755162420000000000,1755159300000000000,1755157500000000000,15.0,121666.0,121514.4,122049.9,2.532321899736012,market,0.2933255535139997,-0.3866315227629247,0.661419220882008,1.0,145
BTCUSDT,1,1755166680000000000,1755162900000000000,1755160200000000000,15.0,121619.9,121421.9,121919.9,1.5151515151515151,market,0.3299506954925562,0.42735508332844296,-0.21097558693541646,0.25,146
BTCUSDT,1,1755186900000000000,1755175500000000000,1755174600000000000,15.0,118112.9,117409.9,119313.8,1.7082503556187685,market,0.3331025894726986,0.022453029021496818,0.24873257831696854,0.75,149
BTCUSDT,-1,1755247620000000000,1755241200000000000,1755235800000000000,15.0,118993.1,119184.1,118701.1,1.5287958115183249,market,0.3459072838539596,-0.29102262863257866,0.8269177261557261,1.0,158
BTCUSDT,1,1755250380000000000,1755244800000000000,1755241200000000000,15.0,118780.5,118633.6,119114.8,2.2756977535736453,market,0.3564141346026116,0.8729217088593335,-1.0551131015626263,0.0,159
BTCUSDT,1,1755285000000000000,1755275400000000000,1755268200000000000,15.0,117131.3,116736.2,117859.3,1.842571500885788,market,0.322583443951298,0.4625835507803063,-0.9554489293070594,0.0,163
BTCUSDT,-1,1755305760000000000,1755299700000000000,1755293400000000000,15.0,117649.1,117747.1,116971.4,6.91530612244895,market,0.2293006333175059,0.1435127224888753,-0.3772383648005691,0.0,167
BTCUSDT,1,1755317100000000000,1755314100000000000,1755309600000000000,15.0,117436.0,117337.1,117619.1,1.8513650151665837,market,0.3292040292266157,-0.23655407563131015,-0.17328039252224586,0.5,169
BTCUSDT,-1,1755356820000000000,1755350100000000000,1755347400000000000,15.0,117682.4,117786.1,117500.1,1.757955641272593,market,0.3209506741739542,0.11841535643955256,0.039093722209918615,0.5,176
BTCUSDT,-1,1755363780000000000,1755357300000000000,1755354600000000000,15.0,117700.0,117786.1,117557.4,1.6562137049939794,market,0.3850169820994935,0.21103277572602136,-0.14692989619661745,0.5,178
BTCUSDT,1,1755370080000000000,1755359100000000000,1755357300000000000,15.0,117661.7,117557.2,117774.4,1.0784688995215033,market,0.4150675331943783,-0.04865988848433228,0.34121747975045613,0.75,178
