symbol,side,ts,entry,stop,target,episode,scale,source,root_ts,entry_kind,rr,nav_before,quantity,planned_risk_pct,entry_ts,exit_ts,nav_after,net_r,hold_minutes
SOLUSDT,1,1722648360000000000,149.91,148.54,153.99,93,60.0,1722628800000000000,1722647100000000000,limit,2.9809941520468795,10000.0,197.14,2.9999901206626522,1722674520000000000,1722676260000000000,9698.51453469,-1.0049515510333322,29.0
BTCUSDT,1,1722702600000000000,60696.99999999999,60400.19999999999,62064.99999999999,99,60.0,1722650400000000000,1722702480000000000,limit,4.609164420485243,9698.51453469,0.825,2.99737542531131,1722703140000000000,1722703680000000000,9406.84504326,-1.0024541744227808,9.0
BTCUSDT,-1,1722722520000000000,60623.5,60842.3,60121.799999999996,100,15.0,1722717900000000000,1722721560000000000,limit,2.2929616087752027,9406.84504326,1.024,2.999654979487469,1722722640000000000,1722737220000000000,9126.386658529998,-0.9938095909246066,243.0
XRPUSDT,-1,1722739200000000000,0.5577,0.5587,0.5502,102,60.0,1722729600000000000,1722738840000000000,limit,7.499999999999945,9126.386658529998,151017.3,2.9999993365800983,1722745680000000000,1722745920000000000,8810.15531932,-1.1550074563716928,4.0
ETHUSDT,-1,1722753660000000000,2916.34,2918.01,2908.94,103,15.0,1722750300000000000,1722753180000000000,limit,4.4311377245507595,8810.15531932,48.036,2.999937618581298,1722754140000000000,1722754200000000000,8543.587466640001,-1.0085628195280325,1.0
ETHUSDT,-1,1722771240000000000,2917.74,2924.81,2909.8,106,60.0,1722754800000000000,1722771120000000000,limit,1.1230551626589682,8543.587466640001,25.253,2.9999018838804363,1722771540000000000,1722773580000000000,8714.15865311,0.6654940021235234,34.0
ETHUSDT,1,1722777900000000000,2913.93,2908.53,2924.58,107,15.0,1722773700000000000,1722777360000000000,limit,1.972222222222206,8714.15865311,29.214,2.999924442863079,1722777960000000000,1722780300000000000,8467.66462817,-0.9428870674815681,39.0
ETHUSDT,1,1722808080000000000,2733.0,2725.54,2756.86,109,15.0,1722804300000000000,1722807300000000000,limit,3.1983914209114688,8467.66462817,24.642,2.999915846962104,1722808440000000000,1722809040000000000,8214.80070043,-0.9954099461252438,10.0
ETHUSDT,-1,1722845520000000000,2332.83,2367.54,2177.02,114,15.0,1722836700000000000,1722843720000000000,limit,4.488908095649591,8214.80070043,6.681,2.999945621875951,1722845700000000000,1722866460000000000,7968.1010299,-1.0010373532944687,346.0
ETHUSDT,1,1722917520000000000,2482.12,2476.93,2504.4,123,15.0,1722915000000000000,1722917040000000000,limit,4.2928709055875744,7968.1010299,30.495,2.999935653018549,1722919620000000000,1722922560000000000,8616.50694442,2.7125070832932474,49.0
ETHUSDT,-1,1722924780000000000,2523.49,2530.01,2483.25,124,15.0,1722912300000000000,1722923340000000000,limit,6.171779141103848,8616.50694442,28.586,2.9999854869718683,1722925500000000000,1722926220000000000,8355.676370239999,-1.0090344647487481,12.0
SOLUSDT,1,1722937380000000000,137.55,136.29,142.35,127,60.0,1722920400000000000,1722933480000000000,limit,3.804916732751907,8355.676370239999,179.19,2.9998577176393235,1722948420000000000,1722952020000000000,8103.12886029,-1.0074887966759298,60.0
SOLUSDT,-1,1722954780000000000,144.55,145.83,136.06,132,60.0,1722780000000000000,1722954360000000000,limit,6.620904836193561,8103.12886029,170.32,2.999862461377612,1722954840000000000,1722955440000000000,7857.968724079999,-1.0084998870474464,10.0
ETHUSDT,1,1722968220000000000,2500.47,2479.47,2541.83,134,15.0,1722959100000000000,1722966780000000000,limit,1.9695238095238157,7857.968724079999,10.089,2.9998759973488798,1722968460000000000,1722974520000000000,7621.5816750799995,-1.0027487480134416,101.0
ETHUSDT,1,1722975060000000000,2480.53,2471.81,2513.59,136,60.0,1722967200000000000,1722974520000000000,limit,3.7912844036695557,7621.5816750799995,20.535,2.9999192955026803,1722975420000000000,1722975480000000000,7470.81407401,-0.6593889453110902,1.0
XRPUSDT,1,1723009080000000000,0.5139,0.5125,0.5161,142,15.0,1723005900000000000,1723008180000000000,limit,1.5714285714284808,7470.81407401,102046.0,2.9999977692419044,1723009320000000000,1723009500000000000,7233.89814589,-1.0570732353617718,3.0
BTCUSDT,1,1723042200000000000,55910.4,55620.4,57453.9,147,15.0,1722993300000000000,1723041600000000000,limit,5.322413793103448,7233.89814589,0.635,2.999484426845474,1723045080000000000,1723051140000000000,7014.82587107,-1.0094708293364045,101.0
XRPUSDT,-1,1723051140000000000,0.5026,0.5054,0.4972,148,15.0,1723046400000000000,1723049820000000000,limit,1.9285714285715136,7014.82587107,61452.9,2.999997981383476,1723051380000000000,1723055220000000000,6793.59510658,-1.0512532957868692,64.0
BTCUSDT,-1,1723063980000000000,54991.4,55282.4,54393.5,150,15.0,1723058100000000000,1723062180000000000,limit,2.054639175257737,6793.59510658,0.595,2.998205374938095,1723064160000000000,1723066980000000000,6587.040615270001,-1.0134766058790639,47.0
ETHUSDT,1,1723105080000000000,2414.32,2407.07,2438.99,156,15.0,1723097700000000000,1723104120000000000,limit,3.402758620689389,6587.040615270001,20.436,2.9999644038174296,1723108200000000000,1723110120000000000,7070.95156663,2.4488030342397034,32.0
SOLUSDT,-1,1723136820000000000,158.49,162.76,152.78,160,15.0,1723129200000000000,1723132740000000000,limit,1.3317757009345919,7070.95156663,47.87,2.999766252052605,1723137120000000000,1723158120000000000,6858.40559974,-1.0019677685865758,350.0
SOLUSDT,1,1723166100000000000,161.09,160.18,163.49,165,15.0,1723160700000000000,1723165380000000000,limit,2.604575163398777,6858.40559974,189.23,2.9999719638568245,1723166400000000000,1723168200000000000,6649.64155749,-1.0146383597664659,30.0
BTCUSDT,1,1723192020000000000,60834.200000000004,60573.9,61199.9,166,15.0,1723185900000000000,1723190820000000000,limit,1.4049174029965827,6649.64155749,0.626,2.999943016404431,1723196220000000000,1723197840000000000,6449.8624815,-1.001452856582789,27.0
ETHUSDT,1,1723207320000000000,2622.75,2607.26,2646.81,169,15.0,1723199400000000000,1723207020000000000,limit,1.5532601678501987,6449.8624815,10.725,2.9997503382475497,1723207440000000000,1723209420000000000,6257.0159134099995,-0.9966443400570587,33.0
ETHUSDT,-1,1723224420000000000,2589.86,2608.5,2551.24,174,15.0,1723216500000000000,1723223760000000000,limit,2.071888412017176,6257.0159134099995,8.845,2.999966374602028,1723224660000000000,1723240920000000000,6070.260049500001,-0.9949144368204081,271.0
SOLUSDT,1,1723242720000000000,153.73,150.62,157.26,171,60.0,1723122000000000000,1723213980000000000,limit,1.1358660656793296,6070.260049500001,55.84,2.9996277308657513,1723243740000000000,1723246740000000000,6262.78531318,1.0572049198883882,50.0
