ts,symbol,role,price,quantity,cost
1763349401000000000,ETHUSDT-PERP.BINANCE,entry,3172.2,29.423,69.42913884
1763349401000000000,ETHUSDT-PERP.BINANCE,entry,3172.19,3.089,6.99849799
1763349807000000000,ETHUSDT-PERP.BINANCE,exit,3176.7,32.512,82.35840875
1763386311000000000,BTCUSDT-PERP.BINANCE,entry,94402.0,1.087,77.13024433
1763386433000000000,BTCUSDT-PERP.BINANCE,exit,94269.90000000001,1.087,77.78310277
1763395361000000000,BTCUSDT-PERP.BINANCE,entry,93591.2,0.408,27.8023071
1763395361000000000,BTCUSDT-PERP.BINANCE,entry,93591.3,1.101,76.88584937
1763395508000000000,BTCUSDT-PERP.BINANCE,exit,93554.8,1.509,111.92775717
1763401661000000000,BTCUSDT-PERP.BINANCE,entry,92757.40000000001,1.249,86.92435025
1763401661000000000,BTCUSDT-PERP.BINANCE,entry,92757.5,0.198,13.22395138
1763401688000000000,BTCUSDT-PERP.BINANCE,exit,92700.7,1.447,101.15069985
1763426651000000000,ETHUSDT-PERP.BINANCE,entry,2996.48,10.181,22.39035672
1763426651000000000,ETHUSDT-PERP.BINANCE,entry,2996.49,20.225,45.32170856
1763426765000000000,ETHUSDT-PERP.BINANCE,exit,2992.29,30.406,71.45296402
1763435101000000000,ETHUSDT-PERP.BINANCE,entry,2959.54,12.518,27.04792589
1763435501000000000,ETHUSDT-PERP.BINANCE,exit,2976.62,12.518,7.45226583
1763455101000000000,ETHUSDT-PERP.BINANCE,entry,3061.29,27.86,65.50180179
1763455216000000000,ETHUSDT-PERP.BINANCE,exit,3066.02,27.86,65.33505807
1763468071000000000,BTCUSDT-PERP.BINANCE,entry,91096.8,0.195,12.91046472
1763468071000000000,BTCUSDT-PERP.BINANCE,entry,91096.9,1.321,92.62578214
1763468091000000000,BTCUSDT-PERP.BINANCE,exit,91069.79999999999,1.516,106.95149841
1763476421000000000,ETHUSDT-PERP.BINANCE,entry,3083.97,29.055,64.82740106
1763476461000000000,ETHUSDT-PERP.BINANCE,exit,3073.73,29.055,17.86144503
1763511471000000000,BTCUSDT-PERP.BINANCE,entry,92239.2,0.331,23.06172541
1763511471000000000,BTCUSDT-PERP.BINANCE,entry,92239.3,0.659,47.29730962
1763511555000000000,BTCUSDT-PERP.BINANCE,exit,92129.79999999999,0.99,69.85394943
1763518601000000000,BTCUSDT-PERP.BINANCE,entry,92785.0,0.13,8.93682933
1763518601000000000,BTCUSDT-PERP.BINANCE,entry,92784.9,1.076,81.63447649
1763518709000000000,BTCUSDT-PERP.BINANCE,exit,92633.5,0.304,5.6321168
1763518709000000000,BTCUSDT-PERP.BINANCE,exit,92633.40000000001,0.902,16.71106536
1763530001000000000,XRPUSDT-PERP.BINANCE,entry,2.1505,321.1,0.49132118
1763530001000000000,XRPUSDT-PERP.BINANCE,entry,2.1506,52021.5,94.71600029
1763530023000000000,XRPUSDT-PERP.BINANCE,exit,2.1493,2886.0,4.64681291
1763530023000000000,XRPUSDT-PERP.BINANCE,exit,2.1492,49456.6,96.02531623
1763564911000000000,BTCUSDT-PERP.BINANCE,entry,92160.2,1.133,77.72141744
1763564956000000000,BTCUSDT-PERP.BINANCE,exit,92246.0,1.133,77.41250012
1763566301000000000,ETHUSDT-PERP.BINANCE,entry,3012.01,25.067,55.92200361
1763566443000000000,ETHUSDT-PERP.BINANCE,exit,3007.18,25.067,56.59572171
1763587271000000000,BTCUSDT-PERP.BINANCE,entry,90370.59999999999,1.266,83.4001401
1763587272000000000,BTCUSDT-PERP.BINANCE,exit,90396.6,1.266,83.42461146
1763621091000000000,ETHUSDT-PERP.BINANCE,entry,3011.29,5.024,10.84051733
1763621091000000000,ETHUSDT-PERP.BINANCE,entry,3011.3,34.927,78.21311247
1763621110000000000,ETHUSDT-PERP.BINANCE,exit,3015.58,39.951,24.09508732
1763630971000000000,XRPUSDT-PERP.BINANCE,entry,2.1151,62.0,0.09266416
1763630971000000000,XRPUSDT-PERP.BINANCE,entry,2.1152,50672.700000000004,95.3299088
1763631176000000000,XRPUSDT-PERP.BINANCE,exit,2.1178,5236.2,2.21784487
