ts,symbol,role,price,quantity,cost
1754925420000000000,XRPUSDT-PERP.BINANCE,entry,3.1909,13816.4,36.80734116
1754935500000000000,XRPUSDT-PERP.BINANCE,exit,3.1744,13816.4,40.76376817
1755010080000000000,SOLUSDT-PERP.BINANCE,entry,178.13,267.87,38.15231512
1755010200000000000,SOLUSDT-PERP.BINANCE,exit,178.94,267.87,38.40493792
1755046440000000000,ETHUSDT-PERP.BINANCE,entry,4623.38,11.954,41.50780288
1755054240000000000,ETHUSDT-PERP.BINANCE,exit,4640.02,11.954,40.89438224
1755098640000000000,ETHUSDT-PERP.BINANCE,entry,4647.71,6.612,22.4319376
1755102060000000000,ETHUSDT-PERP.BINANCE,exit,4704.53,6.612,6.22127047
1755125820000000000,ETHUSDT-PERP.BINANCE,entry,4764.19,10.753,38.08014789
1755128520000000000,ETHUSDT-PERP.BINANCE,exit,4783.5,10.753,37.41309318
1755280200000000000,SOLUSDT-PERP.BINANCE,entry,185.63,184.33,26.07390415
1755284280000000000,SOLUSDT-PERP.BINANCE,exit,183.87,184.33,6.77855142
1755357000000000000,SOLUSDT-PERP.BINANCE,entry,188.38,228.84,35.55040804
1755357660000000000,SOLUSDT-PERP.BINANCE,exit,189.32,228.84,36.79600934
