ts,symbol,role,price,quantity,cost
1754791977000000000,ETHUSDT-PERP.BINANCE,entry,4268.03,8.991,7.67477155
1754794888000000000,ETHUSDT-PERP.BINANCE,exit,4238.72,8.991,27.83601537
1754859803000000000,SOLUSDT-PERP.BINANCE,entry,181.7,217.67,7.9101278
1754859803000000000,SOLUSDT-PERP.BINANCE,entry,181.69,200.06,7.26978028
1754860338000000000,SOLUSDT-PERP.BINANCE,exit,183.29,417.73,15.31314634
1755047634000000000,SOLUSDT-PERP.BINANCE,entry,192.09,240.29,9.23146122
1755048471000000000,SOLUSDT-PERP.BINANCE,exit,194.76,240.29,9.35977608
1755121975000000000,ETHUSDT-PERP.BINANCE,entry,4717.62,9.602,9.05971745
1755125225000000000,ETHUSDT-PERP.BINANCE,exit,4778.86,9.602,9.17732274
1755306830000000000,XRPUSDT-PERP.BINANCE,entry,3.0926,7238.2,4.47697146
1755306830000000000,XRPUSDT-PERP.BINANCE,entry,3.0927,34002.6,21.0319682
1755313436000000000,XRPUSDT-PERP.BINANCE,exit,3.0967,1156.0,2.63577321
1755313436000000000,XRPUSDT-PERP.BINANCE,exit,3.0968,40084.8,113.42450475
