ts,symbol,role,price,quantity,cost
1783903320000000000,SOLUSDT-PERP.BINANCE,entry,76.89,534.43,8.21846454
1783907760000000000,SOLUSDT-PERP.BINANCE,exit,76.4,534.43,36.39089128
1783928820000000000,SOLUSDT-PERP.BINANCE,entry,76.41,862.0,13.173084
1783932420000000000,SOLUSDT-PERP.BINANCE,exit,76.64,862.0,13.212736
1783997220000000000,SOLUSDT-PERP.BINANCE,entry,75.22,709.5,10.673718
1783998660000000000,SOLUSDT-PERP.BINANCE,exit,74.83,709.5,10.618377
1784021700000000000,BTCUSDT-PERP.BINANCE,entry,62581.2,1.54,19.2750096
1784025900000000000,BTCUSDT-PERP.BINANCE,exit,62779.9,1.54,19.3362092
1784067060000000000,BTCUSDT-PERP.BINANCE,entry,64538.700000000004,1.457,18.80657718
1784067660000000000,BTCUSDT-PERP.BINANCE,exit,64877.6,1.457,18.90533264
1784208060000000000,BTCUSDT-PERP.BINANCE,entry,64099.80000000001,1.547,19.83247812
1784208660000000000,BTCUSDT-PERP.BINANCE,exit,64245.799999999996,1.547,78.86082612
1784226120000000000,ETHUSDT-PERP.BINANCE,entry,1877.67,17.118,6.42839101
1784244060000000000,ETHUSDT-PERP.BINANCE,exit,1860.02,17.118,6.36796447
1784252520000000000,SOLUSDT-PERP.BINANCE,entry,75.29,619.23,9.32436534
1784255940000000000,SOLUSDT-PERP.BINANCE,exit,74.85,619.23,42.24391368
1784262000000000000,SOLUSDT-PERP.BINANCE,entry,74.87,968.21,14.49797654
1784266560000000000,SOLUSDT-PERP.BINANCE,exit,74.66,968.21,67.73729769
1784366280000000000,ETHUSDT-PERP.BINANCE,entry,1844.37,57.048,21.04352395
1784376420000000000,ETHUSDT-PERP.BINANCE,exit,1848.66,57.048,21.09247114
1784378820000000000,ETHUSDT-PERP.BINANCE,entry,1844.69,44.913,16.57011239
1784380380000000000,ETHUSDT-PERP.BINANCE,exit,1839.2,44.913,16.52079792
1784430420000000000,BTCUSDT-PERP.BINANCE,entry,64752.0,2.21,28.620384
1784430960000000000,BTCUSDT-PERP.BINANCE,exit,64672.19999999999,2.21,146.71508707
1784442240000000000,BTCUSDT-PERP.BINANCE,entry,64725.40000000001,2.18,28.2202744
1784448600000000000,BTCUSDT-PERP.BINANCE,exit,64643.5,2.18,28.184566
1784462520000000000,SOLUSDT-PERP.BINANCE,entry,76.01,1124.97,17.10179394
1784462940000000000,SOLUSDT-PERP.BINANCE,exit,75.84,1124.97,108.4397369
1784480520000000000,XRPUSDT-PERP.BINANCE,entry,1.0933,69532.6,15.20399832
1784480580000000000,XRPUSDT-PERP.BINANCE,exit,1.0884,69532.6,64.5813454
1784498580000000000,ETHUSDT-PERP.BINANCE,entry,1871.33,30.646,11.46975584
