ts,symbol,role,price,quantity,cost
1722671160000000000,SOLUSDT-PERP.BINANCE,entry,152.48,238.55,7.2748208
1722672960000000000,SOLUSDT-PERP.BINANCE,exit,151.12,238.55,7.2099352
1722682560000000000,XRPUSDT-PERP.BINANCE,entry,0.5674,66711.8,7.57045506
1722682560000000000,XRPUSDT-PERP.BINANCE,entry,0.5673,12095.8,1.37238947
1722685500000000000,XRPUSDT-PERP.BINANCE,exit,0.5705,78807.6,8.99194716
1722719340000000000,SOLUSDT-PERP.BINANCE,entry,141.62,205.55,5.8219982
1722721140000000000,SOLUSDT-PERP.BINANCE,exit,143.02,205.55,24.48004637
1722726780000000000,SOLUSDT-PERP.BINANCE,entry,142.93,590.86,16.89032396
1722727140000000000,SOLUSDT-PERP.BINANCE,exit,143.29,590.86,82.92316539
1722768540000000000,ETHUSDT-PERP.BINANCE,entry,2909.6,32.709,19.03402128
1722769200000000000,ETHUSDT-PERP.BINANCE,exit,2914.96,32.709,88.30486231
1722777780000000000,SOLUSDT-PERP.BINANCE,entry,144.39,359.29,10.37557662
1722780540000000000,SOLUSDT-PERP.BINANCE,exit,143.03,359.29,10.27784974
1722837060000000000,ETHUSDT-PERP.BINANCE,entry,2339.6,6.365,2.9783108
1722838800000000000,ETHUSDT-PERP.BINANCE,exit,2260.4,6.365,2.8774892
1722915720000000000,BTCUSDT-PERP.BINANCE,entry,55638.4,1.108,12.32946944
1722917040000000000,BTCUSDT-PERP.BINANCE,exit,55404.8,1.108,46.39826335
1722975960000000000,SOLUSDT-PERP.BINANCE,entry,145.93,287.7,8.3968122
1722976680000000000,SOLUSDT-PERP.BINANCE,exit,147.73,287.7,8.5003842
1722989100000000000,BTCUSDT-PERP.BINANCE,entry,56000.1,1.236,13.84322472
1722989520000000000,BTCUSDT-PERP.BINANCE,exit,55791.8,1.236,54.12617968
1723012440000000000,ETHUSDT-PERP.BINANCE,entry,2506.78,17.433,8.74013915
1723014180000000000,ETHUSDT-PERP.BINANCE,exit,2491.26,17.433,35.61625268
1723036740000000000,XRPUSDT-PERP.BINANCE,entry,0.5133,132312.8,13.58323205
1723037220000000000,XRPUSDT-PERP.BINANCE,exit,0.5116,132312.8,91.9195382
1723079100000000000,ETHUSDT-PERP.BINANCE,entry,2361.57,30.449,14.38148899
1723079580000000000,ETHUSDT-PERP.BINANCE,exit,2368.94,30.449,56.36084749
1723195260000000000,ETHUSDT-PERP.BINANCE,entry,2662.84,15.771,8.39912993
1723198860000000000,ETHUSDT-PERP.BINANCE,exit,2647.33,15.771,32.58093445
1723229940000000000,SOLUSDT-PERP.BINANCE,entry,153.35,288.66,8.8532022
1723231140000000000,SOLUSDT-PERP.BINANCE,exit,154.16,288.66,36.61479099
