symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,entry_kind,zone_kind,root_low,root_high,pool,shift,flow,delivery_minutes,first_leg_minutes,test_effort,test_progress_per_volume,parent_guard,rebound_ts,tip,tip_ts,origin_ts,defended_ts,relative_strength,market_direction,market_breadth,episode
BTCUSDT,-1,1722666840000000000,1722657600000000000,1722653100000000000,15.0,61680.1,61956.5,61380.9,1.0824891461649622,limit,OB,61680.1,61719.3,61956.4,61675.1,-0.03252770648846259,94,76,0.391199315673404,1.486657462093744,65534.3,1722661200000000000,61825.5,1722665820000000000,1722666780000000000,1722665340000000000,-0.1551625165372641,0.8843848810310642,0.75,94
BTCUSDT,-1,1722683460000000000,1722669300000000000,1722661200000000000,15.0,61790.1,61876.5,61420.299999999996,4.280092592592554,limit,FVG,61790.1,61819.8,61876.4,61780.0,-0.1342233791800187,116,136,1.140015610967569,0.9711726678358518,65534.3,1722676500000000000,61865.4,1722682680000000000,1722683280000000000,1722682260000000000,-0.3256493931987916,0.7392172964016009,1.0,94
BTCUSDT,1,1722914820000000000,1722908700000000000,1722906900000000000,15.0,55638.3,55404.9,56037.5,1.7103684661525047,limit,OB,55615.4,55638.3,55405.0,55710.0,-0.08295243112369555,42,31,0.492379499341686,1.311695580469705,52520.4,1722912300000000000,55437.0,1722914280000000000,1722914580000000000,1722914040000000000,0.06087442013253275,0.44862611225153826,1.0,122
BTCUSDT,1,1722977880000000000,1722972600000000000,1722969000000000000,15.0,56471.6,56159.5,56848.1,1.2063441204742127,limit,OB,56457.1,56471.6,56264.0,56480.0,-0.04771047165842357,73,61,1.0822397668430002,0.7599101691287593,54288.0,1722973500000000000,56159.6,1722977460000000000,1722977820000000000,1722977280000000000,-0.07058426000932085,-0.051010275211851905,0.25,135
BTCUSDT,1,1722988920000000000,1722984300000000000,1722983400000000000,15.0,56000.0,55791.9,56393.8,1.892359442575712,limit,OB,55991.2,56000.0,55919.0,56055.2,0.01759695677756845,47,16,0.4053360534682243,0.515136126330701,54288.0,1722986100000000000,55792.0,1722988440000000000,1722988800000000000,1722988140000000000,-0.20595225968988828,0.6323871832470285,1.0,139
BTCUSDT,1,1723016880000000000,1722999600000000000,1722998700000000000,15.0,56773.0,56456.3,57219.3,1.4092200820966436,limit,OB,56759.0,56773.0,56456.4,56893.4,-0.035829151884751,153,16,0.59768791141244,0.16933534714644102,54288.0,1723007700000000000,56510.0,1723015440000000000,1723016760000000000,1723014720000000000,-0.050524215121597216,1.3296391292983696,1.0,142
BTCUSDT,-1,1723076340000000000,1723073400000000000,1723069800000000000,15.0,55204.8,55408.2,54897.6,1.5103244837758758,limit,OB,55204.8,55236.0,55408.1,55180.0,-0.056294778665098244,34,61,1.0266344990804366,1.060186253685681,57454.0,1723074300000000000,55339.6,1723075800000000000,1723076280000000000,1723075680000000000,-0.1982944554949611,0.2580904365812725,0.75,152
BTCUSDT,-1,1723194780000000000,1723188600000000000,1723180500000000000,15.0,61134.6,61200.1,60574.1,8.557251908396946,limit,OB,61134.6,61183.3,61200.0,60979.5,-0.11667693361169529,58,136,0.9628742650233376,2.216743245494758,62737.2,1723191300000000000,61184.9,1723194600000000000,1723194540000000000,1723193880000000000,-0.26070559756158185,0.676315184304212,1.0,166
BTCUSDT,-1,1723206300000000000,1723203000000000000,1723199400000000000,15.0,60715.3,60775.1,60321.7,6.581939799331682,limit,FVG,60715.3,60716.0,60775.0,60515.1,0.046334067654494215,40,61,0.46621736977154654,2.6307344685742873,62737.2,1723203900000000000,60774.0,1723205940000000000,1723205940000000000,1723205460000000000,-0.02382186279975096,0.6490880872450607,1.0,169
BTCUSDT,-1,1723224480000000000,1723216500000000000,1723214700000000000,15.0,60365.2,60725.0,59706.0,1.8321289605336069,limit,OB,60365.2,60419.9,60553.2,60326.4,-0.11985967794842489,73,31,0.6310661721740541,0.6424657692494353,61200.0,1723220100000000000,60724.9,1723223760000000000,1723224360000000000,1723223520000000000,-0.003948683108307205,0.4877078791452717,0.75,172
