symbol,side,ts,entry,stop,target,episode,scale,source,root_ts,entry_kind,rr,nav_before,quantity,planned_risk_pct,entry_ts,exit_ts,nav_after,net_r,hold_minutes
BTCUSDT,1,1754784120000000000,116463.2,116382.4,116554.4,93,60.0,1754778300000000000,1754779800000000000,market,1.128712871287052,10000.0,1.017,2.997581171779019,1754784180000000000,1754785020000000000,9940.316480259999,-0.1989450658000047,14.0
ETHUSDT,1,1754792460000000000,4288.0,4265.99,4320.51,95,60.0,1754787300000000000,1754788800000000000,market,1.4770558836892274,9940.316480259999,10.456,2.9998579728487655,1754792520000000000,1754792700000000000,9643.44663506,-0.9955076909591298,3.0
SOLUSDT,1,1754799180000000000,184.85,184.3,185.69,98,60.0,1754796300000000000,1754797200000000000,market,1.5272727272727809,9643.44663506,334.48,2.9999332446940117,1754799240000000000,1754799720000000000,9854.22024667,0.7285556004554976,8.0
SOLUSDT,1,1754806020000000000,182.19,181.55,182.98,99,60.0,1754799900000000000,1754804100000000000,market,1.2343750000000584,9854.22024667,305.03,2.9999645314169423,1754806080000000000,1754806560000000000,9555.3198444,-1.0110740873383854,8.0
BTCUSDT,1,1754808240000000000,117900.0,117690.20000000001,118126.79999999999,100,60.0,1754804700000000000,1754805300000000000,market,1.0810295519541717,9555.3198444,0.712,2.998628461034381,1754808300000000000,1754809440000000000,9605.72278051,0.17582853297348766,19.0
ETHUSDT,-1,1754831700000000000,4194.73,4203.93,4181.35,103,60.0,1754828100000000000,1754828700000000000,market,1.4543478260867546,9605.72278051,18.458,2.9998720513609483,1754831760000000000,1754832720000000000,9777.87275362,0.5973868461666514,16.0
ETHUSDT,-1,1754842500000000000,4220.24,4227.84,4212.01,104,60.0,1754839500000000000,1754841000000000000,market,1.0828947368419959,9777.87275362,19.79,2.9999346388981136,1754842560000000000,1754842800000000000,9489.40301523,-0.9834100104006168,4.0
BTCUSDT,1,1754862180000000000,118221.0,118044.6,118428.8,106,60.0,1754859000000000000,1754860200000000000,market,1.1780045351472679,9489.40301523,0.753,2.9993568769753804,1754862240000000000,1754862540000000000,9557.69996775,0.23990603838262756,5.0
XRPUSDT,-1,1754872680000000000,3.1911,3.2063,3.1707,108,60.0,1754868300000000000,1754870400000000000,market,1.342105263157884,9557.69996775,13946.6,2.999993889750491,1754872740000000000,1754874780000000000,9265.31080448,-1.0197333537587265,34.0
ETHUSDT,1,1754883180000000000,4295.01,4281.99,4318.64,110,60.0,1754877900000000000,1754879700000000000,market,1.8149001536097087,9265.31080448,14.222,2.999946159179081,1754883240000000000,1754885160000000000,9542.41432724,0.9969211273013941,32.0
BTCUSDT,1,1754905500000000000,121432.8,121090.29999999999,121820.6,113,60.0,1754895300000000000,1754899800000000000,market,1.1322627737225457,9542.41432724,0.537,2.996277135380026,1754905560000000000,1754908740000000000,9251.621776569998,-1.0157895779753827,53.0
XRPUSDT,1,1754909460000000000,3.264,3.2489,3.2831,115,60.0,1754903400000000000,1754907600000000000,market,1.2649006622516579,9251.621776569998,13271.2,2.9999962467563406,1754909520000000000,1754910360000000000,8974.952710900001,-0.9968308704918827,14.0
SOLUSDT,-1,1754939040000000000,177.83,178.29,177.3,119,60.0,1754935500000000000,1754937300000000000,market,1.1521739130435937,8974.952710900001,341.93,2.999938489959171,1754939100000000000,1754939820000000000,9083.02462371,0.4013834066547872,12.0
BTCUSDT,-1,1754960640000000000,118852.90000000001,119000.1,118601.90000000001,120,60.0,1754957700000000000,1754958000000000000,market,1.7051630434780272,9083.02462371,0.814,2.9999808416540192,1754960700000000000,1754960880000000000,8787.225416579999,-1.0855385710682675,3.0
BTCUSDT,-1,1754980980000000000,118839.7,118983.0,118552.5,124,60.0,1754977500000000000,1754979000000000000,market,2.0041870202372034,8787.225416579999,0.797,2.9988833792638077,1754981040000000000,1754982360000000000,8568.36010494,-0.8302404959629861,22.0
XRPUSDT,-1,1754996160000000000,3.1257,3.1303,3.1126,125,60.0,1754993700000000000,1754994900000000000,market,2.8478260869565846,8568.36010494,23710.4,2.9999974011023935,1754996220000000000,1754996580000000000,8304.2608954,-1.0274202854279195,6.0
SOLUSDT,1,1755007440000000000,176.53,175.83,178.45,126,60.0,1755003300000000000,1755004200000000000,market,2.74285714285721,8304.2608954,249.5,2.999885538035246,1755007500000000000,1755009060000000000,8733.34131417,1.7223303561656393,26.0
ETHUSDT,1,1755037620000000000,4581.19,4561.07,4614.99,128,60.0,1755032100000000000,1755034500000000000,market,1.6799204771371952,8733.34131417,9.632,2.9997352461031865,1755037680000000000,1755042600000000000,9015.69909742,1.0777004779444876,82.0
BTCUSDT,1,1755050100000000000,119450.09999999999,119299.9,119615.2,131,60.0,1755042900000000000,1755047700000000000,market,1.099201065246195,9015.69909742,0.774,2.997950776361042,1755050160000000000,1755050580000000000,8729.957015380001,-1.0564611756758417,7.0
SOLUSDT,1,1755057780000000000,198.17,197.19,199.43,132,60.0,1755055800000000000,1755056100000000000,market,1.285714285714319,8729.957015380001,201.65,2.999975958592548,1755057840000000000,1755058680000000000,8940.74603896,0.8048494137624503,14.0
ETHUSDT,1,1755066720000000000,4626.18,4606.14,4649.11,133,60.0,1755063600000000000,1755064500000000000,market,1.1442115768462267,8940.74603896,9.933,2.999903464251312,1755066780000000000,1755067500000000000,8672.65728708,-0.9995017966501634,12.0
XRPUSDT,1,1755085440000000000,3.2852,3.2745,3.2977,134,60.0,1755081600000000000,1755083100000000000,market,1.1682242990653546,8672.65728708,15189.4,2.999986658695882,1755085500000000000,1755089580000000000,8417.42980782,-0.9809660822956794,68.0
BTCUSDT,1,1755111480000000000,121641.6,121363.5,121922.9,140,60.0,1755108300000000000,1755108900000000000,market,1.0115066522832883,8417.42980782,0.543,2.998581658687505,1755111540000000000,1755112260000000000,8534.02888698,0.46173666555427617,12.0
BTCUSDT,1,1755147960000000000,123183.3,123039.4,123446.00000000001,142,60.0,1755141000000000000,1755145200000000000,market,1.8255733148018147,8534.02888698,0.753,2.9973303047670186,1755148020000000000,1755148320000000000,8302.38000452,-0.904804696303981,5.0
ETHUSDT,1,1755161940000000000,4726.56,4720.22,4742.46,145,60.0,1755158400000000000,1755159900000000000,market,2.5078864353307555,8302.38000452,17.82,2.9999794518829406,1755162000000000000,1755162300000000000,8051.351633820001,-1.0078570665412994,5.0
ETHUSDT,-1,1755180480000000000,4580.32,4637.87,4507.01,149,60.0,1755177000000000000,1755177600000000000,market,1.2738488271068507,8051.351633820001,3.761,2.9994118865877097,1755180540000000000,1755181680000000000,7809.80253027,-1.0000354165602263,19.0
BTCUSDT,-1,1755192960000000000,117895.6,118093.1,117437.90000000001,151,60.0,1755189300000000000,1755190500000000000,market,2.317468354430365,7809.80253027,0.609,2.9971525471432585,1755193020000000000,1755195780000000000,7995.64068198,0.7931833145576144,46.0
SOLUSDT,-1,1755199860000000000,194.28,194.77,193.32,153,60.0,1755195900000000000,1755197100000000000,market,1.9591836734694812,7995.64068198,288.89,2.9999071000128685,1755199920000000000,1755200220000000000,7752.2766080599995,-1.0145698287337876,5.0
BTCUSDT,-1,1755206640000000000,117970.20000000001,118151.5,117692.4,155,60.0,1755202500000000000,1755203400000000000,market,1.5322669608383006,7752.2766080599995,0.639,2.9955757145601383,1755206700000000000,1755206760000000000,7764.000788699999,0.05041177464268909,1.0
BTCUSDT,-1,1755212640000000000,118187.9,118300.1,118053.6,156,60.0,1755207900000000000,1755210900000000000,market,1.196969696969469,7764.000788699999,0.702,2.997727963312328,1755212700000000000,1755213120000000000,7543.03151536,-0.9486916146874729,7.0
SOLUSDT,-1,1755239760000000000,197.14,197.75,196.26,158,60.0,1755235500000000000,1755238200000000000,market,1.4426229508196324,7543.03151536,241.34,2.999905870531239,1755239820000000000,1755240540000000000,7312.93552825,-1.0168148205905985,12.0
BTCUSDT,1,1755251400000000000,118734.9,118633.6,118846.00000000001,161,60.0,1755249000000000000,1755250200000000000,market,1.0967423494570843,7312.93552825,0.724,2.996575558777716,1755251460000000000,1755251760000000000,7057.52438272,-1.1641979910955613,5.0
XRPUSDT,1,1755257880000000000,3.1045,3.0952,3.1148,162,60.0,1755253500000000000,1755255300000000000,market,1.1075268817204174,7057.52438272,13811.9,2.999997089213956,1755257940000000000,1755258540000000000,7147.40260572,0.4245030699436307,10.0
XRPUSDT,1,1755268740000000000,3.0802,3.0666,3.0992,163,60.0,1755263400000000000,1755266100000000000,market,1.39705882352936,7147.40260572,11430.7,2.9999918609505727,1755268800000000000,1755269160000000000,6932.60372953,-1.0017572724861776,6.0
XRPUSDT,-1,1755285720000000000,3.0773,3.0933,3.0538,165,60.0,1755283800000000000,1755284400000000000,market,1.4687499999999896,6932.60372953,9866.6,2.999978034470263,1755285780000000000,1755289260000000000,7131.97578935,0.9586203952528368,58.0
BTCUSDT,-1,1755308520000000000,117718.7,117814.5,117578.5,168,60.0,1755300300000000000,1755305700000000000,market,1.4634655532358334,7131.97578935,0.751,2.9976052980630876,1755308580000000000,1755308940000000000,6876.50080321,-1.1940355832460634,6.0
BTCUSDT,-1,1755334320000000000,117579.1,117632.9,117446.9,172,60.0,1755329100000000000,1755330900000000000,market,2.457249070631783,6876.50080321,0.713,2.9987249584744835,1755334380000000000,1755335280000000000,6668.61589223,-1.0077068600692871,15.0
SOLUSDT,1,1755346560000000000,186.1,185.27,187.22,173,60.0,1755336600000000000,1755338700000000000,market,1.3493975903614772,6668.61589223,176.15,2.9999893921337164,1755346620000000000,1755347220000000000,6465.16436179,-1.0169603094451918,10.0
ETHUSDT,-1,1755351600000000000,4406.04,4426.75,4382.82,175,60.0,1755347400000000000,1755347700000000000,market,1.1211974891356498,6465.16436179,7.066,2.9998567913645005,1755351660000000000,1755352080000000000,6599.19075919,0.6910182525913466,7.0
ETHUSDT,-1,1755356640000000000,4409.36,4417.28,4390.66,178,60.0,1755352200000000000,1755354600000000000,market,2.3611111111107954,6599.19075919,13.489,2.999989409624438,1755356700000000000,1755358860000000000,6793.85916564,0.9832943338742295,36.0
