symbol,side,ts,root_ts,source,scale,entry,stop,target,rr,root_low,root_high,entry_kind,pool,shift,delivery_minutes,flow,accepted_pools,rejected_pools,shift_ts,origin_ts,contact_ts,prior_plan_ts,aggressor_vwap,response_minutes,response_flow,relative_strength,market_direction,market_breadth,episode
BTCUSDT,-1,1739344920000000000,1739325000000000000,1739322900000000000,15.0,95930.6,96230.1,95050.0,2.9402337228714717,95968.8,95975.6,market,96128.0,95765.5,90,0.17670092364576018,1,1,1739328900000000000,1739328300000000000,1739344800000000000,1739330100000000000,95962.61803751333,3.0,-0.3266067593670141,0.28336701212015186,-0.6994900447561528,0.0,118
ETHUSDT,-1,1739159160000000000,1739146200000000000,1739134800000000000,60.0,2634.48,2657.7400000000002,2556.91,3.3349097162510506,2613.83,2615.58,market,2649.8,2606.2,105,0.18460606246818534,0,0,1739151900000000000,1739151300000000000,1739158080000000000,1739152200000000000,2634.915565849285,19.0,-0.0003665233603462603,0.5807696778262392,-1.9196330413760636,0.0,96
ETHUSDT,-1,1739175180000000000,1739166900000000000,1739149200000000000,60.0,2646.16,2659.9300000000003,2625.08,1.5308641975308104,2644.99,2650.2,market,2657.73,2630.07,30,0.09916168551259641,0,0,1739167800000000000,1739166900000000000,1739174880000000000,1739168400000000000,2647.3360328314398,6.0,-0.17066864125843018,0.3694739386936341,-1.4357383222127145,0.0,98
ETHUSDT,1,1739198400000000000,1739186400000000000,1739184300000000000,15.0,2648.88,2629.99,2685.65,1.9465325569083824,2644.16,2646.81,market,2638.51,2659.67,170,0.009625245951611072,4,2,1739195400000000000,1739194800000000000,1739198280000000000,1739196300000000000,2646.805228094515,3.0,-0.1695913860685052,-0.11441659595742837,-1.1461393494604897,0.0,99
ETHUSDT,1,1739241360000000000,1739217000000000000,1739212200000000000,15.0,2669.37,2650.0899999999997,2724.49,2.8589211618256907,2667.86,2668.38,market,2668.68,2690.66,300,0.05313479641729013,3,0,1739234400000000000,1739233500000000000,1739241180000000000,1739234700000000000,2667.7299762861508,4.0,-0.0318585860903835,0.07568955506137875,-1.3305503680945248,0.0,104
ETHUSDT,-1,1739316780000000000,1739309100000000000,1739306700000000000,15.0,2606.47,2630.7000000000003,2552.88,2.21172100701604,2605.14,2611.2,market,2611.44,2591.52,105,0.0369474878129844,0,3,1739314800000000000,1739314200000000000,1739316240000000000,1739315100000000000,2606.7919357198725,10.0,-0.08681088060535047,-0.05740054209187345,-0.35934594157397637,0.0,116
ETHUSDT,-1,1739321520000000000,1739319600000000000,1739317500000000000,15.0,2605.7,2613.88,2588.01,2.162591687041439,2604.67,2608.44,market,2610.89,2594.56,30,0.09812790609382027,0,0,1739320800000000000,1739320500000000000,1739321340000000000,1739321100000000000,2606.089631059251,4.0,-0.09881904549680987,0.3508654592460819,-0.34038390973507304,0.25,118
ETHUSDT,-1,1739340000000000000,1739325000000000000,1739322000000000000,15.0,2607.69,2623.4100000000003,2566.9,2.5947837150126785,2608.94,2611.96,market,2616.24,2598.7,95,0.06340274568997672,1,0,1739329200000000000,1739328000000000000,1739339760000000000,1739330400000000000,2608.135881750104,5.0,-0.2703524515239828,-0.3398014503187698,-0.4910843701185575,0.0,118
ETHUSDT,-1,1739677980000000000,1739665200000000000,1739663100000000000,15.0,2695.92,2705.01,2686.0,1.0913091309130818,2697.09,2697.14,market,2697.0,2688.4,165,0.05705285449935027,0,1,1739674500000000000,1739673000000000000,1739677860000000000,1739674800000000000,2697.3448831615015,3.0,-0.011148061838209378,-0.413677841571374,-1.2371938405944936,0.0,170
SOLUSDT,1,1739199060000000000,1739184300000000000,1739180700000000000,15.0,204.34,202.33,208.9,2.268656716417922,203.43,203.97,market,203.61,205.25,205,0.02012130105323684,3,2,1739195400000000000,1739194800000000000,1739198880000000000,1739196300000000000,203.9480662046122,4.0,-0.15331091546752484,-0.332496766831051,-1.754681435856722,0.0,98
SOLUSDT,-1,1739249400000000000,1739237400000000000,1739214900000000000,15.0,203.32,204.57,200.26,2.4480000000000017,203.86,203.98,market,203.32,201.6,85,0.13728794210079898,0,0,1739241300000000000,1739238600000000000,1739249280000000000,1739242200000000000,203.58805401709992,3.0,-0.038817670220608,-0.055652663196439245,-0.8529785240248273,0.0,106
XRPUSDT,1,1739199060000000000,1739184300000000000,1739180700000000000,15.0,2.4254,2.4038999999999997,2.472,2.167441860465118,2.4169,2.4204,market,2.4239,2.4408,205,-0.008161416912419561,0,2,1739195400000000000,1739194800000000000,1739198880000000000,1739196300000000000,2.420363570102478,4.0,-0.19789256798744892,0.26046084580962003,-1.754681435856722,0.0,98
XRPUSDT,1,1739688360000000000,1739674200000000000,1739672100000000000,15.0,2.7821,2.7653,2.8049,1.3571428571428723,2.7794,2.7836,market,2.7734,2.7925,190,-0.03647082077664632,0,2,1739684700000000000,1739683200000000000,1739687880000000000,1739685300000000000,2.7809175322463893,9.0,-0.055430006173421975,0.5089478358792465,-0.8403757282970832,0.0,171
