plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,rejection,scale,higher_direction,context_location,impulse_progress,impulse_efficiency,impulse_pressure,return_depth,return_pressure,return_effort,response_progress,response_pressure,peer_progress,source_penetration,source_distance,risk_range,cost_r,planned_rr,label_closed,label_net_r,label_win,label_target,label_hold,label_ambiguous,month,forecast,utility
BTCUSDT:CONTROL:15:1724457600000000000:-1:1724461680000000000,BTCUSDT:CONTROL:15:1724457600000000000:-1,BTCUSDT,1,1724461680000000000,1724459580000000000,63832.6,63809.9,64094.200000000004,11.524229074891602,63810.0,15,15:1724457600000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,63842.9,63867.7,64094.3,63812.4,REJECTED_CONTROL_RETURN,1.0,0.0,1.0,-0.8410130144213978,0.4409388226241061,0.5360149672591771,-0.07498797965187479,0.9201828410689277,-0.35751473869543104,1.784152033163166,0.10388611004232338,-0.041666666666666505,-2.4932378679395177,0.0,0.1739130434782487,0.17468257021929176,3.373810572687657,11.524229074891602,1724462340000000000,-0.9395918068405458,0,0,11.0,False,2024-08,0.5,-2.373810572687657
XRPUSDT:CONTROL:15:1724443200000000000:-1:1724462940000000000,XRPUSDT:CONTROL:15:1724443200000000000:-1,XRPUSDT,1,1724462940000000000,1724446020000000000,0.6069,0.605,0.6156,4.578947368421043,0.6058,15,15:1724443200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.6072,0.6073,0.6157,0.6065,REJECTED_CONTROL_RETURN,1.0,1.584962500721156,0.0,-0.5999999999999873,0.9268292682926909,0.8636363636363774,-0.04647429705747538,0.8224299065420556,0.14353293777484377,0.712448566641145,0.19512195121949105,0.8692338776866365,-0.26900584795315596,0.3414634146341635,0.5365853658536546,0.9268292682926909,0.3827052631578921,4.578947368421043,1724463360000000000,-0.9774204823221684,0,0,7.0,False,2024-08,0.5,0.6172947368421079
BTCUSDT:CONTROL:15:1724460300000000000:-1:1724464560000000000,BTCUSDT:CONTROL:15:1724460300000000000:-1,BTCUSDT,-1,1724464560000000000,1724462340000000000,63791.3,63927.7,63600.1,1.4017595307918806,63810.0,15,15:1724460300000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,63790.0,63828.0,63826.1,63600.0,ACCEPTED_CONTROL_RETURN,0.0,0.0,-1.0,0.00829445308449217,1.4832643851072078,1.0010152284263811,0.2309985831574194,0.5837656393042557,-0.32388427625627,1.336413100814709,0.03309514855204329,0.04175067204301074,-1.0909090909090817,0.9928544565626121,0.14065438134634817,1.0259496051146553,0.5618137829912263,1.4017595307918806,1724465880000000000,-0.9709260846323081,0,0,22.0,False,2024-08,0.5,0.4381862170087737
BTCUSDT:CONTROL:15:1724469300000000000:1:1724477580000000000,BTCUSDT:CONTROL:15:1724469300000000000:1,BTCUSDT,1,1724477580000000000,1724476980000000000,63944.0,63922.6,63969.9,1.2102803738317613,63962.5,15,15:1724469300000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,63935.9,63950.0,63970.0,63939.0,ACCEPTED_CONTROL_RETURN,0.0,0.0,1.0,0.34921557234165634,0.23720552396422184,0.3411214953271036,0.27488222734200285,0.548523206751038,-0.6045047677229142,0.7057736252982981,0.081234768480906,-0.17896426379644056,0.38230647709322285,0.6092607636067949,-0.30056864337935213,0.3476848090983013,3.5850448598128404,1.2102803738317613,1724477700000000000,-0.9388179870210948,0,0,2.0,False,2024-08,0.5,-2.5850448598128404
SOLUSDT:CONTROL:60:1724468400000000000:1:1724477880000000000,SOLUSDT:CONTROL:60:1724468400000000000:1,SOLUSDT,1,1724477880000000000,1724476800000000000,154.293,153.894,155.345,2.636591478696717,154.635,60,60:1724468400000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,154.222,154.406,155.355,154.13,ACCEPTED_CONTROL_RETURN,0.0,0.0,0.0,-0.0494071146244891,3.8623188405797717,0.9944029850746267,0.2924755748336562,0.7268993839835693,-0.20031923383878691,0.6059935094331678,0.239130434782621,-0.06557838446383338,-0.680672268907563,2.532608695652253,-1.2391304347825696,1.4456521739130663,0.4634390977443598,2.636591478696717,1724490000000000000,1.5436700833881989,1,1,202.0,False,2024-08,0.5,0.5365609022556401
BTCUSDT:CONTROL:15:1724458500000000000:1:1724483400000000000,BTCUSDT:CONTROL:15:1724458500000000000:1,BTCUSDT,-1,1724483400000000000,1724481720000000000,64157.5,64266.1,64018.299999999996,1.2817679558011623,64168.0,15,15:1724458500000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,64129.4,64160.5,64182.0,64018.2,REJECTED_CONTROL_RETURN,1.0,0.0,-1.0,-0.42939784380752477,1.5349264705881942,0.5734890109890167,0.028759795096132548,0.5619201290843167,-0.15791766924627687,0.40679716609702626,0.4136029411764595,0.5263171588395993,-0.5813586097946815,1.801470588235246,0.1930147058823478,1.9963235294116846,0.7095226519337111,1.2817679558011623,1724486100000000000,-0.9665968262806096,0,0,45.0,False,2024-08,0.5,0.2904773480662889
XRPUSDT:CONTROL:15:1724461200000000000:1:1724483940000000000,XRPUSDT:CONTROL:15:1724461200000000000:1,XRPUSDT,1,1724483940000000000,1724479860000000000,0.6094,0.6073000000000001,0.6124,1.4285714285714362,0.6097,15,15:1724461200000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.6086,0.6098,0.6125,0.6093,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,0.0,-0.8666666666666074,1.2941176470588274,0.5789473684210434,0.1775720782673701,0.5961538461538466,-0.46428682715934677,1.7701148526258563,0.05882352941182425,0.1971110002185079,0.2148499210110092,1.6470588235294463,-0.17647058823527684,1.2352941176470684,0.34762857142857295,1.4285714285714362,1724488320000000000,-0.9949078295790887,0,0,73.0,False,2024-08,0.5,0.652371428571427
ETHUSDT:CONTROL:15:1724466600000000000:1:1724484180000000000,ETHUSDT:CONTROL:15:1724466600000000000:1,ETHUSDT,-1,1724484180000000000,1724481720000000000,2759.72,2764.21,2753.3500000000004,1.4187082405343208,2760.18,15,15:1724466600000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2759.6,2760.86,2761.27,2753.34,REJECTED_CONTROL_RETURN,1.0,0.0,-0.0,-0.1749539594843179,1.36497545008193,0.6233183856501876,0.024618055417653457,0.5869365225390726,-0.41668304945242185,0.8417497719651507,0.35024549918174175,-0.07711554922306214,-0.3468634686346635,1.3158756137480188,0.15057283142391523,1.4697217675942642,0.7381643652560859,1.4187082405343208,1724489340000000000,-0.9625363679164893,0,0,86.0,False,2024-08,0.5,0.26183563474391414
BTCUSDT:CONTROL:15:1724481900000000000:1:1724489400000000000,BTCUSDT:CONTROL:15:1724481900000000000:1,BTCUSDT,-1,1724489400000000000,1724486100000000000,64218.9,64299.0,64109.1,1.3707865168539939,64266.0,15,15:1724481900000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,64230.3,64269.3,64240.1,64109.0,REJECTED_CONTROL_RETURN,1.0,1.584962500721156,-1.0,-0.1574512901527183,0.497524752475261,0.5075757575757621,-0.004447385677446854,0.5784210526315866,-0.13292275912037432,1.3048179005764904,0.03155940594058534,-0.13292275912037432,-1.6856581532414985,0.20358910891090193,0.29146039603959756,0.4956683168316786,0.9626808988764219,1.3707865168539939,1724489820000000000,-0.9607542456843761,0,0,7.0,False,2024-08,0.5,0.03731910112357806
ETHUSDT:CONTROL:15:1724481900000000000:1:1724491260000000000,ETHUSDT:CONTROL:15:1724481900000000000:1,ETHUSDT,1,1724491260000000000,1724489340000000000,2768.94,2759.5,2785.77,1.7828389830508296,2764.2,15,15:1724481900000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2764.06,2768.35,2785.78,2767.74,ACCEPTED_CONTROL_RETURN,0.0,0.0,0.0,-0.09279688513952344,2.7280701754385173,0.704150943396221,0.2588333527977594,0.6407914764079155,-0.15803117323483273,0.3292297927421978,0.34795321637427756,0.23398860937384422,-0.2857142857144443,4.532163742689962,1.3859649122807414,2.760233918128612,0.35138389830508276,1.7828389830508296,1724499960000000000,-0.9787559904673836,0,0,145.0,False,2024-08,0.5,0.6486161016949172
