plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,rejection,scale,higher_direction,context_location,impulse_progress,impulse_efficiency,impulse_pressure,return_depth,return_pressure,return_effort,response_progress,response_pressure,peer_progress,source_penetration,source_distance,risk_range,cost_r,planned_rr,nav_before,score,position_id,opened,closed,entry_fill,exit_fill,quantity,pnl_ex_funding,holding_minutes,evaluation_censored,funding,pnl,net_r,probability
XRPUSDT:CONTROL:15:1724443200000000000:-1:1724462940000000000,XRPUSDT:CONTROL:15:1724443200000000000:-1,XRPUSDT,1,1724462940000000000,1724446020000000000,0.6069,0.605,0.6156,4.578947368421043,0.6058,15,15:1724443200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.6072,0.6073,0.6157,0.6065,REJECTED_CONTROL_RETURN,1.0,1.584962500721156,0.0,-0.5999999999999873,0.9268292682926909,0.8636363636363774,-0.04647429705747538,0.8224299065420556,0.14353293777484377,0.712448566641145,0.19512195121949105,0.8692338776866365,-0.26900584795315596,0.3414634146341635,0.5365853658536546,0.9268292682926909,0.3827052631578921,4.578947368421043,100000.0,0.6172947368421079,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724462940000000000,1724463360000000000,0.6072,0.6047,974379.4999999999,-3026.37400803,7.0,False,0.0,-3026.37400803,-1.00879133601,0.5
SOLUSDT:CONTROL:60:1724468400000000000:1:1724477880000000000,SOLUSDT:CONTROL:60:1724468400000000000:1,SOLUSDT,1,1724477880000000000,1724476800000000000,154.293,153.894,155.345,2.636591478696717,154.635,60,60:1724468400000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,154.222,154.406,155.355,154.13,ACCEPTED_CONTROL_RETURN,0.0,0.0,0.0,-0.0494071146244891,3.8623188405797717,0.9944029850746267,0.2924755748336562,0.7268993839835693,-0.20031923383878691,0.6059935094331678,0.239130434782621,-0.06557838446383338,-0.680672268907563,2.532608695652253,-1.2391304347825696,1.4456521739130663,0.4634390977443598,2.636591478696717,96973.62599197001,0.5365609022556401,SOLUSDT-PERP.BINANCE-AccountStrategy-000,1724477880000000000,1724489940000000000,154.32,155.34,4614.49,4207.36277628,201.0,False,-14.590750048700995,4192.772026231299,1.4412069891314176,0.5
BTCUSDT:CONTROL:60:1724508000000000000:1:1724518020000000000,BTCUSDT:CONTROL:60:1724508000000000000:1,BTCUSDT,1,1724518020000000000,1724516940000000000,64146.5,64012.8,64399.9,1.8952879581152353,64222.0,60,60:1724508000000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,64097.1,64165.6,64400.0,64117.0,ACCEPTED_CONTROL_RETURN,0.0,0.0,0.0,0.02499999999999991,2.778658976207659,0.9826619071901651,0.21064862145798052,0.6547004132231454,-0.2167234906154235,0.8760652537397221,0.1802451333814025,0.2483307029258226,0.1363636363636226,1.5962509012256585,-1.088680605623671,1.927901946647439,0.5751352281226751,1.8952879581152353,101166.3980182,0.42486477187732485,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724518020000000000,1724522280000000000,64155.80000000001,63998.3,13.626,-3019.2088833000003,71.0,False,0.0,-3019.2088833000003,-0.9947996378391832,0.5
XRPUSDT:CONTROL:15:1724525100000000000:1:1724532480000000000,XRPUSDT:CONTROL:15:1724525100000000000:1,XRPUSDT,1,1724532480000000000,1724530260000000000,0.6207,0.6189,0.6242,1.9444444444443896,0.6224,15,15:1724525100000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.6194,0.6202,0.6243,0.6199,ACCEPTED_CONTROL_RETURN,0.0,1.584962500721156,1.0,-0.3584905660377192,1.392857142857191,0.709090909090904,0.3405670677616791,0.6666666666666599,0.20306133922641526,1.2310228177820417,0.21428571428573695,0.49116253036962343,-1.245674740484429,0.678571428571454,-0.6071428571428487,0.6428571428571712,0.4131999999999945,1.9444444444443896,98147.1891349,0.5868000000000055,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724532480000000000,1724533320000000000,0.621,0.6186,957842.7,-2892.49338546,14.0,False,0.0,-2892.49338546,-0.9823658428921366,0.5
BTCUSDT:CONTROL:60:1724515200000000000:-1:1724535960000000000,BTCUSDT:CONTROL:60:1724515200000000000:-1,BTCUSDT,-1,1724535960000000000,1724535420000000000,63881.9,64025.0,63701.4,1.2613556953179723,63828.0,60,60:1724515200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,63928.1,64015.3,63944.7,63701.3,ACCEPTED_CONTROL_RETURN,0.0,0.0,-0.0,0.22771007055805148,2.186973180076462,0.4500157678965452,0.16304680723472156,0.5579240037071368,0.05620225098209338,0.35546512748573084,0.7019157088121545,0.05620225098209338,2.0519480519481,1.9417624521071268,-0.8260536398467195,2.1931034482757177,0.536297274633129,1.2613556953179723,95254.69574944001,0.46370272536687096,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724535960000000000,1724536560000000000,63872.3,63701.40000000001,12.282,1550.27788674,10.0,False,0.0,1550.27788674,0.5425026992257628,0.5
ETHUSDT:CONTROL:15:1724544000000000000:-1:1724548380000000000,ETHUSDT:CONTROL:15:1724544000000000000:-1,ETHUSDT,1,1724548380000000000,1724547300000000000,2757.49,2751.47,2764.93,1.235880398671109,2753.45,15,15:1724544000000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2757.97,2759.56,2764.94,2755.36,REJECTED_CONTROL_RETURN,1.0,0.0,-1.0,-0.6140012845215294,0.6071118820468238,0.6108202443280958,0.20174297686192544,0.5530809205642265,-0.11503122293088731,0.5493039826535049,0.33998265394614874,-0.008554693665862473,0.8657921291624542,0.34171725932346325,0.700780572419756,1.0442324371205338,0.5490657807308985,1.235880398671109,96804.97363618,0.4509342192691015,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724548380000000000,1724548860000000000,2758.05,2764.93,285.526,1412.77950721,8.0,False,0.0,1412.77950721,0.4864693256084197,0.5
XRPUSDT:CONTROL:15:1724547600000000000:-1:1724551200000000000,XRPUSDT:CONTROL:15:1724547600000000000:-1,XRPUSDT,-1,1724551200000000000,1724549520000000000,0.6073,0.6099,0.6038,1.3461538461538018,0.6076,15,15:1724547600000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.6076,0.6085,0.6078,0.6037,ACCEPTED_CONTROL_RETURN,0.0,0.0,1.0,0.027027027027039185,3.071428571428523,1.0238095238095213,0.20015858438780104,0.580645161290314,-0.18459155207658526,0.3830962429042427,0.2142857142857681,0.0719241608188715,-0.8245770258237046,1.7857142857143111,0.2142857142857681,1.857142857142874,0.28089230769230267,1.3461538461538018,98217.75314339,0.7191076923076973,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724551200000000000,1724569440000000000,0.6071,0.6038,809270.9,2327.2122344199997,304.0,False,0.0,2327.2122344199997,0.7898138438789362,0.5
XRPUSDT:CONTROL:15:1724435100000000000:-1:1724570820000000000,XRPUSDT:CONTROL:15:1724435100000000000:-1,XRPUSDT,-1,1724570820000000000,1724569980000000000,0.601,0.6031,0.5986,1.1428571428571277,0.5996,15,15:1724435100000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.6002,0.6015,0.6018,0.5985,ACCEPTED_CONTROL_RETURN,0.0,0.0,1.0,0.35064935064935854,3.4545454545455097,1.0,0.24271282565576185,0.543478260869561,-0.04436935943695521,0.5968965439161121,0.4545454545455096,0.3256959055494826,-1.4457429048414308,0.7272727272727548,-1.2727272727272452,1.9090909090909183,0.34402857142857285,1.1428571428571277,100544.96537781,0.6559714285714271,XRPUSDT-PERP.BINANCE-AccountStrategy-000,1724570820000000000,1724571480000000000,0.6008,0.5986,977581.7000000001,1739.9781162,11.0,False,0.0,1739.9781162,0.5768490776446205,0.5
BTCUSDT:CONTROL:15:1724597100000000000:1:1724611560000000000,BTCUSDT:CONTROL:15:1724597100000000000:1,BTCUSDT,-1,1724611560000000000,1724599740000000000,64190.0,64270.1,63950.1,2.995006242197326,64237.7,15,15:1724597100000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,64191.0,64208.7,64222.9,63950.0,REJECTED_CONTROL_RETURN,1.0,0.0,-0.0,-0.6111707841031402,2.1926851025870304,0.7763739734681292,0.21104851797921104,0.7497656982193098,-0.18110150963040075,0.9272162737509272,0.5851917930419863,0.7087592660629768,-1.6666666666667078,0.5762711864407374,0.8510258697591028,1.429081177520064,0.9622479400749239,2.995006242197326,102284.94349401,0.03775205992507613,BTCUSDT-PERP.BINANCE-AccountStrategy-000,1724611560000000000,1724620140000000000,64176.5,64285.9,17.259,-2996.7008808,143.0,False,0.0,-2996.7008808,-0.97658585856138,0.5
ETHUSDT:CONTROL:15:1724650200000000000:-1:1724653320000000000,ETHUSDT:CONTROL:15:1724650200000000000:-1,ETHUSDT,-1,1724653320000000000,1724652660000000000,2737.4,2741.92,2732.01,1.1924778761061714,2739.13,15,15:1724650200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2735.54,2739.5,2738.61,2732.0,ACCEPTED_CONTROL_RETURN,0.0,0.0,-0.0,0.3211816467630245,2.002853067047138,0.8087557603687191,0.06511810410923236,0.5443548387096826,-0.28693460897791817,0.7419216710818402,0.16833095577737822,-0.09207057600358351,0.5359661495063381,2.034236804565007,0.49358059914410174,1.2895863052782124,0.7273433628318613,1.1924778761061714,99288.24261321001,0.2726566371681387,ETHUSDT-PERP.BINANCE-AccountStrategy-000,1724653320000000000,1724654100000000000,2736.85,2742.57,344.837,-2917.22101728,13.0,False,0.0,-2917.22101728,-0.9793777995931859,0.5
