plan_id,causal_event_id,symbol,side,observed_time_ns,interaction_time_ns,entry,stop,target,gross_rr,source_level,source_scale,source_id,target_kind,zone_low,zone_high,departure_high,departure_low,family,rejection,scale,higher_direction,context_location,impulse_progress,impulse_efficiency,impulse_pressure,return_depth,return_pressure,return_effort,response_progress,response_pressure,peer_progress,source_penetration,source_distance,risk_range,cost_r,planned_rr,label_closed,label_net_r,label_win,label_target,label_hold,label_ambiguous,month,forecast,utility
BTCUSDT:CONTROL:15:1724457600000000000:-1:1724461680000000000,BTCUSDT:CONTROL:15:1724457600000000000:-1,BTCUSDT,1,1724461680000000000,1724459580000000000,63832.6,63809.9,64094.200000000004,11.524229074891602,63810.0,15,15:1724457600000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,63842.9,63867.7,64094.3,63812.4,REJECTED_CONTROL_RETURN,1.0,0.0,1.0,-0.8410130144213978,0.4409388226241061,0.5360149672591771,-0.07498797965187479,0.9201828410689277,-0.35751473869543104,1.784152033163166,0.10388611004232338,-0.041666666666666505,-2.4932378679395177,0.0,0.1739130434782487,0.17468257021929176,3.373810572687657,11.524229074891602,1724462340000000000,-0.9395918068405458,0,0,11.0,False,2024-08,0.06053394260676472,-0.025102075346194398
XRPUSDT:CONTROL:15:1724443200000000000:-1:1724462940000000000,XRPUSDT:CONTROL:15:1724443200000000000:-1,XRPUSDT,1,1724462940000000000,1724446020000000000,0.6069,0.605,0.6156,4.578947368421043,0.6058,15,15:1724443200000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,0.6072,0.6073,0.6157,0.6065,REJECTED_CONTROL_RETURN,1.0,1.584962500721156,0.0,-0.5999999999999873,0.9268292682926909,0.8636363636363774,-0.04647429705747538,0.8224299065420556,0.14353293777484377,0.712448566641145,0.19512195121949105,0.8692338776866365,-0.26900584795315596,0.3414634146341635,0.5365853658536546,0.9268292682926909,0.3827052631578921,4.578947368421043,1724463360000000000,-0.9774204823221684,0,0,7.0,False,2024-08,0.2938142573885255,0.0042589788022627875
BTCUSDT:CONTROL:15:1724460300000000000:-1:1724464560000000000,BTCUSDT:CONTROL:15:1724460300000000000:-1,BTCUSDT,-1,1724464560000000000,1724462340000000000,63791.3,63927.7,63600.1,1.4017595307918806,63810.0,15,15:1724460300000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,63790.0,63828.0,63826.1,63600.0,ACCEPTED_CONTROL_RETURN,0.0,0.0,-1.0,0.00829445308449217,1.4832643851072078,1.0010152284263811,0.2309985831574194,0.5837656393042557,-0.32388427625627,1.336413100814709,0.03309514855204329,0.04175067204301074,-1.0909090909090817,0.9928544565626121,0.14065438134634817,1.0259496051146553,0.5618137829912263,1.4017595307918806,1724465880000000000,-0.9709260846323081,0,0,22.0,False,2024-08,0.41673158750087097,-0.009852473501036787
BTCUSDT:CONTROL:15:1724458500000000000:1:1724483400000000000,BTCUSDT:CONTROL:15:1724458500000000000:1,BTCUSDT,-1,1724483400000000000,1724481720000000000,64157.5,64266.1,64018.299999999996,1.2817679558011623,64168.0,15,15:1724458500000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,64129.4,64160.5,64182.0,64018.2,REJECTED_CONTROL_RETURN,1.0,0.0,-1.0,-0.42939784380752477,1.5349264705881942,0.5734890109890167,0.028759795096132548,0.5619201290843167,-0.15791766924627687,0.40679716609702626,0.4136029411764595,0.5263171588395993,-0.5813586097946815,1.801470588235246,0.1930147058823478,1.9963235294116846,0.7095226519337111,1.2817679558011623,1724486100000000000,-0.9665968262806096,0,0,45.0,False,2024-08,0.3386333136130871,-0.015526844008798264
ETHUSDT:CONTROL:15:1724466600000000000:1:1724484180000000000,ETHUSDT:CONTROL:15:1724466600000000000:1,ETHUSDT,-1,1724484180000000000,1724481720000000000,2759.72,2764.21,2753.3500000000004,1.4187082405343208,2760.18,15,15:1724466600000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2759.6,2760.86,2761.27,2753.34,REJECTED_CONTROL_RETURN,1.0,0.0,-0.0,-0.1749539594843179,1.36497545008193,0.6233183856501876,0.024618055417653457,0.5869365225390726,-0.41668304945242185,0.8417497719651507,0.35024549918174175,-0.07711554922306214,-0.3468634686346635,1.3158756137480188,0.15057283142391523,1.4697217675942642,0.7381643652560859,1.4187082405343208,1724489340000000000,-0.9625363679164893,0,0,86.0,False,2024-08,0.4895595370119625,-0.008037695673057961
BTCUSDT:CONTROL:15:1724481900000000000:1:1724489400000000000,BTCUSDT:CONTROL:15:1724481900000000000:1,BTCUSDT,-1,1724489400000000000,1724486100000000000,64218.9,64299.0,64109.1,1.3707865168539939,64266.0,15,15:1724481900000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,64230.3,64269.3,64240.1,64109.0,REJECTED_CONTROL_RETURN,1.0,1.584962500721156,-1.0,-0.1574512901527183,0.497524752475261,0.5075757575757621,-0.004447385677446854,0.5784210526315866,-0.13292275912037432,1.3048179005764904,0.03155940594058534,-0.13292275912037432,-1.6856581532414985,0.20358910891090193,0.29146039603959756,0.4956683168316786,0.9626808988764219,1.3707865168539939,1724489820000000000,-0.9607542456843761,0,0,7.0,False,2024-08,0.4558158823315832,-0.011716840435299422
ETHUSDT:CONTROL:15:1724481900000000000:1:1724491260000000000,ETHUSDT:CONTROL:15:1724481900000000000:1,ETHUSDT,1,1724491260000000000,1724489340000000000,2768.94,2759.5,2785.77,1.7828389830508296,2764.2,15,15:1724481900000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2764.06,2768.35,2785.78,2767.74,ACCEPTED_CONTROL_RETURN,0.0,0.0,0.0,-0.09279688513952344,2.7280701754385173,0.704150943396221,0.2588333527977594,0.6407914764079155,-0.15803117323483273,0.3292297927421978,0.34795321637427756,0.23398860937384422,-0.2857142857144443,4.532163742689962,1.3859649122807414,2.760233918128612,0.35138389830508276,1.7828389830508296,1724499960000000000,-0.9787559904673836,0,0,145.0,False,2024-08,0.5682368951053055,0.005644690720319768
BTCUSDT:CONTROL:15:1724494500000000000:1:1724518320000000000,BTCUSDT:CONTROL:15:1724494500000000000:1,BTCUSDT,-1,1724518320000000000,1724517420000000000,64246.3,64400.1,64077.5,1.0975292587776833,64358.8,15,15:1724494500000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,64248.7,64280.1,64272.7,64077.4,REJECTED_CONTROL_RETURN,1.0,0.0,-0.0,-0.40884615384616496,1.2920478536241602,0.5941747572815251,-0.0464612043432532,0.5233963433529686,-0.10380539499036606,0.5462276005225329,0.13511611541166282,0.039255158530447934,1.2727272727272956,0.5798733286417666,1.5833919774806637,2.164672765657948,0.5018715214564511,1.0975292587776833,1724520360000000000,0.49466623347545186,1,1,34.0,False,2024-08,0.6052951938810391,-0.003105821262409554
ETHUSDT:CONTROL:15:1724544000000000000:-1:1724548380000000000,ETHUSDT:CONTROL:15:1724544000000000000:-1,ETHUSDT,1,1724548380000000000,1724547300000000000,2757.49,2751.47,2764.93,1.235880398671109,2753.45,15,15:1724544000000000000:-1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,2757.97,2759.56,2764.94,2755.36,REJECTED_CONTROL_RETURN,1.0,0.0,-1.0,-0.6140012845215294,0.6071118820468238,0.6108202443280958,0.20174297686192544,0.5530809205642265,-0.11503122293088731,0.5493039826535049,0.33998265394614874,-0.008554693665862473,0.8657921291624542,0.34171725932346325,0.700780572419756,1.0442324371205338,0.5490657807308985,1.235880398671109,1724548860000000000,0.5449759403715877,1,1,8.0,False,2024-08,0.6634433821648368,0.0005078584869770992
BTCUSDT:CONTROL:15:1724539500000000000:1:1724549640000000000,BTCUSDT:CONTROL:15:1724539500000000000:1,BTCUSDT,1,1724549640000000000,1724543460000000000,64161.6,63893.9,64548.9,1.4467687710123538,63951.2,15,15:1724539500000000000:1,FIRST_RETURN_WAVE_OR_OPPOSING_SWING,63945.1,64064.5,64549.0,64048.9,ACCEPTED_CONTROL_RETURN,0.0,0.0,0.0,-0.28033205619413704,2.9627163781625074,1.0,0.3124959685316777,0.591360097695012,0.363855304954428,2.5419712502067044,1.1917443408788513,0.363855304954428,-2.428571428571457,2.3675099866845053,2.8015978695073973,3.564580559254358,0.28701270078446334,1.4467687710123538,1724569740000000000,-0.9817177475782333,0,0,335.0,False,2024-08,0.34027042103664723,-0.010462396690002873
