episode_id,symbol,side,family,source_id,source_kind,source_side,source_price,source_lower,source_upper,source_timeframe_minutes,source_semantic_weight,source_confluence_weight,source_confluence_count,source_confluence_kinds,source_confluence_timeframes,source_strength_ratio,source_defense_count,source_accumulated,line_slope_atr_per_hour,interaction_index,interaction_time_ns,confirmation_index,confirmation_time_ns,departure_index,departure_time_ns,touch_index,touch_time_ns,response_index,response_time_ns,location_kind,zone_lower,zone_upper,event_extreme,event_strength,event_outside_close_ratio,event_outside_volume_ratio,event_path_efficiency,event_activity_ratio,event_flow_signed,event_last_bar_flow_signed,event_volume_clock,event_consecutive_outside_closes,event_value_migration_atr,event_vwap,event_penetration_atr,response_kind,response_strength,response_flow_signed,response_activity_ratio,response_body_atr,response_delay_minutes,entry_limit,target_level_id,target_kind,target_structure_price,target_zone_lower,target_zone_upper,target_timeframe_minutes,target_semantic_weight,route_clarity,route_barrier_count,route_strongest_barrier_ratio,route_volume_congestion,structure_multiscale_trend_vote,arbitration_score,outcome,entry_index,entry_time_ns,resolution_index,resolution_time_ns,entry,stop,stop_fill,target,gross_rr,target_net_r,net_r,holding_minutes,mfe_r,mae_r,order_index,order_time_ns,fill_delay_minutes,entry_type,nav_before,nav_after,drawdown,diagnostic_role,diagnostic_period
CLR2:ETHUSDT:1722601860000000000:7421a8c7f393b80d,ETHUSDT,LONG,FAILED_AUCTION_REVERSAL,ETHUSDT:ACTIVE_POOL:LOW:1722600000000000000:b0b681f1dab764e0,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,3125.0,3121.5572,3128.4428,240,87.00030609030105,87.00030609030105,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,240,1.5268721279078676,6,True,0.0,88590,1722601860000000000,88597,1722602280000000000,88597,1722602280000000000,88601,1722602520000000000,88603,1722602640000000000,ORDER_BLOCK,3135.92,3138.7,3114.24,18.123477901066018,0.0,1.0,0.1185759402813731,22.442376220474117,-0.0160070474640659,0.274897523119253,179.5390097637929,0,5.970740381780508,3140.623110378832,5.274509803921769,ADVERSE_FLOW_ABSORBED_THEN_CONTROL,2.8137955020072267,-0.0042379694867853,2.8390439159417795,1.6829268292680546,2.0,3138.7000000000003,ETHUSDT:5m:HIGH:c17705:s2:1722598800000000000,MINOR_ROUTE_STRUCTURE,3163.76,3163.3703,3164.1497000000004,5,3.295621311662146,1.0,0,0.0,0.4484102937147632,-0.3333333333333333,26.277773784254578,TARGET_FIRST,88604,1722602700000000000,88659.0,1.722606e+18,3138.7000000000003,3114.1672,3114.1472,3163.3603,1.0051971238504835,0.8751674061143292,0.8751674061143292,55.0,0.9522166181651758,-0.0729309664345005,88604,1722602700000000000,0.0,DEFENDED_ZONE_LIMIT,0.912709490546748,0.93667269846808,-0.092696282619574,dev,2024-08-01_2024-08-08
CLR2:BTCUSDT:1706912520000000000:49775b3a267d61d8,BTCUSDT,LONG,ACCEPTED_AUCTION_CONTINUATION,BTCUSDT:ACTIVE_POOL:HIGH:1706912100000000000:057e60850a0ea948,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,43070.0,43044.453,43077.821,15,24.091711361385936,24.091711361385936,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,1.4127389435394189,8,True,0.0,89181,1706912520000000000,89182,1706912580000000000,89182,1706912580000000000,89183,1706912640000000000,89187,1706912880000000000,DIRECTIONAL_FVG,43064.8,43088.5,43185.3,18.37326300027962,1.0,1.0,1.0,14.061233330749785,0.6929650204067617,0.6926178434847381,28.12246666149957,2,5.494142121157002,43127.81769330253,12.670329670332016,ALIGNED_INITIATIVE,2.0772034268593678,0.0666533179570636,2.97297881520822,0.6153846153845539,4.0,43088.5,BTCUSDT:5m:HIGH:c17779:s2:1706896200000000000,MINOR_ROUTE_STRUCTURE,43257.5,43252.724,43262.276,5,1.5740312985104588,1.0,0,0.0,0.4936591314926128,0.0,26.13251529685566,TARGET_FIRST,89197,1706913480000000000,89296.0,1.70691942e+18,43088.5,43064.4815,43064.281500000005,43252.624,6.833232716448362,2.701126669936416,2.701126669936416,99.0,3.3089109860321915,-0.2280739089872354,89188,1706912940000000000,9.0,DEFENDED_ZONE_LIMIT,0.6312250630911858,0.6823756286706227,-0.3574078072954594,dev,2024-02-01_2024-02-08
CLR2:ETHUSDT:1754457420000000000:769e385c4d2a989b,ETHUSDT,LONG,ACCEPTED_AUCTION_CONTINUATION,ETHUSDT:ACTIVE_POOL:HIGH:1754452800000000000:2f21b10c64fcba5f,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,3623.98,3619.4989,3628.4611,240,110.8943937066984,110.8943937066984,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,240,1.946217967512137,6,True,0.0,93916,1754457420000000000,93918,1754457540000000000,93918,1754457540000000000,93920,1754457660000000000,93926,1754458020000000000,DIRECTIONAL_FVG,3621.83,3630.56,3642.55,13.061122116690507,1.0,1.0,1.0,22.915275469378933,0.2099947930684395,0.1712159072897647,68.74582640813681,3,2.515667571236098,3634.549015522392,7.673553719008101,ADVERSE_FLOW_ABSORBED_THEN_CONTROL,5.468437842862717,-0.0847848163574741,7.509801943267368,4.299212598425287,6.0,3630.56,ETHUSDT:ACTIVE_POOL:HIGH:1754406000000000000:a75e9713ab902bd3,ACCUMULATED_EQUAL_HIGH_LOW_POOL,3658.65,3657.5448,3659.7552,15,23.90695316947838,1.0,0,0.0,0.5669653953979448,0.3333333333333333,25.37721745320168,TARGET_FIRST,93927,1754458080000000000,93937.0,1.75445868e+18,3630.56,3619.901825,3619.881825,3657.5348,2.530902335531166,1.9310383632676684,1.9310383632676684,10.0,2.3338480465307416,-0.419245077100524,93927,1754458080000000000,0.0,DEFENDED_ZONE_LIMIT,0.2551803321120378,0.2699632224378297,-0.7300367775621703,dev,2025-08-01_2025-08-08
CLR2:BTCUSDT:1707073680000000000:6258e16cb0ebfff1,BTCUSDT,SHORT,ACCEPTED_AUCTION_CONTINUATION,BTCUSDT:ACTIVE_POOL:LOW:1707073500000000000:621ffa54973cb3e8,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,42702.4,42682.615,42738.652,240,129.16988192645596,129.16988192645596,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,240,1.893631795107509,8,True,0.0,91867,1707073680000000000,91870,1707073860000000000,91870,1707073860000000000,91877,1707074280000000000,91879,1707074400000000000,DIRECTIONAL_FVG,42683.9,42736.4,42562.5,14.3531417526693,0.75,0.631577851038637,1.0,29.398799950417036,0.3008859313739588,0.2705569335905275,117.59519980166812,3,2.356699036767245,42647.73585425584,9.45270270270094,ADVERSE_FLOW_ABSORBED_THEN_CONTROL,3.5103832103923684,-0.0557601402905345,4.471784545057013,2.072847682119116,2.0,42683.9,BTCUSDT:ACTIVE_POOL:LOW:1706961600000000000:8139235dd0a04206,ACCUMULATED_EQUAL_HIGH_LOW_POOL,42512.7,42460.707,42564.693,1440,368.77706754426765,1.0,0,0.0,0.8920087037271512,0.3333333333333333,24.058261767273773,TARGET_FIRST,91882,1707074580000000000,91946.0,1.70707842e+18,42683.9,42737.00375,42737.20375,42564.793,2.2429112821599047,1.2265151564532497,1.2265151564532497,64.0,1.4325350753457264,-0.0961432936473606,91880,1707074460000000000,2.0,DEFENDED_ZONE_LIMIT,0.5828724677222952,0.6043195252005163,-0.4309131327721979,dev,2024-02-01_2024-02-08
CLR2:ETHUSDT:1767323640000000000:b4762a7adf7f3a2d,ETHUSDT,LONG,ACCEPTED_AUCTION_CONTINUATION,ETHUSDT:ACTIVE_POOL:HIGH:1767319200000000000:edfcd12692cc2690,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,3008.56,3006.4899,3009.7168,1440,361.4552470244592,361.4552470244592,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,1440,1.79869344199884,11,True,0.0,88033,1767323640000000000,88034,1767323700000000000,88034,1767323700000000000,88036,1767323820000000000,88039,1767324000000000000,DIRECTIONAL_FVG,3007.99,3010.32,3016.38,11.868816738571514,1.0,1.0,1.0,30.382937689004816,0.3625981356766393,0.0760250521368273,60.76587537800963,2,2.0532827579886077,3011.8316812407284,7.592233009709098,ADVERSE_FLOW_ABSORBED_THEN_CONTROL,3.0941621408607825,-0.0915137379435634,5.784647813364487,1.8190476190479925,3.0,3010.32,ETHUSDT:ACTIVE_POOL:HIGH:1767312000000000000:03f6411b041642f4,ACCUMULATED_EQUAL_HIGH_LOW_POOL,3027.73,3021.5074,3033.9526,1440,411.2929224293015,1.0,0,0.0,0.9261915304513164,0.0,22.66659259394442,TARGET_FIRST,88041,1767324120000000000,88059.0,1.7673252e+18,3010.32,3007.948875,3007.928875,3021.4974,4.713964890082501,2.217188418979388,2.217188418979388,18.0,2.657236442135145,-0.3535569826774337,88040,1767324060000000000,1.0,DEFENDED_ZONE_LIMIT,0.712012955673006,0.7593729620574503,-0.2406270379425497,dev,2026-01-01_2026-01-08
CLR2:XRPUSDT:1754596860000000000:c08caab97fd4c5da,XRPUSDT,LONG,ACCEPTED_AUCTION_CONTINUATION,XRPUSDT:DIAGONAL:240:HIGH:1750723200000000000:1754568000000000000:3aafd7105c840e65,DIAGONAL_RESISTANCE,HIGH,3.0942892290886395,3.0874072290886394,3.1011712290886395,240,11.756973793341666,11.756973793341666,1,DIAGONAL_RESISTANCE,240,0.8086167250966045,5,True,0.2772139664129622,96240,1754596860000000000,96246,1754597220000000000,96246,1754597220000000000,96250,1754597460000000000,96256,1754597820000000000,DIRECTIONAL_FVG,3.1008,3.1025,3.1158,15.136580074523971,1.0,1.0,0.3529411764705926,7.491543412993809,-0.0035876381590577,0.1437068738872513,52.440803890956666,7,2.94581768498554,3.108241191532604,8.962821213067931,ADVERSE_FLOW_ABSORBED_THEN_CONTROL,2.0765971435976813,-0.0197829996186011,2.916406142518069,0.791666666666686,6.0,3.1025,XRPUSDT:ACTIVE_POOL:HIGH:1753988400000000000:a0e4962a4b79f4fb,ACCUMULATED_EQUAL_HIGH_LOW_POOL,3.135,3.133623,3.136377,60,61.1398866123127,1.0,0,0.0,0.7602354891099106,0.3333333333333333,21.935568737381164,TARGET_FIRST,96257,1754597880000000000,96322.0,1.75460178e+18,3.1025,3.1002,3.1,3.1335229999999994,13.48826086956512,6.375290739749427,6.375290739749427,65.0,7.900653035007082,-0.2141098383470509,96257,1754597880000000000,0.0,DEFENDED_ZONE_LIMIT,0.1330515559729604,0.1584988265540705,-0.8415011734459295,dev,2025-08-01_2025-08-08
CLR2:ETHUSDT:1722933300000000000:4abedbf010bf7b2a,ETHUSDT,SHORT,ACCEPTED_AUCTION_CONTINUATION,ETHUSDT:CONFLUENCE:LOW:94114:a2c1e77fffef7336,ACCUMULATED_EQUAL_HIGH_LOW_POOL,LOW,2476.94,2472.9248,2483.9303,60,60.75856016985599,73.46282169827539,2,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15|60,1.7671624054974628,9,True,0.0,94114,1722933300000000000,94116,1722933420000000000,94116,1722933420000000000,94120,1722933660000000000,94127,1722934080000000000,DIRECTIONAL_FVG,2462.25,2475.65,2454.17,10.491485728930035,1.0,1.0,0.3544973544973687,6.599974205155045,0.1152710912724593,0.1064540396251791,19.79992261546513,3,2.411344477456117,2462.158146908159,5.099664053751489,ALIGNED_INITIATIVE,4.164681515908725,0.1117289170310336,2.1186374222383035,3.1332586786114307,7.0,2462.25,ETHUSDT:ACTIVE_POOL:LOW:1722909600000000000:c99f7b22b4b6064a,ACCUMULATED_EQUAL_HIGH_LOW_POOL,2406.0,2404.4159,2413.9241,60,66.59326126399097,1.0,0,0.0,0.4455897256263156,0.3333333333333333,21.762646902258357,TARGET_FIRST,94133,1722934440000000000,94403.0,1.72295064e+18,2462.25,2475.81485,2475.83485,2413.9341000000004,3.5618455051105515,3.0910865883446,3.0910865883446,270.0,3.258197295883279,-0.7659048954050272,94128,1722934140000000000,5.0,DEFENDED_ZONE_LIMIT,0.4080601920334479,0.4459006736384052,-0.5680803556714875,dev,2024-08-01_2024-08-08
CLR2:BTCUSDT:1767708780000000000:a0a458c664706d98,BTCUSDT,LONG,ACCEPTED_AUCTION_CONTINUATION,BTCUSDT:ACTIVE_POOL:HIGH:1767686400000000000:ef43f0ddc7b4409b,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,93966.4,93896.487,93992.713,60,69.62853638877765,69.62853638877765,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,60,2.041510116540324,8,True,0.0,94452,1767708780000000000,94453,1767708840000000000,94453,1767708840000000000,94454,1767708900000000000,94455,1767708960000000000,DIRECTIONAL_FVG,93964.0,94050.0,94150.0,10.933336353486425,1.0,1.0,1.0,21.403797539675647,0.2303943517612849,0.042715471073649,42.807595079351294,2,1.964173357891795,94059.5931028362,5.392070484581208,ADVERSE_FLOW_ABSORBED_THEN_CONTROL,3.360142923556113,-0.1034610664104208,5.536371825644999,2.2049780380673414,1.0,94050.0,BTCUSDT:ACTIVE_POOL:HIGH:1765454400000000000:d8e61d36cb4884be,ACCUMULATED_EQUAL_HIGH_LOW_POOL,94555.0,94293.586,94761.01,10080,1332.7765895183684,1.0,0,0.0,0.5473124633250376,0.0,20.779050289267275,TARGET_FIRST,94458,1767709140000000000,94461.0,1.76770932e+18,94050.0,93962.7995,93962.5995,94293.486,2.792254631567162,1.3435268933184874,1.3435268933184874,3.0,2.2063844184322443,-0.3766520146258404,94456,1767709020000000000,2.0,DEFENDED_ZONE_LIMIT,0.2493690064260472,0.2594200254208524,-0.7405799745791476,dev,2026-01-01_2026-01-08
CLR2:BTCUSDT:1754553780000000000:570259f7001272fa,BTCUSDT,LONG,ACCEPTED_AUCTION_CONTINUATION,BTCUSDT:ACTIVE_POOL:HIGH:1754553600000000000:d11380ab9bdb7d9e,ACCUMULATED_EQUAL_HIGH_LOW_POOL,HIGH,114834.4,114826.924,114841.876,15,11.438616528421807,11.438616528421807,1,ACCUMULATED_EQUAL_HIGH_LOW_POOL,15,1.318732309964597,3,True,0.0,95522,1754553780000000000,95524,1754553900000000000,95524,1754553900000000000,95525,1754553960000000000,95528,1754554140000000000,DIRECTIONAL_FVG,114825.4,114920.0,114987.7,12.998073378607476,1.0,1.0,0.338103756708339,7.643496684327396,0.1713851994790774,0.3689843075732948,22.93049005298219,3,4.114924576853103,114933.22732560612,6.905405405406442,ADVERSE_FLOW_ABSORBED_THEN_CONTROL,2.702869697979997,-0.182191743138115,1.6225257622875289,1.911894273127742,3.0,114920.0,BTCUSDT:ACTIVE_POOL:HIGH:1754539200000000000:5f6c4a3bd0680d05,ACCUMULATED_EQUAL_HIGH_LOW_POOL,115183.3,115115.881,115194.352,60,60.44360559146544,1.0,0,0.0,0.4305703669778709,0.0,20.03144545206549,TARGET_FIRST,95529,1754554200000000000,95546.0,1.75455522e+18,114920.0,114824.55825,114824.35825,115115.781,2.0513140213791354,0.8508043950780019,0.8508043950780019,17.0,1.3048324366329047,-0.2987992432168013,95529,1754554200000000000,0.0,DEFENDED_ZONE_LIMIT,0.1605727826684807,0.1646712635452082,-0.8353287364547918,dev,2025-08-01_2025-08-08
CLR2:BTCUSDT:1707298500000000000:2e9af7cdc8264e0b,BTCUSDT,LONG,ACCEPTED_AUCTION_CONTINUATION,BTCUSDT:60m:HIGH:c1589:s2:1707292800000000000,EXTERNAL_SWING,HIGH,43035.7,43023.763,43047.637,60,4.884992482468816,4.884992482468816,1,EXTERNAL_SWING,60,0.8328725810504976,2,False,0.0,95614,1707298500000000000,95616,1707298620000000000,95616,1707298620000000000,95617,1707298680000000000,95618,1707298740000000000,DIRECTIONAL_FVG,43058.3,43101.0,43145.0,12.987349969109934,0.6666666666666666,0.646974990582072,0.783590963139151,17.00786225962845,0.3465565313634483,0.0751673228003664,51.02358677888535,2,3.065258591659004,43083.80705138157,9.262711864407596,ALIGNED_INITIATIVE,3.955116838613296,0.1523251698591276,8.647032558207103,2.579831932773949,1.0,43101.0,BTCUSDT:ACTIVE_POOL:HIGH:1707270300000000000:5b59a2516115ab9f,ACCUMULATED_EQUAL_HIGH_LOW_POOL,43179.6,43169.641,43184.175,15,30.82968873262117,1.0,0,0.0,0.4625644823676497,-0.3333333333333333,19.82021304715175,TARGET_FIRST,95621,1707298920000000000,95623.0,1.70729904e+18,43101.0,43057.8835,43057.68350000001,43169.541,1.589669847970106,0.6981081276788099,0.6981081276788099,2.0,1.1774227473114305,-0.0190565531356961,95619,1707298800000000000,2.0,DEFENDED_ZONE_LIMIT,0.6606558820170457,0.674492159242093,-0.3648316596333092,dev,2024-02-01_2024-02-08
